[Heroes Archive] (ALFONS_SPRING02)


Heroes Message Name: Message


MID_ALFONS_SPRING02_HOME1: 像夏蓉這樣時下的年輕女孩，\n打扮成這樣應該還不賴。\n但為什麼連我也得……？
MID_ALFONS_SPRING02_HOME2: 在覺醒的異界裡，\n似乎有個叫兔獸人的種族，\n他們可以化身為兔子的模樣喔。
MID_ALFONS_SPRING02_HOME3: $Nu，\n夏蓉好像也幫你準備了服裝喔。\n她說大家一起穿就不會害羞了……
MID_ALFONS_SPRING02_HOME4: $Nu，\n可以的話，一起進行訓練吧？\n……不，不是練習兔子跳喔。
MID_ALFONS_SPRING02_HOME5: 父親大人是個嚴格又認真的人。\n他要是見到我這身打扮，\n說不定會暈倒呢……
MID_ALFONS_SPRING02_FRIEND: $Nf\n要我向你打聲招呼，\n那、那麼我就先告退囉。
MID_ALFONS_SPRING02_LEVEL1: 真是棒極了，\n可謂是最美好的時期呢。
MID_ALFONS_SPRING02_LEVEL2: 腳踏實地換得開花結果，\n我覺得很開心。
MID_ALFONS_SPRING02_LEVEL3: 距離春天的到來似乎還有段時間呢……
MID_ALFONS_SPRING02_SKILL: 謝謝，\n你彷彿是春天裡溫暖的陽光呢。
MID_ALFONS_SPRING02_JOIN: 我是亞斯克王國的王子阿爾馮斯。\n……要是你能盡量裝作沒看見我這身打扮，\n我會很開心的。
MID_ALFONS_SPRING02_STRONGEST: 是你啊，$Nu。\n我剛剛正在調查有關春祭的傳承。$k$p「蛋」代表生命的誕生，\n「兔子」則代表生育許多孩子……\n所以才被當作慶祝豐收的祭典象徵……$k$p嗯？\n你問我要維持這身打扮到什麼時候？\n大概得穿到夏蓉滿意為止吧……$k$p……所謂的習慣真的很可怕呢，\n說不定漸漸地會變成\n不作這個打扮就無法安心呢。$k$p不過，無論我打扮成怎樣，\n你都還是願意跟我當朋友……\n或許是因為這樣我才能放心吧。$k$p謝謝你，$Nu。\n今後也請多指教。
MID_ALFONS_SPRING02_VOICE01: 嘿！
MID_ALFONS_SPRING02_VOICE02: 看招！
MID_ALFONS_SPRING02_VOICE03: 嗚啊～！
MID_ALFONS_SPRING02_VOICE04: 我太大意了……
MID_ALFONS_SPRING02_VOICE05: Spring has come！
MID_ALFONS_SPRING02_VOICE06: 來慶祝囉。
MID_ALFONS_SPRING02_VOICE07: 這是花開的季節。
MID_ALFONS_SPRING02_VOICE08: 看我讓大地回春。
MID_ALFONS_SPRING02_VOICE09: 春は…儚いね…
MID_ALFONS_SPRING02_VOICE10: はは
MID_ALFONS_SPRING02_VOICE11: 一緒に春を祝おうか？
MID_ALFONS_SPRING02_VOICE12: わっ！？　どうしたんだい急に？
MID_ALFONS_SPRING02_VOICE13: お祭りは、古くから人々にとって大切なものなんだ。
MID_ALFONS_SPRING02_VOICE14: まさか、僕がこんな格好をすることになるなんてね…
MID_ALFONS_SPRING02_VOICE15: え、似合ってる？　…複雑な気分だよ。
MID_ALFONS_SPRING02_VOICE16: こういう時は、シャロンの無邪気さが羨ましいな…
MID_ALFONS_SPRING02_VOICE17: 次の春祭りは、君も一緒にこの格好をして欲しいな。約束だよ？
MID_ALFONS_SPRING02_VOICE18: わかった
MID_ALFONS_SPRING02_VOICE19: 過ごしやすいよ
MID_ALFONS_SPRING02_VOICE20: 春の陽気だね
