[Heroes Archive] (AQUA_DANCE)


Heroes Message Name: Message


MID_AQUA_DANCE_HOME1: 打扮成這樣真是輕鬆呢……\n完全沒人發現是我。\n也不會引來無端的揣測。
MID_AQUA_DANCE_HOME2: 亞慕吉亞的表演相當盛大，\n各國王侯貴族都會蒞臨參觀……\n聽說也有歌姬被看上而成為王妃喔。
MID_AQUA_DANCE_HOME3: 特務機關的人都好勤快呢。\n晚上有沒有好好睡覺呢？\n如果需要搖籃曲的話，請儘管開口。
MID_AQUA_DANCE_HOME4: 夏蓉公主拜託我教她唱歌……\n機會難得，\n你要不要一起來聽課呢？
MID_AQUA_DANCE_HOME5: ……我正在構思新歌。\n回到原本的國家之後，如果能將這個世界的\n事情傳頌下去，那就太好了。
MID_AQUA_DANCE_FRIEND: $Nf派我來向你致意。\n我只是來傳達這件事而已……\n請不要一直盯著我看。
MID_AQUA_DANCE_LEVEL1: 若有符合你的期待，\n我也會很開心。
MID_AQUA_DANCE_LEVEL2: 有獲得成長就是件好事。
MID_AQUA_DANCE_LEVEL3: ……這次真是遺憾呢。
MID_AQUA_DANCE_SKILL: 要賜給我這麼貴重的力量？\n這樣啊……謝謝你。
MID_AQUA_DANCE_JOIN: 我是來自異界的歌姬……\n姓名不足掛齒。\n既然來了，我一定會克盡職責。
MID_AQUA_DANCE_STRONGEST: $Nu，\n我在表演會場聽到你的聲音了喔。\n你用強勁而清澈的聲音呼喚著我……$k$p讓我覺得非趕到你身邊不可。\n我原本對召喚師什麼的感到很困惑，\n但現在卻很高興自己能幫上你的忙喔。$k$p不過，我無法在此地久留。\n我還在幽冥旅途的路上……\n還有真正的夥伴們在等著我回去。$k$p我不知道未來會變得怎麼樣，\n也不知道能否平安無事。\n如果真的發生了憾事……$k$p希望你能將化為泡沫的我再次召喚到這裡。\n我相信……不管我變成了什麼樣子，\n你依舊會賦予我形體的。
MID_AQUA_DANCE_VOICE01: 嘿呀！
MID_AQUA_DANCE_VOICE02: 要上了喔。
MID_AQUA_DANCE_VOICE03: 唔……！
MID_AQUA_DANCE_VOICE04: 我太大意了……
MID_AQUA_DANCE_VOICE05: 一同高歌吧。
MID_AQUA_DANCE_VOICE06: 這是安魂曲。
MID_AQUA_DANCE_VOICE07: 開始演奏吧。
MID_AQUA_DANCE_VOICE08: 要閉幕了喔。
MID_AQUA_DANCE_VOICE09: 曲終……人散……
MID_AQUA_DANCE_VOICE10: 嗯。
MID_AQUA_DANCE_VOICE11: 我會努力高歌的。
MID_AQUA_DANCE_VOICE12: 請你一定要平安無事。
MID_AQUA_DANCE_VOICE13: 黑色在進行偽裝時很方便呢。
MID_AQUA_DANCE_VOICE14: 特務機關裡也有喜歡唱歌的人嗎？
MID_AQUA_DANCE_VOICE15: 來到這裡之前……我原本是在參加亞慕吉亞的表演。
MID_AQUA_DANCE_VOICE16: 英雄們教了我歌曲。異世界的旋律……真是優美呢。
MID_AQUA_DANCE_VOICE17: 我喜歡唱歌，因為能夠表現出最真摯的情感。\n欸，我的情感有傳達到你心中嗎？
MID_AQUA_DANCE_VOICE18: 我知道了。
MID_AQUA_DANCE_VOICE19: 開始吧。
MID_AQUA_DANCE_VOICE20: 我要盡情歌唱。
MID_AQUA_DANCE_VOICE21: 用我的歌聲……拯救這個世界吧。
