[Heroes Archive] (ASAMA)


Heroes Message Name: Message


MID_ASAMA_HOME1: 召喚還真是有趣呢。\n突然被召喚過來的英雄們\n那副慌張的模樣，真是百看不厭。
MID_ASAMA_HOME2: 我的主君是火乃香殿下。\n殿下真是位有趣的人物……\n在她身旁從來不會感到無聊喔。
MID_ASAMA_HOME3: 你在確認大家是否平安無事嗎？\n根本用不著這麼做……假如有人陣亡，\n你一定是第一個知道的嘛。
MID_ASAMA_HOME4: 哎呀，你好像有什麼煩惱呢。\n那就跟我天南地北隨便聊聊吧。\n負面情緒還是早早忘掉比較輕鬆。
MID_ASAMA_HOME5: 祈禱？不，我不做那種事的。\n對看不見的東西說話或膜拜，\n對我來說是一種無意義的行為。
MID_ASAMA_FRIEND: 我受$Nf所託，\n前來向你致意。\n唉，他還真愛隨便使喚人呢。
MID_ASAMA_LEVEL1: 不過，不管再怎麼成長，\n也是生不帶來死不帶去。
MID_ASAMA_LEVEL2: 哎呀，真是美好呢。\n今天真是個好日子。
MID_ASAMA_LEVEL3: 啊哈哈！\n你怎麼了？表情這麼失望。
MID_ASAMA_SKILL: 我很喜歡這種\n轉換心情的方式喔。
MID_ASAMA_JOIN: 在下是白夜王國的修道者，名叫淺間。\n突然被召喚來此，實在是困惑至極……\n不過，我也可以助你一臂之力喔。
MID_ASAMA_STRONGEST: 啊，果然是你呀。\n每次都得聽到你那浮躁的腳步聲，\n就算不想記也會記得一清二楚。$k$p居然一直糾纏人畜無害的聖職人員，\n你也未免太閒了吧？\n對了，說到空閒……$k$p我們這些英雄何時會放假呢？\n我也是突然想到‧‧‧‧‧‧\n如果有天聽不到你那煩人腳步聲的話‧‧‧‧‧‧$k$p無論是生離還是死別，都不需要悲嘆。\n但是……\n你在我心中已經有一席之地了。$k$p就連這種任憑你使喚的日子，\n我也開始覺得再持續一陣子其實也不壞。\n如果你要讓我放假的話，還請盡量延後一點。
MID_ASAMA_VOICE01: 喝！
MID_ASAMA_VOICE02: 嘿！
MID_ASAMA_VOICE03: 嗚啊！
MID_ASAMA_VOICE04: 你會遭天譴的……
MID_ASAMA_VOICE05: 我可不會輸喔？
MID_ASAMA_VOICE06: 我要把你痛扁一頓。
MID_ASAMA_VOICE07: 死亡是平等的。
MID_ASAMA_VOICE08: 成佛吧。
MID_ASAMA_VOICE09: 不需要……為我悲嘆……
MID_ASAMA_VOICE10: 啊哈哈！
MID_ASAMA_VOICE11: 小心受傷喔。
MID_ASAMA_VOICE12: 真拿你沒轍呢。
MID_ASAMA_VOICE13: 我是虔誠的僧侶，真的。
MID_ASAMA_VOICE14: 無論是煩惱或痛苦，都只是浪費時間而已。
MID_ASAMA_VOICE15: 優美的景色和白衣的人們……簡直就是西天佛土啊。
MID_ASAMA_VOICE16: 火乃香殿下在哪裡？要是不在她身旁，我就得挨罵了……
MID_ASAMA_VOICE17: 隨便就叫人來戰鬥，太沒品了吧……\n不過好像挺有趣的，我就助你一臂之力吧。
MID_ASAMA_VOICE18: 是。
MID_ASAMA_VOICE19: 傷腦筋。
MID_ASAMA_VOICE20: 真拿你沒輒。
