[Heroes Archive] (ATHENA)


Heroes Message Name: Message


MID_ATHENA_HOME1: 特務機關……？\n雅典娜聽不懂。\n特務機關是黃黃甜甜的東西嗎？
MID_ATHENA_HOME2: 雅典娜不太會教人。\n不過，比劍的話可不輸人喔。\n雅典娜在原本的世界也有在教劍術。
MID_ATHENA_HOME3: 你總是很忙。總是很辛苦。\n稍微休息一下，好好睡覺。\n你的工作，雅典娜幫你做。
MID_ATHENA_HOME4: 「英雄」……？\n這個雅典娜還知道。笨蛋。\n英雄就是穿著輕飄飄的藍衣服的人。
MID_ATHENA_HOME5: 這個國家正被敵國侵略。\n幫助有困難的人，\n是理所當然的事情。
MID_ATHENA_FRIEND: 雅典娜的祖國，\n有這樣一句諺語。\n「青出於青，更勝於青」。
MID_ATHENA_LEVEL1: 雅典娜，超棒。
MID_ATHENA_LEVEL2: 雅典娜，很好。
MID_ATHENA_LEVEL3: ……雅典娜，不好。
MID_ATHENA_SKILL: 感激不盡。\n雅典娜，會報答這份恩情。
MID_ATHENA_JOIN: 雅典娜，被叫過來了？\n雅典娜，不是小孩。是劍客。\n看就知道了。笨蛋。
MID_ATHENA_STRONGEST: 「召喚」是指叫人出來。\n「布雷薩布利克」是指神器。\n雅典娜，清楚了。$k$p「攻擊」？\n攻擊就是攻擊。\n這個雅典娜還知道。笨蛋。$k$p不過，雅典娜很高興。\n你教了雅典娜很多事。\n雅典娜很感謝你。$k$p「劍客為同舟共濟之身」，\n這是雅典娜故鄉的諺語。\n雅典娜也要替人著想，互相幫助。$k$p所以，雅典娜要當你的女人。\n……我說錯了？那就當你的朋友。\n希望你能教雅典娜更多事情。
MID_ATHENA_VOICE01: 喝！
MID_ATHENA_VOICE02: 嘿！
MID_ATHENA_VOICE03: 呀啊～！
MID_ATHENA_VOICE04: ……我不甘心……
MID_ATHENA_VOICE05: 感激不盡。
MID_ATHENA_VOICE06: 真心款待。
MID_ATHENA_VOICE07: 斬。
MID_ATHENA_VOICE08: 雅典娜，要上了。
MID_ATHENA_VOICE09: 雅典娜……不成氣候……
MID_ATHENA_VOICE10: 呵呵。
MID_ATHENA_VOICE11: 找雅典娜有事嗎？
MID_ATHENA_VOICE12: 嗯？這是異國的致意方式嗎？
MID_ATHENA_VOICE13: 異國的語言，好難懂。
MID_ATHENA_VOICE14: 形形色色是指很色的意思嗎？
MID_ATHENA_VOICE15: 軍議是甜甜圓圓的東西嗎？
MID_ATHENA_VOICE16: 為了感謝你，雅典娜要嫁給你。
MID_ATHENA_VOICE17: 雅典娜，在你身上感到了羈絆。
MID_ATHENA_VOICE18: 明白了。
MID_ATHENA_VOICE19: 怎麼辦？
MID_ATHENA_VOICE20: 上吧。
