[Heroes Archive] (AZUR_DANCE)


Heroes Message Name: Message


MID_AZUR_DANCE_HOME1: 這裡有形形色色的英雄呢。\n原來異界有這麼多\n可愛的女孩啊……！
MID_AZUR_DANCE_HOME2: 看男人跳舞根本就開心不起來——\n我也曾經被人這樣講過，不過……\n現在的我應該能夠幫助大家了喔。
MID_AZUR_DANCE_HOME3: 要是看到我現在的樣子，\n過世的媽媽會為我露出笑容嗎？\n會為我繼承了她的舞蹈而感到欣慰嗎……？
MID_AZUR_DANCE_HOME4: 我曾在舞會上和朋友們一起演奏，\n還一起演過話劇喔。\n要不要也在這裡舉辦類似的活動試試看？
MID_AZUR_DANCE_HOME5: 只有在跳舞的時候，不需要\n刻意去想著要保持笑容。\n因為只要舞動起來，自然就會露出笑容了。
MID_AZUR_DANCE_FRIEND: 我是來替$Nf\n向你致意的喔。……咦？這套服裝？\n是跳舞用的服裝啦。很漂亮吧？
MID_AZUR_DANCE_LEVEL1: 多虧了你，\n讓我跳得如此盡興！
MID_AZUR_DANCE_LEVEL2: 畢竟好不容易成為舞者了，\n這點努力是應該的啊！
MID_AZUR_DANCE_LEVEL3: 好、好難為情喔……！\n我要再去練習一下……！
MID_AZUR_DANCE_SKILL: 今後也要繼續關注我喔。\n我會用你給我的力量獻上更曼妙的舞姿！
MID_AZUR_DANCE_JOIN: 我叫做阿茲爾。\n成為一名舞者是我的夢想。\n我會在這座舞台上賣力地起舞。
MID_AZUR_DANCE_STRONGEST: 謝謝你，$Nu。\n你將我召喚到這個世界來，\n讓我能在形形色色的英雄面前婆娑起舞。$k$p我啊，曾去過很多世界旅行。\n在各地認識了許多值得我珍惜的人。\n但是……$k$p從來沒有任何人看到我實現夢想的樣子。\n不過，多虧了你，我現在已經實現了喔。\n沒有比這更讓人開心的事了。$k$p你讓我的夢想得以延續。\n這樣講很難為情，不過……\n我認為你是我的恩人。$k$p你的笑容、夢想、以及珍惜的人……\n就由我來守護，讓我待在你身邊吧。\n從今以後……我也會一直喜歡你喔！
MID_AZUR_DANCE_VOICE01: 嘿！
MID_AZUR_DANCE_VOICE02: 要上了！
MID_AZUR_DANCE_VOICE03: 哇啊！
MID_AZUR_DANCE_VOICE04: 好難為情喔～～！
MID_AZUR_DANCE_VOICE05: 帶著笑容起舞吧。
MID_AZUR_DANCE_VOICE06: 和我共舞一曲吧。
MID_AZUR_DANCE_VOICE07: 別移開目光喔。
MID_AZUR_DANCE_VOICE08: 即將散場囉。
MID_AZUR_DANCE_VOICE09: 再也無法……起舞了……
MID_AZUR_DANCE_VOICE10: 耶嘿嘿。
MID_AZUR_DANCE_VOICE11: 請你看著我。
MID_AZUR_DANCE_VOICE12: 我會為你婆娑起舞。
MID_AZUR_DANCE_VOICE13: 這套服裝好看嗎？是我為了慶典準備的。
MID_AZUR_DANCE_VOICE14: 練、練習被人看到這件事……我還是會感到難為情。
MID_AZUR_DANCE_VOICE15: 打扮成這樣，總該受歡迎了吧？開玩笑的。
MID_AZUR_DANCE_VOICE16: 我終於實現夢想了。我要用這股力量，讓大家綻放笑容……
MID_AZUR_DANCE_VOICE17: 最特別的舞蹈……只獻給最特別的你。\n這是我誠摯的心意，你要看到最後喔。
MID_AZUR_DANCE_VOICE18: 明白了。
MID_AZUR_DANCE_VOICE19: 我可以跳舞嗎？
MID_AZUR_DANCE_VOICE20: 要不要一起喝杯茶？
MID_AZUR_DANCE_VOICE21: 能鼓舞大家的舞蹈……我現在應該辦得到！
