[Heroes Archive] (BARTR)


Heroes Message Name: Message


MID_BARTR_HOME1: 啊哈哈！\n你要把我當成老爸\n也沒關係喔！
MID_BARTR_HOME2: 菲爾！菲爾──！\n菲爾──────！\n我的女兒啊────！
MID_BARTR_HOME3: 聽好！\n所謂的戰鬥就是攻擊！\n除了攻擊還是攻擊！
MID_BARTR_HOME4: 唔！？\n找我有事嗎！？\n粗活就交給我吧！
MID_BARTR_HOME5: 要鍛鍊自己的肉體！\n武器只是累贅！\n肉體才是最強的武器！
MID_BARTR_FRIEND: 喔喔！\n你就是$Nu啊！\n請多關照囉！
MID_BARTR_LEVEL1: 儘管驚訝吧！\n這就是我真正的實力！！
MID_BARTR_LEVEL2: 嗯！\n我獲得了更強的力量！
MID_BARTR_LEVEL3: 什麼……？\n不，我可不相信喔……！
MID_BARTR_SKILL: 這才是真正的戰士之路！\n始終以巔峰為唯一目標！
MID_BARTR_JOIN: 戰士巴多爾就是我啦！\n嘩哈哈！好好見識我的力量吧！
MID_BARTR_STRONGEST: 什麼？\n戰鬥時應該要先觀察一下\n周圍的情況再行動……？$k$p你這愚蠢的傢伙！！\n戰士不需要在意那種小事！$k$p足以破壞一切的力量……！\n只要有了這種力量，其他都是累贅！\n力量就是戰鬥的一切！$k$p沒錯！不需要耍什麼小手段！\n就跟我一樣！$k$p嘩哈哈！沒錯沒錯！\n你知道就好！\n
MID_BARTR_VOICE01: 哼！
MID_BARTR_VOICE02: 唔！
MID_BARTR_VOICE03: 唔喔喔！
MID_BARTR_VOICE04: 挺行的嘛！
MID_BARTR_VOICE05: 愚蠢的傢伙！
MID_BARTR_VOICE06: 想跟我比！？
MID_BARTR_VOICE07: 看我粉碎你！
MID_BARTR_VOICE08: 賜予我更強的力量！
MID_BARTR_VOICE09: 我也還……不成氣候啊……
MID_BARTR_VOICE10: 嘩哈哈！
MID_BARTR_VOICE11: 輪到我了嗎？輪到我啦！
MID_BARTR_VOICE12: 看著！我這鋼鐵般的肉體！
MID_BARTR_VOICE13: 訓練是吧？那就來揍我看看吧！
MID_BARTR_VOICE14: 你有煩惱啊？那就盡情向我傾訴吧！
MID_BARTR_VOICE15: 用不著全部說出來，我看眼神就知道了。
MID_BARTR_VOICE16: 只有用自己的肉體戰鬥才是真正的戰士！
MID_BARTR_VOICE17: 把我當成父親、盡情傾訴吧！我的孩子！
MID_BARTR_VOICE18: 嗯！
MID_BARTR_VOICE19: 包在我身上！
MID_BARTR_VOICE20: 專心攻擊！
