[Heroes Archive] (BERKA)


Heroes Message Name: Message


MID_BERKA_HOME1: 特務機關是什麼……？\n新的殺手集團嗎……？
MID_BERKA_HOME2: 我效忠卡美拉殿下……\n卡美拉殿下是我的主人，也是雇主……\n是我必須守護的人。
MID_BERKA_HOME3: 在戰場上可別太靠近前線……\n要下指示的話就在後方吧。\n只要讀唇，我就能明白你的命令。
MID_BERKA_HOME4: 下次告訴我哪裡有好的武器店吧。\n因為我在這裡人生地不熟……\n也不知道怎樣的武器威力才夠強……
MID_BERKA_HOME5: 別隨便靠近我……\n我正在保養武器。
MID_BERKA_FRIEND: ……你好。\n$Nf派我來\n向你致意……
MID_BERKA_LEVEL1: 不要命的\n就過來吧……
MID_BERKA_LEVEL2: 告訴我下一個目標……
MID_BERKA_LEVEL3: …………
MID_BERKA_SKILL: 新的力量……還不壞呢。
MID_BERKA_JOIN: ……貝爾卡。\n是暗夜王國的殺手……\n你也要雇用我嗎？
MID_BERKA_STRONGEST: $Nu……\n今天也平安無事呢。\n……太好了。$k$p……？\n為什麼我會放下心？\n我也不知道……$k$p你不是我的雇主……\n我沒義務為你而戰，\n也沒簽下任何契約……$k$p明明是這樣，我卻……\n擔心著你的安危。\n或許是因為……召喚師的力量吧。$k$p如果這就叫做感情的話，\n對殺手來說，是很危險的……\n所以……這全是你那力量的錯。\n
MID_BERKA_VOICE01: 呵！
MID_BERKA_VOICE02: 嘿呀！
MID_BERKA_VOICE03: 嗚嗚……！
MID_BERKA_VOICE04: 失算……
MID_BERKA_VOICE05: 我會好好疼愛你的。
MID_BERKA_VOICE06: 任務達成。
MID_BERKA_VOICE07: 要結束了。
MID_BERKA_VOICE08: 消失吧。
MID_BERKA_VOICE09: 任務……失敗……
MID_BERKA_VOICE10: 呼……
MID_BERKA_VOICE11: 有事嗎……？
MID_BERKA_VOICE12: 如果有暗殺的委託就告訴我吧。
MID_BERKA_VOICE13: 如果是在戰場上相會，我一律殺無赦。
MID_BERKA_VOICE14: 要暗殺的話，下毒或奇襲都很有效……
MID_BERKA_VOICE15: 這個國家太耀眼了……無論是人還是景色……
MID_BERKA_VOICE16: 卡美拉殿下在哪裡……　保護雇主是我的職責……
MID_BERKA_VOICE17: 因為你拿著殺不了人的武器站在戰場上……\n實在太危險了……讓人放心不下……
MID_BERKA_VOICE18: 嗯。
MID_BERKA_VOICE19: 請給我指示。
MID_BERKA_VOICE20: 要讓誰消失？
