[Heroes Archive] (BLACKKNIGHT)


Heroes Message Name: Message


MID_BLACKKNIGHT_HOME1: 原來還有這種世界啊……\n如果是這裡的話……我……
MID_BLACKKNIGHT_HOME2: 事出有因，我願助你一臂之力。\n但是，我效忠的主君僅有一位……
MID_BLACKKNIGHT_HOME3: 高文將軍……\n只有超越你，我的劍術\n才算臻於大成……\n
MID_BLACKKNIGHT_HOME4: 格萊爾傭兵團的艾克\n和我使用同一套劍法……\n因為我們都拜同一人為師。\n
MID_BLACKKNIGHT_HOME5: 我曾將某個人物奉為恩師……\n但他卻……\n不，沒什麼好說的。
MID_BLACKKNIGHT_FRIEND: 你就是$Nu嗎？\n我是$Nf的使者。\n收下這封書信吧。
MID_BLACKKNIGHT_LEVEL1: 超越師父。\n這就是我的心願。
MID_BLACKKNIGHT_LEVEL2: 師父的劍，\n遠比我更為凌厲快速。
MID_BLACKKNIGHT_LEVEL3: …………
MID_BLACKKNIGHT_SKILL: 我的劍將為你而戰。
MID_BLACKKNIGHT_JOIN: 我是戴因王國的將領，\n拜領【四駿】之位者。
MID_BLACKKNIGHT_STRONGEST: 我的劍術師父是【四駿】高文……\n人稱神騎將的稀世將才……$k$p我曾和師父對決，並獲得了勝利。\n但師父那時候早已不再持劍……$k$p既然如此，我就不算是超越了師父。\n只有打倒能與過去的師父匹敵的強者……\n我才能算是真正超越師父。$k$p我一直企盼著這樣的機會到來。$k$p……讓你聽了無趣的話了。\n這種事情，\n旁人想必無法理解，不過……$k$p我只是覺得若你也是為戰而生者，\n也許……。
MID_BLACKKNIGHT_VOICE01: 哼！
MID_BLACKKNIGHT_VOICE02: ……滾。
MID_BLACKKNIGHT_VOICE03: 嗚啊～！
MID_BLACKKNIGHT_VOICE04: 相當了得……
MID_BLACKKNIGHT_VOICE05: 掂掂自己的斤兩吧。
MID_BLACKKNIGHT_VOICE06: 不攻過來嗎？
MID_BLACKKNIGHT_VOICE07: ……愚昧之徒。
MID_BLACKKNIGHT_VOICE08: 豁出你的全力。
MID_BLACKKNIGHT_VOICE09: 身體……無法動彈……
MID_BLACKKNIGHT_VOICE10: 呵……！
MID_BLACKKNIGHT_VOICE11: ……我的真面目？你還是別知道比較好。
MID_BLACKKNIGHT_VOICE12: ？……你親切的問候讓我有點吃驚啊……
MID_BLACKKNIGHT_VOICE13: 這副鎧甲曾獲得女神的祝福……
MID_BLACKKNIGHT_VOICE14: 可別讓我覺得……是我看走眼了喔。
MID_BLACKKNIGHT_VOICE15: 為了知道自己的極限，偶爾也必須果斷撤退。
MID_BLACKKNIGHT_VOICE16: 高文的兒子……叫做艾克吧……他是我的獵物。
MID_BLACKKNIGHT_VOICE17: 我為了保護你，才會身處此地。
MID_BLACKKNIGHT_VOICE18: 瞭解。
MID_BLACKKNIGHT_VOICE19: 無須顧慮。
MID_BLACKKNIGHT_VOICE20: 那麼，我要上了。
