[Heroes Archive] (BRUNO)


Heroes Message Name: Message


MID_BRUNO_VOICE01: 哼！
MID_BRUNO_VOICE02: 嘿！
MID_BRUNO_VOICE03: 嗚啊……！
MID_BRUNO_VOICE04: 居然如此高強……
MID_BRUNO_VOICE05: 要恨就恨吧。
MID_BRUNO_VOICE06: 我毫無興趣。
MID_BRUNO_VOICE07: 結束了。
MID_BRUNO_VOICE08: 絕望吧。
MID_BRUNO_VOICE09: 敵不過……嗎……
MID_BRUNO_VOICE10: 嗯……
MID_BRUNO_VOICE18: 嗯。
MID_BRUNO_VOICE19: 要出擊嗎？
MID_BRUNO_VOICE20: ……我就服從你吧。
MID_BRUNO_VOICE21: ファイアーエムブレム
MID_BRUNO_VOICE22: 暗黒竜と光の剣
MID_BRUNO_VOICE23: 外伝
MID_BRUNO_VOICE24: 紋章の謎
MID_BRUNO_VOICE25: 聖戦の系譜
MID_BRUNO_VOICE26: トラキア７７６
MID_BRUNO_VOICE27: 封印の剣
MID_BRUNO_VOICE28: 烈火の剣
MID_BRUNO_VOICE29: 聖魔の光石
MID_BRUNO_VOICE30: 蒼炎の軌跡
MID_BRUNO_VOICE31: 暁の女神
MID_BRUNO_VOICE32: 新・暗黒竜と光の剣
MID_BRUNO_VOICE33: 新・紋章の謎
MID_BRUNO_VOICE34: 覚醒
MID_BRUNO_VOICE35: ｉｆ
MID_BRUNO_VOICE36: 活動開始了喔。
MID_BRUNO_VOICE37: 大戰已經開始了。
MID_BRUNO_VOICE38: 強敵出現了。
MID_BRUNO_VOICE39: 有新英雄現身了。
MID_BRUNO_VOICE40: 給我有耐心點。
MID_BRUNO_VOICE_BRAVE: ブレイヴ
MID_BRUNO_VOICE_HEROES: ヒーローズ
