[Heroes Archive] (CAMILLA_SUMMER04)


Heroes Message Name: Message


MID_CAMILLA_SUMMER04_HOME1: 呼……今天太陽真大。\n得多塗一點防曬油才行……
MID_CAMILLA_SUMMER04_HOME2: 啊啊……這道燦爛的陽光，\n讓我覺得好像身處在夢境裡一樣！\n真想讓暗夜的子民看看這個景色。
MID_CAMILLA_SUMMER04_HOME3: 你怎麼了？\n臉這麼紅……是曬傷了嗎？\n我就陪你到變得比較好為止吧。
MID_CAMILLA_SUMMER04_HOME4: 這地方真舒適。\n我可以就這樣小睡一下嗎？\n在你身邊就覺得很安心呢……
MID_CAMILLA_SUMMER04_HOME5: 我原本以為那孩子不在的時間\n我會閒得發慌……\n不過感覺可以再多休息一下呢……
MID_CAMILLA_SUMMER04_FRIEND: 你好，應該是初次見面……吧？\n我是暗夜王國的公主卡美拉。\n正和$Nf一起度假喔。
MID_CAMILLA_SUMMER04_LEVEL1: 你一直這樣盯著我看，\n讓我有點認真起來了呢。
MID_CAMILLA_SUMMER04_LEVEL2: 感覺很不錯嘛？
MID_CAMILLA_SUMMER04_LEVEL3: 喝點冰涼的東西消消火好了……
MID_CAMILLA_SUMMER04_SKILL: 我的能力似乎又增強了呢。\n能做的事情我都會盡力去做的。
MID_CAMILLA_SUMMER04_JOIN: 我是暗夜王國的第一公主──卡美拉。\n我比較耐不住炎熱的天氣。\n請別太常帶我四處跑唷？
MID_CAMILLA_SUMMER04_STRONGEST: 前幾天有幾位敵兵緊盯著我的身體看……\n真是的……\n不知道他們是不是想被我大卸八塊？$k$p呵呵，不過只有你是特別的，\n就算你看遍我全身上下任何一吋……\n也沒有關係唷。$k$p哎呀？為什麼要移開視線呢？\n沒關係，不用害羞，\n來，轉過來看我……$k$p呵呵，你真是惹人憐愛，\n我越來越喜歡你那純情的樣子了。$k$p今天就讓我們一起度過熱情的一天吧。
MID_CAMILLA_SUMMER04_VOICE01: 喝！
MID_CAMILLA_SUMMER04_VOICE02: 我要上了。
MID_CAMILLA_SUMMER04_VOICE03: 不錯嘛。
MID_CAMILLA_SUMMER04_VOICE04: 哎呀，你這壞孩子……
MID_CAMILLA_SUMMER04_VOICE05: 沉入海底吧。
MID_CAMILLA_SUMMER04_VOICE06: 南國攻擊。
MID_CAMILLA_SUMMER04_VOICE07: 讓你沉溺在我的魅力裡。
MID_CAMILLA_SUMMER04_VOICE08: 不可以太興奮唷。
MID_CAMILLA_SUMMER04_VOICE09: 夏の終わりは、切ないわね…
MID_CAMILLA_SUMMER04_VOICE10: あらあら…
MID_CAMILLA_SUMMER04_VOICE11: まあ、香油を塗ってくれるの？　ありがとう。
MID_CAMILLA_SUMMER04_VOICE12: この水着、どうかしら？　ほら、もっと近くで見てちょうだい。
MID_CAMILLA_SUMMER04_VOICE13: 暑い日差しの中で、冷たい飲み物を飲むのは格別よ
MID_CAMILLA_SUMMER04_VOICE14: いつもこれぐらい身軽な方が闘いやすいかしら
MID_CAMILLA_SUMMER04_VOICE15: ここに海はないから…代わりに私の胸に飛び込んでちょうだい
MID_CAMILLA_SUMMER04_VOICE16: 私の可愛い臣下たちに、素敵なお土産を選びたいわね…
MID_CAMILLA_SUMMER04_VOICE17: 南の海はとても綺麗だったわ。今度はカムイと…\nそれから、あなたを連れて行って見せてあげたいの。
MID_CAMILLA_SUMMER04_VOICE18: わかったわ
MID_CAMILLA_SUMMER04_VOICE19: 泳ぎましょうか
MID_CAMILLA_SUMMER04_VOICE20: 汗ばんできちゃった
