[Heroes Archive] (CANAS)


Heroes Message Name: Message


MID_CANAS_HOME1: 嗯嗯，這可真是……\n啊，我只是在這裡看書而已，\n請別顧慮我。
MID_CANAS_HOME2: 據說這個世界有位被稱為召喚師，\n能夠召喚出英雄的人物存在喔。\n真想見見那個人。
MID_CANAS_HOME3: 巡邏辛苦了。\n不過，可別太勉強自己喔。\n休息也是工作的一部分呢。
MID_CANAS_HOME4: 要不要看看書，轉換一下心情？\n這本書很容易閱讀，\n我個人十分推薦喔。
MID_CANAS_HOME5: 這裡的書庫真是太棒了！\n居然有如此豐富的藏書……\n害我都想一直住在這裡了呢。
MID_CANAS_FRIEND: 我是卡納斯，\n替$Nf殿下\n帶來了問候。來，請收下。
MID_CANAS_LEVEL1: 真不錯！\n總覺得又更接近真理一步了呢！
MID_CANAS_LEVEL2: 嗯，看來狀況很不錯。
MID_CANAS_LEVEL3: 我果然還是沒有才能嗎……
MID_CANAS_SKILL: 喔，這可真不得了。\n我的好奇心越來越旺盛了呢。
MID_CANAS_JOIN: 這裡真是……有趣的地方呢。\n哎呀，還沒自我介紹呢。\n我叫卡納斯……是個普通的學者。
MID_CANAS_STRONGEST: 好痛！不好意思，我太熱衷於書中內容……\n原來是$Nu殿下，\n跟你說，這本書實在是非常有趣……$k$p你問我為什麼總是在看書？\n嗯～該說是我的好奇心特別旺盛嗎？\n只要有新的發現，就想更深入地追求全貌。$k$p在這些知識的盡頭到底有些什麼……\n雖在見到兄長們挑戰魔道極限的下場後，\n心中不免有所恐懼。$k$p但我還是無法壓抑自己的求知慾。\n我的個性就是這麼令人傷腦筋……\n哎，連我自己都覺得自己慾望太深呢。$k$p所以書對我來說是不可或缺的事物。\n對了，你看一下這本書的這邊，\n我從沒在我的國家看過這個圖騰……
MID_CANAS_VOICE01: 我看看……
MID_CANAS_VOICE02: 失禮了……
MID_CANAS_VOICE03: 嗚啊啊！
MID_CANAS_VOICE04: 太沒面子了……
MID_CANAS_VOICE05: 想看看另一頭有些什麼。
MID_CANAS_VOICE06: 在黑暗的另一頭……
MID_CANAS_VOICE07: 真是恐怖啊。
MID_CANAS_VOICE08: 只要用這本書……
MID_CANAS_VOICE09: はぁ…残念です…
MID_CANAS_VOICE10: はぁ…　（ぼんやりした返事）
MID_CANAS_VOICE11: あ、どうもこんにちは。僕はカナスといいます。
MID_CANAS_VOICE12: わわっ！？　どうもすみません…お邪魔でしたか？
MID_CANAS_VOICE13: 本は、とても面白いものです。ただ、知ることが満足なのです。
MID_CANAS_VOICE14: 今読んでいるのは『勇者ローラン』です。遥か昔、竜と戦った英雄の…
MID_CANAS_VOICE15: この魔道を使うには…自分の身に「闇」を取り入れ、屈服しない強さが必要です。
MID_CANAS_VOICE16: …兄たちは、「闇」の強さに取り込まれてしまいました…
MID_CANAS_VOICE17: あなたなら、わかってくれると思っていました…
MID_CANAS_VOICE18: はい
MID_CANAS_VOICE19: ふむふむ…
MID_CANAS_VOICE20: この本はですね…
