[Heroes Archive] (CECILIA)


Heroes Message Name: Message


MID_CECILIA_HOME1: 安娜隊長是位優秀的老師呢。\n雖然教法和我不同，\n但我想應該能和她很合得來喔。
MID_CECILIA_HOME2: 我以前也曾擔任過\n羅伊和莉莉娜的老師。\n呵呵，他們倆都是可愛的學生呢。
MID_CECILIA_HOME3: 老是勞煩你了。\n身為一軍之將還真辛苦。\n不介意的話，要不要一起喝杯紅茶呢？
MID_CECILIA_HOME4: 你是這支軍隊的指揮官。\n能跟你親近固然很好，\n但在戰場上可得鐵下心來下令喔。
MID_CECILIA_HOME5: 我曾擔任過羅伊的戰術老師，不過……\n卻很想拜你為師呢。\n你願意詳細指導我你的戰術嗎？
MID_CECILIA_FRIEND: 您好。\n您就是$Nu吧。\n我叫瑟西莉亞，專程來向您致意。
MID_CECILIA_LEVEL1: 呵呵，沒想到我居然\n還有這麼多成長空間呢。
MID_CECILIA_LEVEL2: 成長真是件令人開心的事呢。\n不過，年紀變大就不開心了……
MID_CECILIA_LEVEL3: 看來是該退還\n魔道軍將的稱號了……
MID_CECILIA_SKILL: 哎呀，投資在我身上真的可以嗎？\n這下可得回應你的期待了呢。
MID_CECILIA_JOIN: 我叫做瑟西莉亞，\n是伊特魯里亞的【魔道軍將】。\n你就是這支軍隊的指揮官嗎？
MID_CECILIA_STRONGEST: 我剛認識你的時候，\n原本還想跟羅伊和莉莉娜那時一樣，\n教導你各種事情呢。$k$p不過……你那令人驚訝的成長速度，\n轉眼間就超越了我……\n呵呵，總覺得有點落寞呢。$k$p你說你還是需要我……？\n呵呵，聽你這麼說，\n我也稍微安心了一點呢。$k$p再說，我能教你的事情還是不少，\n所以……\n今後也請你多多指教囉。呵呵！
MID_CECILIA_VOICE01: 喝！
MID_CECILIA_VOICE02: 喝！
MID_CECILIA_VOICE03: 呀啊～！
MID_CECILIA_VOICE04: 我太大意了……
MID_CECILIA_VOICE05: 趁現在……
MID_CECILIA_VOICE06: 你太小看我了呢。
MID_CECILIA_VOICE07: 要是太靠近的話可是會死掉的喔。
MID_CECILIA_VOICE08: 好機會！
MID_CECILIA_VOICE09: ……願光明……照耀未來……
MID_CECILIA_VOICE10: 呵呵！
MID_CECILIA_VOICE11: 你好，指揮官閣下。
MID_CECILIA_VOICE12: 呵呵，不可以跟我開玩笑喔。
MID_CECILIA_VOICE13: 我能感覺到你身上有種稀世天賦。
MID_CECILIA_VOICE14: 我們一起來討論戰術吧。
MID_CECILIA_VOICE15: 想知道什麼就儘管發問吧。
MID_CECILIA_VOICE16: 必須讓自己配得上自己的職務才行……
MID_CECILIA_VOICE17: 看來我可以從你身上學習到很多呢。
MID_CECILIA_VOICE18: 嗯。
MID_CECILIA_VOICE19: 該怎麼行動呢？
MID_CECILIA_VOICE20: 請下令。
