[Heroes Archive] (CHROM2)


Heroes Message Name: Message


MID_CHROM2_HOME1: 那就開始今天的鍛鍊吧。\n畢竟要是太過鬆懈的話，\n感覺會被他們臭罵一頓呢。
MID_CHROM2_HOME2: 雖說用雙腳踏遍這片大地也不錯，\n但從這傢伙背上欣賞世界也很棒。\n……啊啊，風真舒服。
MID_CHROM2_HOME3: 怎麼啦？感覺你沒什麼精神。\n要不要試試全力衝刺到附近的山丘啊？\n只要吹吹風，心情就會變得很暢快哦。
MID_CHROM2_HOME4: 唔？這顆蘋果嗎？原本是要餵給馬吃的，\n但看起來太好吃，我就忍不住了。\n你也要咬一口嗎？來，別客氣。
MID_CHROM2_HOME5: 喔喔，是$Nu啊。\n我正好在照料我的愛馬，\n你要摸摸看嗎？很可愛哦。
MID_CHROM2_FRIEND: 這裡是$Nu的城堡啊！\n跟$Nf的城堡比起來，\n這裡的陣仗也毫不遜色呢。
MID_CHROM2_LEVEL1: 我要用這股力量斬斷戰亂漩渦！\n集結到這面旗幟之下吧！
MID_CHROM2_LEVEL2: 我在此發誓要更深入鑽研！
MID_CHROM2_LEVEL3: 毫無變化……真的嗎？\n抱歉！或許都是因為我能力還不夠！
MID_CHROM2_SKILL: 我以這新技能與伊里斯聖王國王子之名，\n宣誓成為你的力量！
MID_CHROM2_JOIN: 我是伊里斯聖王國王子──庫洛武。\n嗯？你說我這樣子很稀奇？\n放心吧，我對馬術也是頗有心得的。
MID_CHROM2_STRONGEST: 你認為騎士是怎樣的存在？\n就算犧牲自我也要保護友軍，\n毫不畏懼，帶著榮耀作戰到底……$k$p雖然有人這樣想，但我總覺得哪裡不太對勁。\n犧牲自我幫助他人，的確令人敬佩。\n這並非誰都能做得到。$k$p但這行為同時也是在傷害那些重視自己的人，\n你明白我的意思嗎？$k$p……沒錯，$Nu！\n這句話就是對你說的。\n我認為要拯救別人前，必須得先拯救自己！$k$p作為懷抱相同信念的朋友，\n我們要互相支持，有難同當。\n作為締結羈絆的同志，今後也要一起走下去！
MID_CHROM2_VOICE01: 喝！
MID_CHROM2_VOICE02: 哼！
MID_CHROM2_VOICE03: 嗚啊啊！
MID_CHROM2_VOICE04: 糟了……！
MID_CHROM2_VOICE05: 我這就來幫你！
MID_CHROM2_VOICE06: 突擊！
MID_CHROM2_VOICE07: 銳不可擋！
MID_CHROM2_VOICE08: 人馬一體！
MID_CHROM2_VOICE09: すまん…みんな…
MID_CHROM2_VOICE10: はははっ
MID_CHROM2_VOICE11: 心配するな、騎馬での戦いも心得がある。
MID_CHROM2_VOICE12: ん？　今、俺を呼んだのか？
MID_CHROM2_VOICE13: 騎馬の利点は機動力だ。すぐに仲間を助けに行ける。
MID_CHROM2_VOICE14: 馬との付き合い方は、フレデリクに学ぶのが良い。
MID_CHROM2_VOICE15: 色々な戦い方ができれば、もっと強くなれるはずだ。
MID_CHROM2_VOICE16: むう…馬上でも、やはり壁に穴をあけてしまうな…
MID_CHROM2_VOICE17: 困ったら俺を呼べ。どこにいようと必ず駆けつける。
MID_CHROM2_VOICE18: 今行くぞ
MID_CHROM2_VOICE19: どうする？
MID_CHROM2_VOICE20: 救援に向かう！
