[Heroes Archive] (DORCAS)


Heroes Message Name: Message


MID_DORCAS_HOME1: 真懷念在伯爾尼當傭兵的那段時光……\n娜塔莉……不知道她的身體怎麼樣了……
MID_DORCAS_HOME2: 我以前當傭兵的時候，認識了\n一個叫做琳的女孩，從此洗心革面。\n然後，我現在來到這裡……
MID_DORCAS_HOME3: 你的臉色挺差的呢。\n戰士偶爾也需要休息。\n該休息就休息吧……
MID_DORCAS_HOME4: 你要我講講老婆的事，對吧？\n一、一點都不有趣喔……
MID_DORCAS_HOME5: 我在沒有訓練的時候……\n會看著娜塔莉\n為我畫的這幅畫……
MID_DORCAS_FRIEND: 你就是$Nu嗎？\n今後也要拜託你多關照\n$Nf喔。
MID_DORCAS_LEVEL1: 狀況太好了。\n反而讓人有點不安……
MID_DORCAS_LEVEL2: 馬馬虎虎……\n大概就是這樣吧……
MID_DORCAS_LEVEL3: 娜塔莉……抱歉……
MID_DORCAS_SKILL: 原來如此……\n我自己也難以置信……
MID_DORCAS_JOIN: 我的名字是多爾卡斯。\n曾在伯爾尼當過傭兵。\n不過……那也已經過去了。
MID_DORCAS_STRONGEST: 為了替老婆買藥，\n我曾當過傭兵，\n還差點犯下傷天害理的事情……$k$p那時候拯救了我的，\n就是琳他們……$k$p對於這份恩情，\n我現在依舊想回報……$k$p啊，我知道你也和琳他們一樣，\n是為了正義而奮戰的……$k$p我不會再誤入歧途了。\n今後也請讓我協助你吧。
MID_DORCAS_VOICE01: 哼！
MID_DORCAS_VOICE02: 抱歉……
MID_DORCAS_VOICE03: 嗚啊～！
MID_DORCAS_VOICE04: 我不能死……
MID_DORCAS_VOICE05: 為了娜塔莉。
MID_DORCAS_VOICE06: 我不會死……
MID_DORCAS_VOICE07: 要活著回去……
MID_DORCAS_VOICE08: 就算用爬的也要活下去……
MID_DORCAS_VOICE09: 抱歉，娜塔莉……
MID_DORCAS_VOICE10: 哈哈。
MID_DORCAS_VOICE11: ……我不是英雄。只是為了活下去而拼命而已。
MID_DORCAS_VOICE12: 身體狀況？……馬馬虎虎吧。
MID_DORCAS_VOICE13: 我需要錢……也曾為了錢而當過山賊。
MID_DORCAS_VOICE14: 我老婆的腳……罹患了重病。需要很多錢才能治療……
MID_DORCAS_VOICE15: 這是娜塔莉……就是我老婆畫的畫。
MID_DORCAS_VOICE16: 我一定會活著回去。因為她在等著我……
MID_DORCAS_VOICE17: 要是我幫得上忙……就盡管使喚吧。
MID_DORCAS_VOICE18: 嗯。
MID_DORCAS_VOICE19: ……要怎麼做？
MID_DORCAS_VOICE20: 給我指示。
