[Heroes Archive] (DORCAS_HALLOWEEN02)


Heroes Message Name: Message


MID_DORCAS_HALLOWEEN02_HOME1: 無論我走到哪，大家都會過來找我搭話……\n這身打扮真的那麼醒目嗎……？
MID_DORCAS_HALLOWEEN02_HOME2: 收穫祭啊……\n如果娜塔莉在這裡，\n她一定能會畫出很美的畫吧。
MID_DORCAS_HALLOWEEN02_HOME3: 放心。\n我只是不擅長擺笑臉而已，\n其實還是玩得很開心……
MID_DORCAS_HALLOWEEN02_HOME4: ……收下這糖果吧。\n放心，雖然它看起來很奇怪，\n但對身體無害。
MID_DORCAS_HALLOWEEN02_HOME5: 只要我一靠近，\n大家就會臉色發青，把糖果交給我，\n但我才是那個想發糖果的人啊……
MID_DORCAS_HALLOWEEN02_FRIEND: 抱歉嚇到你了。\n我只是替$Nf\n捎來問候……
MID_DORCAS_HALLOWEEN02_LEVEL1: 感覺有變強……\n只要習慣，這身打扮其實也不錯。
MID_DORCAS_HALLOWEEN02_LEVEL2: 我實在不懂惡作劇該如何拿捏分寸……
MID_DORCAS_HALLOWEEN02_LEVEL3: 我果然……\n不適合這種歡樂的慶典……
MID_DORCAS_HALLOWEEN02_SKILL: 謝謝……\n作為謝禮，收下這糖果吧。
MID_DORCAS_HALLOWEEN02_JOIN: 我的名字是多爾卡斯。\n雖然我不習慣參加熱鬧的慶典……\n既然我答應了，就會好好扮演怪物的。
MID_DORCAS_HALLOWEEN02_STRONGEST: 老實說，\n對於這身打扮……\n我一開始實在不知該如何是好。$k$p我原本就不是一個……\n會為了討好別人而陪笑的男人，\n要這樣的我去娛樂大家，實在是……$k$p但是，\n當我看到孩子們的笑容後……\n這些不安馬上就消失了。$k$p他們一見到我這身打扮，\n都開心地前來和我搭話……\n我第一次遇到這種狀況。$k$p收穫祭真是不錯的活動呢。\n下次我也想讓老婆看看我這身打扮……
MID_DORCAS_HALLOWEEN02_VOICE01: 哼！
MID_DORCAS_HALLOWEEN02_VOICE02: 我要上了！
MID_DORCAS_HALLOWEEN02_VOICE03: 唔啊啊！
MID_DORCAS_HALLOWEEN02_VOICE04: 我必須撐住……
MID_DORCAS_HALLOWEEN02_VOICE05: 不給糖就搗蛋。
MID_DORCAS_HALLOWEEN02_VOICE06: 我不會再做壞事了。
MID_DORCAS_HALLOWEEN02_VOICE07: 我要拿走這些糖果。
MID_DORCAS_HALLOWEEN02_VOICE08: 慶祝慶典吧！
MID_DORCAS_HALLOWEEN02_VOICE09: この菓子は…ナタリーに…
MID_DORCAS_HALLOWEEN02_VOICE10: うーむ
MID_DORCAS_HALLOWEEN02_VOICE11: どうにも、この格好は落ち着かんな…
MID_DORCAS_HALLOWEEN02_VOICE12: ！？　…驚かせるな。脅かす役はこっちだろう。
MID_DORCAS_HALLOWEEN02_VOICE13: 祭りには縁がなかった。日々暮らしていくのでやっとだからな…
MID_DORCAS_HALLOWEEN02_VOICE14: この菓子を土産にすれば、妻が喜ぶだろう。
MID_DORCAS_HALLOWEEN02_VOICE15: まあまあ…似合っている…のか？　俺にはよくわからん。
MID_DORCAS_HALLOWEEN02_VOICE16: ナタリーの足が良くなれば…祭りを見せてやりたい。
MID_DORCAS_HALLOWEEN02_VOICE17: 菓子をいくらかもらった。良ければ、あんたの好きなものを取ってくれ。
MID_DORCAS_HALLOWEEN02_VOICE18: わかった
MID_DORCAS_HALLOWEEN02_VOICE19: 菓子は望まん
MID_DORCAS_HALLOWEEN02_VOICE20: 悪戯などせん…
