[Heroes Archive] (DYUTE)


Heroes Message Name: Message


MID_DYUTE_HOME1: 哇～好棒喔……！\n每個人都好漂亮、好時髦……\n完全就是我憧憬的世界啊～！！
MID_DYUTE_HOME2: 我出生的村子有夠鄉下的，\n老實說我已經待膩了呢。\n所以能來到這個世界，我真的很開心喔！
MID_DYUTE_HOME3: 啊，$Nu！\n你在巡邏啊？你好勤快喔～\n好！我就特別稱讚你吧！
MID_DYUTE_HOME4: 欸欸欸，陪我玩啦～！\n告訴我哪邊有時髦的店\n跟好吃的東西嘛～！！
MID_DYUTE_HOME5: 我在觀察打扮時尚的人！\n如果要吸引出色的對象，\n我也得成為出色的女性才行啊！
MID_DYUTE_FRIEND: 你就是$Nu吧！\n$Nf說要我\n來跟你打聲招呼！
MID_DYUTE_LEVEL1: 在這個世界上，\n沒人是我的對手吧～！
MID_DYUTE_LEVEL2: 耶嘿嘿！\n我很厲害吧？
MID_DYUTE_LEVEL3: 咦——！？\n討厭，這樣好遜喔～！
MID_DYUTE_SKILL: 因為我很可愛，所以特別眷顧我嗎？\n耶嘿嘿，果然是呢～！
MID_DYUTE_JOIN: 你好！我叫做迪優特！\n要比魔法的話，我是最強的。\n我會把所有人都轟飛出去！！
MID_DYUTE_STRONGEST: $Nu～！\n真是的，我一直在等你耶！\n你也太晚來了吧～$k$p話說回來，你不僅有強大的力量，\n而且明明不是這個國家的人，\n卻願意為大家而戰，我很尊敬你哦。$k$p你明明這麼厲害，卻不會仗勢欺人，\n也不會像哥哥一樣老是愛說教，\n只要跟你在一起，我就會很安心呢。$k$p啊，我並不是討厭哥哥哦！\n可是，我好想繼續和你在一起……\n這種感覺到底是什麼？$k$p欸，$Nu……\n今後也要教我各種事情喔。\n我會為你努力奮戰的！
MID_DYUTE_VOICE01: 喝！
MID_DYUTE_VOICE02: 要上囉！
MID_DYUTE_VOICE03: 不要啊――！！
MID_DYUTE_VOICE04: 騙人！為什麼！？
MID_DYUTE_VOICE05: 結束了！
MID_DYUTE_VOICE06: 我要幹掉你！
MID_DYUTE_VOICE07: 這是懲罰！
MID_DYUTE_VOICE08: 抱歉！
MID_DYUTE_VOICE09: 我不要這樣……
MID_DYUTE_VOICE10: 呀哈！
MID_DYUTE_VOICE11: 欸，你喜歡怎樣的人呢？
MID_DYUTE_VOICE12: 修行之類的，真是麻煩呢～
MID_DYUTE_VOICE13: 因為我是天才嘛。
MID_DYUTE_VOICE14: 唉～好想去玩喔～
MID_DYUTE_VOICE15: 我將來的夢想是當新娘！
MID_DYUTE_VOICE16: 我是不討厭哥哥啦。
MID_DYUTE_VOICE17: 那個……我最喜歡你了。耶嘿嘿，開心嗎？
MID_DYUTE_VOICE18: 嗯，好啊。
MID_DYUTE_VOICE19: 呃～……
MID_DYUTE_VOICE20: 要上囉！
