[Heroes Archive] (ELISE_SUMMER02)


Heroes Message Name: Message


MID_ELISE_SUMMER02_HOME1: 啊，$Nu殿下！\n你要不要也穿泳裝戰鬥看看呢？\n很涼快，也很方便行動喔！
MID_ELISE_SUMMER02_HOME2: 我來這裡之前曾經和人比賽，\n贏的人就能前往南國島嶼。\n多虧了哈洛德和艾爾菲，是我贏了！
MID_ELISE_SUMMER02_HOME3: 任務辛苦了。\n這個用南國的花做成的花圈送給你。\n因為努力的人需要獎勵啊！
MID_ELISE_SUMMER02_HOME4: 欸欸欸，我們一起去游泳吧！\n特務機關的夥伴們也需要放鬆一下喔！\n啊，但如果這時有敵人來襲就糟了……
MID_ELISE_SUMMER02_HOME5: 獨自前往南國島嶼旅行，你不覺得\n這樣很像個成熟女性嗎？\n我有沒有更接近完美的淑女呢？
MID_ELISE_SUMMER02_FRIEND: 我是來替$Nf殿下\n向你致意的喔～！\n這附近有沒有可以游泳的地方呢？
MID_ELISE_SUMMER02_LEVEL1: 好棒喔～！今年夏天，或許\n我可以成為出色的淑女喔！
MID_ELISE_SUMMER02_LEVEL2: 夏天能讓女人成長，\n卡美拉姊姊也是這麼說的唷！
MID_ELISE_SUMMER02_LEVEL3: 這、這樣不行！\n不能再玩了，要集中精神喔！
MID_ELISE_SUMMER02_SKILL: 謝謝你給我新的力量！\n讓我也想要新的泳裝了呢。
MID_ELISE_SUMMER02_JOIN: 我是暗夜王國的公主艾麗澤！\n原本在南國島嶼玩耍，不過……\n這邊的世界好像也很有趣呢！
MID_ELISE_SUMMER02_STRONGEST: 嘿～！南國攻擊～！！\n耶嘿嘿，嚇到了嗎？\n因為你來看我，所以我才高興到撲了上去！$k$p南國島嶼雖然也很有趣，不過\n我也很喜歡亞斯克王國喔！\n因為特務機關的夥伴們對我都很好……$k$p而且各個世界的英雄\n也都會陪我玩嘛！\n不過，我偷偷告訴你……$k$p跟$Nu殿下一起玩\n最讓我開心了！\n我總是在期待著你來找我喔！$k$p假如戰爭結束了，\n我們就一起去海邊玩吧！\n打勾勾，說謊的是小狗。約好了喔！
MID_ELISE_SUMMER02_VOICE01: 嘿～！
MID_ELISE_SUMMER02_VOICE02: 呀～！
MID_ELISE_SUMMER02_VOICE03: 嗚哇！？
MID_ELISE_SUMMER02_VOICE04: 等一下！
MID_ELISE_SUMMER02_VOICE05: 沉下去吧！
MID_ELISE_SUMMER02_VOICE06: 南國攻擊！
MID_ELISE_SUMMER02_VOICE07: 溺水吧！
MID_ELISE_SUMMER02_VOICE08: 再盡興一點！
MID_ELISE_SUMMER02_VOICE09: 我輸了……
MID_ELISE_SUMMER02_VOICE10: 耶嘿嘿。
MID_ELISE_SUMMER02_VOICE11: 這件泳裝很可愛吧！？
MID_ELISE_SUMMER02_VOICE12: 我一直想在南國島嶼上穿泳裝看看！
MID_ELISE_SUMMER02_VOICE13: 我最喜歡碧海跟藍天了！
MID_ELISE_SUMMER02_VOICE14: 一直游泳的話，肚子會餓呢。
MID_ELISE_SUMMER02_VOICE15: 我現在雖然還在發育，但未來可是會擁有「魔鬼身材」的喔。
MID_ELISE_SUMMER02_VOICE16: 紅花要給哈洛德，白花要給艾爾菲……
MID_ELISE_SUMMER02_VOICE17: 等戰爭結束後，好想再去南國島嶼一次呢！\n下次你也一起去吧！
MID_ELISE_SUMMER02_VOICE18: 好～
MID_ELISE_SUMMER02_VOICE19: 好熱啊。
MID_ELISE_SUMMER02_VOICE20: 嘩～
