[Heroes Archive] (ELIWOD)


Heroes Message Name: Message


MID_ELIWOD_HOME1: 雖然很遺憾……\n但這個世界果然也有\n國家在相互征戰呢。
MID_ELIWOD_HOME2: 老實說……\n我的體格並不是很健壯。\n要是給你造成了困擾，還請多多包涵。
MID_ELIWOD_HOME3: 老是勞煩你呢。\n正因為有你在，\n我們才能安心戰鬥。
MID_ELIWOD_HOME4: 嗨，狀況還好嗎？\n天氣這麼好，\n我正想說要不要去散個步呢。
MID_ELIWOD_HOME5: 羅伊的身體比我更健壯，\n而且還積極進取、勤學好問。\n是我引以為傲的兒子喔。
MID_ELIWOD_FRIEND: 你好。$Nf\n託我來向你致意。\n今後也請跟他好好相處。
MID_ELIWOD_LEVEL1: 好……！\n這樣就能為大家而戰了……！
MID_ELIWOD_LEVEL2: 嗯，感覺不錯。\n就照這氣勢努力下去吧。
MID_ELIWOD_LEVEL3: 抱歉……\n身體狀況好像不太好。
MID_ELIWOD_SKILL: 我不會滿足於這份榮耀，\n未來仍將持續努力。
MID_ELIWOD_JOIN: 我的名字是艾利烏德。\n是費雷這個小國家的大公之子。\n
MID_ELIWOD_STRONGEST: 現在回想起來，我會邂逅你\n或許也是命中註定的呢。$k$p你信任我們，\n為我們努力奮戰的模樣，\n給了大家勇氣……$k$p當然，對我來說，\n那同樣是希望之光……$k$p只要和你在一起，\n我就覺得我們\n能夠克服任何困境。$k$p所以，我今後也想一直在你身邊……\n這就是我的心願。
MID_ELIWOD_VOICE01: 喝！
MID_ELIWOD_VOICE02: 嘿！
MID_ELIWOD_VOICE03: 嗚啊～！
MID_ELIWOD_VOICE04: 糟了……
MID_ELIWOD_VOICE05: 快退下！
MID_ELIWOD_VOICE06: 就用這招打倒你！
MID_ELIWOD_VOICE07: 這裡交給我！
MID_ELIWOD_VOICE08: 請看著我！
MID_ELIWOD_VOICE09: 各位……抱歉……
MID_ELIWOD_VOICE10: 呵呵。
MID_ELIWOD_VOICE11: ？怎麼了？
MID_ELIWOD_VOICE12: 哈哈，你真是個怪人呢。
MID_ELIWOD_VOICE13: 這裡真是個熱鬧又溫暖的地方。
MID_ELIWOD_VOICE14: 我的身體並不是很健壯……
MID_ELIWOD_VOICE15: 可別太逞強喔。
MID_ELIWOD_VOICE16: 我把大家當成我重要的夥伴喔。
MID_ELIWOD_VOICE17: 我們兩個一起活著回去吧。
MID_ELIWOD_VOICE18: 知道了。
MID_ELIWOD_VOICE19: 該怎麼做呢……
MID_ELIWOD_VOICE20: 走吧。
