[Heroes Archive] (FIR)


Heroes Message Name: Message


MID_FIR_HOME1: 在這座城堡裡，觸目所及\n盡是身經百戰的英雄……\n真希望能請大家陪我過過招！
MID_FIR_HOME2: 伯父大人及母親大人\n都是劍術登峰造極的劍聖。\n我將來也想像他們一樣……
MID_FIR_HOME3: 巡邏辛苦了！\n我也得向您看齊才行……\n我要去練劍了！
MID_FIR_HOME4: 在下有事相求！\n……咦？要兩個人一起練劍時，\n講這句話很奇怪？
MID_FIR_HOME5: 嘿呀！\n……啊！不好意思。\n我正在練劍……太靠近的話很危險喔！
MID_FIR_FRIEND: 在下有事相求！\n我受$Nf殿下之託，\n前來向您致意！
MID_FIR_LEVEL1: 我找到了。\n這就是……成為劍聖之路！
MID_FIR_LEVEL2: 確實有成長的感覺。\n就照這氣勢努力下去吧！
MID_FIR_LEVEL3: 這樣的話……我根本追不上\n伯父大人及母親大人……
MID_FIR_SKILL: 我一定會善用\n您給我的這份力量！
MID_FIR_JOIN: 我是雲遊劍客菲爾，\n目前正在周遊列國，同時繼續修行。\n懇請賜教！
MID_FIR_STRONGEST: 在旅途中經歷大小戰鬥後……\n我原本以為自己已經變得很強了。$k$p但是，自從認識您……\n認識$Nu殿下後……$k$p我才發現，真正的強大\n並不是戰場上的強悍……而是能夠\n隨時守護夥伴、保衛和平的堅強心靈。$k$p多虧您讓我領悟到這件事。\n我希望今後也能常伴您左右，\n更加深入學習堅強的本質。$k$p不只是戰場上的事，\n還希望您能告訴我更多事情。\n拜託您了！
MID_FIR_VOICE01: 喝！
MID_FIR_VOICE02: 呀！
MID_FIR_VOICE03: 呀啊～！
MID_FIR_VOICE04: 什麼……怎麼會……
MID_FIR_VOICE05: 一決勝負！
MID_FIR_VOICE06: 無須手下留情！
MID_FIR_VOICE07: 劍術之道！
MID_FIR_VOICE08: 我要認真上了！
MID_FIR_VOICE09: ……任重……道遠……
MID_FIR_VOICE10: 呵呵！
MID_FIR_VOICE11: 是！該我上場了嗎？
MID_FIR_VOICE12: 呀！？請、請不要捉弄我！
MID_FIR_VOICE13: 懇請賜教！
MID_FIR_VOICE14: 我好像很容易上當……
MID_FIR_VOICE15: 我剛剛在練劍。
MID_FIR_VOICE16: 我將來也要像母親大人一樣……
MID_FIR_VOICE17: 只要在您身邊，就是受益良多的修行。
MID_FIR_VOICE18: 是！
MID_FIR_VOICE19: 出征！
MID_FIR_VOICE20: 要上了！
