[Heroes Archive] (GOHDON)


Heroes Message Name: Message


MID_GOHDON_HOME1: 你的武器跟我的弓一樣，\n也能攻擊遠方的敵人，對吧？\n希望下次能跟你一起切磋。
MID_GOHDON_HOME2: 我天生就是一副娃娃臉，\n個性也像你看到的這樣，\n很沒有騎士的威嚴吧……
MID_GOHDON_HOME3: 啊，$Nu！\n一直以來承蒙你的關照。只要有你指揮坐鎮，\n我就覺得自己能夠繼續努力。
MID_GOHDON_HOME4: 真希望自己能在大家面前\n說些有用的話……\n我不太擅長這種事啊……
MID_GOHDON_HOME5: 我的射箭技巧是喬爾裘先生指導的。\n他被稱為陸地第一神射手，\n真的很厲害喔。
MID_GOHDON_FRIEND: 嗨，你就是$Nu嗎？\n$Nf\n託我前來向你問候。
MID_GOHDON_LEVEL1: 咦！？沒想到我居然能有\n這麼大幅度的成長……！
MID_GOHDON_LEVEL2: 嗯，就照這股氣勢，\n一步步努力邁進吧。
MID_GOHDON_LEVEL3: 這樣會一直被大家\n當成新人看待啦……
MID_GOHDON_SKILL: 太好了！這樣一來，我的射箭\n本領應該也會大幅成長喔！
MID_GOHDON_JOIN: 我叫做哥頓，\n是阿利提亞王國騎士團的\n弓箭手喔。請多指教。
MID_GOHDON_STRONGEST: 一直以來承蒙你的關照。\n我能夠努力到這種地步，\n都要感謝你喔。$k$p因為有你指揮，\n我才能在各地貢獻一己之力。\n我真的很開心。$k$p要是我的外表也能因此而變得\n更有威嚴就好了……\n啊哈哈，這實在不太可能呢。$k$p不過……如果能夠待在你身邊的話，\n或許我還能繼續成長。\n今後也請你多多指教囉。\n
MID_GOHDON_VOICE01: 嘿！
MID_GOHDON_VOICE02: 呀！
MID_GOHDON_VOICE03: 嗚啊～！
MID_GOHDON_VOICE04: 糟了……
MID_GOHDON_VOICE05: 我也辦得到。
MID_GOHDON_VOICE06: 我不會輸的！
MID_GOHDON_VOICE07: 吃我一箭！
MID_GOHDON_VOICE08: 我會努力的。
MID_GOHDON_VOICE09: 對不起……我已經……
MID_GOHDON_VOICE10: 哈哈。
MID_GOHDON_VOICE11: 嗯？有事嗎？
MID_GOHDON_VOICE12: 啊哈哈，怎麼了呢？
MID_GOHDON_VOICE13: 別看我這樣，我也是騎士團的一員喔。
MID_GOHDON_VOICE14: 一起加油吧。
MID_GOHDON_VOICE15: 我看起來如何？
MID_GOHDON_VOICE16: 我長得一副娃娃臉吧……
MID_GOHDON_VOICE17: 看你的囉。
MID_GOHDON_VOICE18: 嗯！
MID_GOHDON_VOICE19: 好迷惘啊……
MID_GOHDON_VOICE20: 我會努力的。
