[Heroes Archive] (HECTOR_POPULARITY03)


Heroes Message Name: Message


MID_HECTOR_POPULARITY03_HOME1: 哥哥……\n我好想在哥哥的身邊協助他……
MID_HECTOR_POPULARITY03_HOME2: 這傢伙是冰雪之槍馬爾堤，\n跟阿爾瑪茲一樣是被稱為神將器的武器。\n但用法感覺差很多呢。
MID_HECTOR_POPULARITY03_HOME3: 別靠我太近，\n不然可能會不小心被我的鎧甲壓扁……\n沒有啦，開玩笑的、開玩笑的！
MID_HECTOR_POPULARITY03_HOME4: 要穿著重裝鎧甲行動，日常訓練非常重要。\n你也要試試看一起訓練嗎？\n只要習慣了，意外地還挺有趣的喔。
MID_HECTOR_POPULARITY03_HOME5: 幹嘛露出那種不可思議的眼神啊……？\n我也會看點書啊，\n畢竟身為領主也是需要有教養的。
MID_HECTOR_POPULARITY03_FRIEND: 我是海克托爾，\n我替$Nf\n帶來問候啦。
MID_HECTOR_POPULARITY03_LEVEL1: 我覺得現在的自己不會輸給任何人！
MID_HECTOR_POPULARITY03_LEVEL2: 我已經挺習慣這支槍的用法了。
MID_HECTOR_POPULARITY03_LEVEL3: 可惡，\n鎧甲也太重了……
MID_HECTOR_POPULARITY03_SKILL: 噢！謝啦！\n跟以往一樣，我會在戰場上回報你的。
MID_HECTOR_POPULARITY03_JOIN: 我是奧斯提亞侯爵──海克托爾。\n我好像聽到有人在呼喚我……\n啊，如果是敵人，我就用這把槍把他打飛。
MID_HECTOR_POPULARITY03_STRONGEST: $Nu，我問你，\n你認為領導者應該具備什麼樣的資質呢？$k$p自從繼任後，我就一直在思考這個問題……\n英勇過人？聰明才智……？\n感覺這些好像都不太對。$k$p什麼？你說……聲望？\n沒有人們的支持，就沒有領導的資格。\n原來如此，你說得沒錯。$k$p但聲望是無形的東西啊……\n你說……這不是問題？\n喂喂，你居然說得這麼斬釘截鐵。$k$p不過，\n為了哥哥和那些對我有期望的人，\n我會努力不辜負大家的。
MID_HECTOR_POPULARITY03_VOICE01: 嘿！
MID_HECTOR_POPULARITY03_VOICE02: 我要上了！
MID_HECTOR_POPULARITY03_VOICE03: 唔啊啊！
MID_HECTOR_POPULARITY03_VOICE04: 還差得遠……！
MID_HECTOR_POPULARITY03_VOICE05: 我不會手下留情！
MID_HECTOR_POPULARITY03_VOICE06: 殺出一條路吧！
MID_HECTOR_POPULARITY03_VOICE07: 你的運氣還真背。
MID_HECTOR_POPULARITY03_VOICE08: 馬爾堤！
MID_HECTOR_POPULARITY03_VOICE09: 兄上……俺は……
MID_HECTOR_POPULARITY03_VOICE10: うーむ
MID_HECTOR_POPULARITY03_VOICE11: こいつはオスティア侯爵家の重装鎧だ。すげー重いぜ。
MID_HECTOR_POPULARITY03_VOICE12: うおっ！？　こいつを着てるといつも通り動けねえ…
MID_HECTOR_POPULARITY03_VOICE13: 先祖代々、勤倹尚武（きんけんしょうぶ）がオスティアの理念だ。
MID_HECTOR_POPULARITY03_VOICE14: 俺の兄はオスティア侯ウーゼル。心から尊敬できる男だった。
MID_HECTOR_POPULARITY03_VOICE15: いつか兄上の片腕となって助ける…それが俺の望みだった…
MID_HECTOR_POPULARITY03_VOICE16: 頼んでもいねえのに…死ぬ間際まで、俺なんかのこと心配しやがって…
MID_HECTOR_POPULARITY03_VOICE17: お前は絶対、死なせたりしねーからな。
MID_HECTOR_POPULARITY03_VOICE18: ああ
MID_HECTOR_POPULARITY03_VOICE19: さて、と
MID_HECTOR_POPULARITY03_VOICE20: 一歩一歩だ
