[Heroes Archive] (HECTOR_VALENTINE01)


Heroes Message Name: Message


MID_HECTOR_VALENTINE01_HOME1: 在你原本的世界也有愛之祭典啊……\n那在鬥技大會獲得冠軍的是什麼樣的人啊？
MID_HECTOR_VALENTINE01_HOME2: 該送什麼禮物才好之類的問題，\n就算問我也沒用喔。\n我給不了什麼好建議。
MID_HECTOR_VALENTINE01_HOME3: 喂喂，\n不知道是因為愛之祭典還是怎樣的，\n大家是不是有點太浮躁了？
MID_HECTOR_VALENTINE01_HOME4: 街上有一堆店鋪都在賣\n看起來甜得要死的點心……\n比起甜點，我還是對鬥技大會更有興趣。
MID_HECTOR_VALENTINE01_HOME5: 我從以前就常和艾利烏德過招對練，\n雖然他的身體不像我這麼壯碩……\n但也蠻強的喔。跟我不相上下吧。
MID_HECTOR_VALENTINE01_FRIEND: 我替$Nf\n送禮物過來囉。\n你如果不要，我就帶回去了。
MID_HECTOR_VALENTINE01_LEVEL1: 鬥技大會的冠軍就由我奪下了！
MID_HECTOR_VALENTINE01_LEVEL2: 就算是愛之祭典，\n我也不會鬆懈。
MID_HECTOR_VALENTINE01_LEVEL3: 唉，我也跟著周圍浮躁起來了嗎……
MID_HECTOR_VALENTINE01_SKILL: 得想辦法答謝你才行啊……\n你想要什麼？
MID_HECTOR_VALENTINE01_JOIN: 我是海克托爾。\n嗯？你難道是因為想要禮物才召喚我？
MID_HECTOR_VALENTINE01_STRONGEST: 雖然送禮物什麼的不像我的作風……\n但禮物能表達感謝的心意對吧？$k$p既然如此，我也得送禮物才行。\n要送給女兒莉莉娜，\n還有艾利烏德……$k$p可是，我不曉得送禮物時\n該說什麼才好耶……\n而且感覺怪難為情的……$k$p喂，$Nu，\n幫我一起想想啊，\n我實在對這種事很不拿手……$k$p喔，可以嗎？\n太感激啦！\n我之後也會送你禮物的！
MID_HECTOR_VALENTINE01_VOICE01: 哦哦！
MID_HECTOR_VALENTINE01_VOICE02: 收下吧！
MID_HECTOR_VALENTINE01_VOICE03: 嗚啊啊！
MID_HECTOR_VALENTINE01_VOICE04: 竟然……！？
MID_HECTOR_VALENTINE01_VOICE05: 禮物來囉！
MID_HECTOR_VALENTINE01_VOICE06: 給你這個！
MID_HECTOR_VALENTINE01_VOICE07: 真讓人躍躍欲試啊！
MID_HECTOR_VALENTINE01_VOICE08: 別小看這招！
MID_HECTOR_VALENTINE01_VOICE09: 甘く…見ちまったか…
MID_HECTOR_VALENTINE01_VOICE10: ははっ！
MID_HECTOR_VALENTINE01_VOICE11: ヘクトルだ。なあ、闘技大会はどこでやってんだ？
MID_HECTOR_VALENTINE01_VOICE12: うおっ！？　…なんだお前かよ、おどかすな。
MID_HECTOR_VALENTINE01_VOICE13: エリウッドはどこだ？　あいつと手合わせしねえと落ち着かなくてな。
MID_HECTOR_VALENTINE01_VOICE14: 言っとくが、娘は絶対、嫁にやらねーからな！
MID_HECTOR_VALENTINE01_VOICE15: 俺が欲しいもの？　そうだな…食いもんか武器か…
MID_HECTOR_VALENTINE01_VOICE16: …まさか、娘から贈り物をもらう日が来るとはな…
MID_HECTOR_VALENTINE01_VOICE17: 気の利いた贈り物はできねーが…お前のことは俺が守る。
MID_HECTOR_VALENTINE01_VOICE18: いいぜ
MID_HECTOR_VALENTINE01_VOICE19: 何が欲しいんだ？
MID_HECTOR_VALENTINE01_VOICE20: 悩むことねーよ
