[Heroes Archive] (IKE_POPULARITY01)


Heroes Message Name: Message


MID_IKE_POPULARITY01_HOME1: 這個世界也有戰爭，\n有著飽受戰火蹂躪的人民……\n看來我也能貢獻一己之力了。
MID_IKE_POPULARITY01_HOME2: 我老爸以前曾是\n格萊爾傭兵團的團長，\n團員們都很信賴他。
MID_IKE_POPULARITY01_HOME3: 我也想做些什麼，\n讓你能放心休息……\n我想想，你需要劈柴嗎？
MID_IKE_POPULARITY01_HOME4: 這把戰斧叫【烏爾邦】，是我老爸的斧頭。\n質樸而強悍……\n跟我老爸很像。
MID_IKE_POPULARITY01_HOME5: 斧頭和劍不同，\n用起來力量比技巧重要。\n我得鍛鍊出更多力氣才行。
MID_IKE_POPULARITY01_FRIEND: 我是格萊爾傭兵團的艾克，\n我受$Nf\n之託前來致意。
MID_IKE_POPULARITY01_LEVEL1: 感覺已經\n人斧合一了呢。
MID_IKE_POPULARITY01_LEVEL2: 身體好像\n逐漸開始習慣了。
MID_IKE_POPULARITY01_LEVEL3: 鍛鍊得\n還不夠啊……
MID_IKE_POPULARITY01_SKILL: 這下可不能辜負\n你的期望了呢。
MID_IKE_POPULARITY01_JOIN: 我是格萊爾傭兵團的艾克。\n這把斧頭叫【烏爾邦】……\n是我現在的搭檔。
MID_IKE_POPULARITY01_STRONGEST: 我之前做了一個奇怪的夢。\n在夢裡，我位於某個異界……\n人們都在呼喚著我。$k$p有大批的群眾呼喊我的名字，\n企盼著我的到來。$k$p我不懂魔道，不過……\n我之所以會被召喚過來，\n或許就是因為他們的祈願之力。$k$p如果真是如此……\n我就得回應他們的期望才行。$k$p我既不是貴族也不是騎士，\n一路看著老爸的背影長大，\n我繼承了老爸的……傭兵團的驕傲。$k$p不為錢財，\n而是為黎民百姓而戰……\n這就是我的心願。
MID_IKE_POPULARITY01_VOICE01: 喔喔！
MID_IKE_POPULARITY01_VOICE02: 上吧！
MID_IKE_POPULARITY01_VOICE03: 嗚啊～！
MID_IKE_POPULARITY01_VOICE04: 我怎能倒下……！
MID_IKE_POPULARITY01_VOICE05: 我要向你道謝。
MID_IKE_POPULARITY01_VOICE06: 到此為止了。
MID_IKE_POPULARITY01_VOICE07: 受死吧！
MID_IKE_POPULARITY01_VOICE08: 感謝你。
MID_IKE_POPULARITY01_VOICE09: 嗚……抱歉……
MID_IKE_POPULARITY01_VOICE10: 哈哈！
MID_IKE_POPULARITY01_VOICE11: 我老爸以前也打扮成這樣過喔。
MID_IKE_POPULARITY01_VOICE12: 嗯？怎麼了？叫我嗎？
MID_IKE_POPULARITY01_VOICE13: 我做了一個奇怪的夢，在夢中有數以萬計的人支持著我。
MID_IKE_POPULARITY01_VOICE14: 我會被召喚到這個世界，是因為眾多人民的企盼……好像是這樣。
MID_IKE_POPULARITY01_VOICE15: 你在夢中幫助了我……這件事我記得一清二楚。
MID_IKE_POPULARITY01_VOICE16: 老爸……請你看著我。我一定會……
MID_IKE_POPULARITY01_VOICE17: 我要向你道謝。你是我的恩人……也是我一輩子的摯友。
MID_IKE_POPULARITY01_VOICE18: 知道了。
MID_IKE_POPULARITY01_VOICE19: 給我指示。
MID_IKE_POPULARITY01_VOICE20: 我會達成你的期望。
