[Heroes Archive] (IRA)


Heroes Message Name: Message


MID_IRA_HOME1: 這座城裡的人，實力都很堅強，\n只要觀察他們的動作就能明白。\n非常可靠。
MID_IRA_HOME2: 我的祖國正瀕臨滅亡危機……\n守護王兄之子，\n是我最重要的任務。
MID_IRA_HOME3: 我與西格爾特殿下並肩奮戰，\n直到最後一刻……\n雖然敗北，但我並不後悔。
MID_IRA_HOME4: 你想學劍的話，我可以陪你。\n不過，既然要學，\n我可不會手下留情喔。
MID_IRA_HOME5: 喜愛花朵、用心打扮自己之類的\n女孩子氣的事情和我無緣。\n有空的話，不如拿來練劍。
MID_IRA_FRIEND: 我叫做艾伊拉，\n是$Nf的使者，\n前來向你致上問候之意。
MID_IRA_LEVEL1: 這是……\n奧德之血的功效嗎……！？
MID_IRA_LEVEL2: 劍術之道無涯無際……\n我尚未抵達終點。
MID_IRA_LEVEL3: 是心魔作祟嗎……？
MID_IRA_SKILL: 有恩報恩，這是伊扎克的規矩。\n這份恩情，就在戰場上回報吧。
MID_IRA_JOIN: 我是伊扎克的公主艾伊拉，\n是劍聖奧德的後裔。
MID_IRA_STRONGEST: 我曾和夥伴們一起參加過一場大戰……\n最後以敗北收場。\n不過，我並不後悔。$k$p若是有機會回到那時候那個地方，\n我還是會跟當初一樣，\n毫無迷網地陪他們戰鬥到最後。$k$p既然如此，如何把握\n自己的人生才是最重要的。$k$p和你一起度過的這些日子……\n我覺得並不壞。\n如果可以的話，真想一直這樣下去……$k$p這份時光或許遲早會消逝……\n但正因為如此，此時此刻更顯得無比珍貴。
MID_IRA_VOICE01: 喝！
MID_IRA_VOICE02: 呀！
MID_IRA_VOICE03: 呀啊～！
MID_IRA_VOICE04: 我、我饒不了你……
MID_IRA_VOICE05: 真是可悲啊……
MID_IRA_VOICE06: 不能留你活命。
MID_IRA_VOICE07: 受死吧。
MID_IRA_VOICE08: 接招！
MID_IRA_VOICE09: 抱歉……
MID_IRA_VOICE10: 呵！
MID_IRA_VOICE11: ……有事嗎？沒事的話，我要走囉。
MID_IRA_VOICE12: ！？你、你……下次再這樣，我就修理你！
MID_IRA_VOICE13: 要送禮的話就給其他女人吧，我對那種東西沒興趣。
MID_IRA_VOICE14: 你的計謀救了我一命……我要為此向你道謝。
MID_IRA_VOICE15: 我很有女人味……？……你、你在說什麼蠢話啊？
MID_IRA_VOICE16: 在復興伊扎克之前……我不能死。
MID_IRA_VOICE17: 有恩報恩，這是伊扎克戰士的規矩……所以，我要這把劍獻給你。
MID_IRA_VOICE18: 嗯。
MID_IRA_VOICE19: 我會遵守約定。
MID_IRA_VOICE20: ……給我指示。
