[Heroes Archive] (JEROME)


Heroes Message Name: Message


MID_JEROME_HOME1: 我的雙親早已不在人世……\n在母親出征的那天，\n只有米奈瓦渾身是傷地回來……
MID_JEROME_HOME2: 我來這裡是為了讓米奈瓦自由，\n根本不想干涉其他世界，\n憑什麼要我幫助你們……
MID_JEROME_HOME3: 辛苦你了。\n你也是其他世界的人吧。\n為什麼要這麼拼命地戰鬥？
MID_JEROME_HOME4: 我記得你是召喚師吧。\n那麼，召喚出我過世的雙親應該難不倒你……\n……不，我只是隨口說說罷了。
MID_JEROME_HOME5: 因為披風有點破損，\n我剛剛正在縫補。\n……你想說我看起來不像會裁縫嗎？
MID_JEROME_FRIEND: 你就是$Nu嗎？\n$Nf要我向你致意。\n像你們這樣裝熟很有趣嗎……？
MID_JEROME_LEVEL1: 米奈瓦，\n你也很開心嗎？
MID_JEROME_LEVEL2: 以成長來說，算是適切的結果吧。
MID_JEROME_LEVEL3: ……沒什麼變化啊。
MID_JEROME_SKILL: 這麼貴重的東西……\n別給我，用在別人身上吧。
MID_JEROME_JOIN: 我叫傑洛姆，\n是塞爾裘的兒子……\n但我不打算跟你有任何牽扯。
MID_JEROME_STRONGEST: ……你又來了。\n我都說過不想跟你混熟了，\n還真愛多管閒事啊。$k$p被你這樣一搞，\n害得米奈瓦也跟你親近起來了。\n老實說，我不樂見這種發展……$k$p不過，既然連米奈瓦都認同你了，\n我也不能對你太過刻薄。\n$Nu……$k$p我不打算干涉異世界，\n即便亞斯克王國會步上毀滅之路，\n那也是命運。$k$p不過……如果你真心想守護這個國家，\n我和米奈瓦會回應你的心願。\n因為我知道失去時的痛苦。
MID_JEROME_VOICE01: 嘿！
MID_JEROME_VOICE02: 喝！
MID_JEROME_VOICE03: 嗚……！
MID_JEROME_VOICE04: 失敗了啊……
MID_JEROME_VOICE05: 我馬上讓你解脫。
MID_JEROME_VOICE06: 離別的時刻到了。
MID_JEROME_VOICE07: 真無趣……
MID_JEROME_VOICE08: 要上囉，米奈瓦。
MID_JEROME_VOICE09: 這也是命運……
MID_JEROME_VOICE10: 哼……
MID_JEROME_VOICE11: 我可沒打算跟你們混熟。
MID_JEROME_VOICE12: 為什麼我會來到這種地方……
MID_JEROME_VOICE13: 我的龍很可愛吧？
MID_JEROME_VOICE14: 我有許多備用面具……就算你弄壞這一個也沒用。
MID_JEROME_VOICE15: 我至今已經目睹過無數次無法改變的命運。
MID_JEROME_VOICE16: 好希望父母親能夠活著……
MID_JEROME_VOICE17: 幹嘛？我現在要去照料我的米奈瓦寶貝……\n呃、不，沒事。把你剛剛聽到的忘掉。
MID_JEROME_VOICE18: 嗯。
MID_JEROME_VOICE19: 真拿你沒轍。
MID_JEROME_VOICE20: 米奈瓦。
