[Heroes Archive] (KAIN)


Heroes Message Name: Message


MID_KAIN_HOME1: 打一場不辱阿利提亞王國\n騎士團之名的仗吧！
MID_KAIN_HOME2: 我有個搭檔，叫做阿貝爾。\n我這個人很容易失控，\n還好總是有他在一旁冷靜勸戒我呢。
MID_KAIN_HOME3: 你總是像這樣巡邏城堡、\n關心夥伴呀？\n太了不起了！
MID_KAIN_HOME4: 要訓練的話，我也來幫忙！\n別看我這樣，我也有當過\n見習騎士們的訓練教官喔。
MID_KAIN_HOME5: 喝！\n我現在在訓練！有事晚點再說吧！\n喝！
MID_KAIN_FRIEND: $Nu殿下！\n您在何方！？\n我為主君帶來給您的問候！
MID_KAIN_LEVEL1: 很好！\n看來今後也能大顯身手了！
MID_KAIN_LEVEL2: 馬馬虎虎啊。\n我應該還能做得更好才對……！
MID_KAIN_LEVEL3: 這樣可沒臉見\n馬爾斯殿下了……！
MID_KAIN_SKILL: 這就是我真正的實力……！\n好好見識赤色猛牛的力量吧！
MID_KAIN_JOIN: 我叫做凱因！\n阿利提亞王國騎士凱因！
MID_KAIN_STRONGEST: 傑剛大人\n經常告誡我……$k$p說我莽撞的個性\n是種壞習慣。$k$p但只要有你在我身旁，\n我就能確實完成自身職責，\n即使在戰鬥中也不會迷失自我，$k$p這都是你的功勞。\n謝謝你，$Nu。$k$p今後我也要以熱血又不失理智的\n方式奮戰到底……\n這就是我的心願！
MID_KAIN_VOICE01: 哼！
MID_KAIN_VOICE02: 嘿！
MID_KAIN_VOICE03: 嗚啊～！
MID_KAIN_VOICE04: 可惡……！
MID_KAIN_VOICE05: 突擊！
MID_KAIN_VOICE06: 給我讓路！
MID_KAIN_VOICE07: 拜候賜教！
MID_KAIN_VOICE08: 騎士可不會退縮！
MID_KAIN_VOICE09: 我……不甘心……
MID_KAIN_VOICE10: 哈哈哈！
MID_KAIN_VOICE11: 怎麼了？
MID_KAIN_VOICE12: 喂、喂……你要幹嘛？
MID_KAIN_VOICE13: 要一起訓練嗎？
MID_KAIN_VOICE14: 我得更加自我鍛鍊才行。
MID_KAIN_VOICE15: 我曾被人稱為【猛牛】凱因呢。
MID_KAIN_VOICE16: 我會竭盡所能。
MID_KAIN_VOICE17: 我來替你殺出一條血路吧。
MID_KAIN_VOICE18: 突擊！
MID_KAIN_VOICE19: 全力前進！
MID_KAIN_VOICE20: 上吧！
