[Heroes Archive] (KAMUI_F_DREAM01)


Heroes Message Name: Message


MID_KAMUI_F_DREAM01_HOME1: 放心……\n這些針對你而來的所有惡意，\n都由我來擋下。
MID_KAMUI_F_DREAM01_HOME2: 我和阿庫婭的境遇很相像……\n都被坎坷的命運擺布……\n所以我無法放著她不管。
MID_KAMUI_F_DREAM01_HOME3: 不管遭遇到多麼辛苦的事情，\n只要能夠相信未來……\n就一定會成為向前邁進的力量。
MID_KAMUI_F_DREAM01_HOME4: $Nu殿下也一樣，\n寂寞的時候請告訴我喔，\n我會摸摸你的頭。
MID_KAMUI_F_DREAM01_HOME5: 阿庫婭笑起來很可愛唷。\n我想要助她一臂之力，\n讓她可以經常帶著笑容。
MID_KAMUI_F_DREAM01_FRIEND: 我從$Nf那裡過來問候你。\n想必你們是能夠互相扶持的理想好友吧？
MID_KAMUI_F_DREAM01_LEVEL1: 越來越接近我心中描繪的理想了！
MID_KAMUI_F_DREAM01_LEVEL2: 我想要一步一步地接近理想……！
MID_KAMUI_F_DREAM01_LEVEL3: 我不會放棄……\n因為放棄的話夢想就結束了……
MID_KAMUI_F_DREAM01_SKILL: 謝謝你的關心，\n我覺得有點自信了……！
MID_KAMUI_F_DREAM01_JOIN: 我的名字是神威。\n放心，別哭了，\n你身邊還有我啊……
MID_KAMUI_F_DREAM01_STRONGEST: 不管背負怎樣的命運\n誕生在這個世界上，\n我相信一定有它的意義。$k$p而即使是一個人難以負荷的嚴酷命運，\n在眾人的支持下，\n也絕對可以開拓出未來。$k$p當你失去向前邁進的自信，\n無法相信明天的時候，\n請你記得……$k$p在你的身邊，\n還有很多在背後支持你的夥伴。$k$p為了將來實現心中描繪的夢想……\n我們一起攜手向前走吧。
MID_KAMUI_F_DREAM01_VOICE01: 嘿！
MID_KAMUI_F_DREAM01_VOICE02: 晚安。
MID_KAMUI_F_DREAM01_VOICE03: 呀啊～！
MID_KAMUI_F_DREAM01_VOICE04: 不行……
MID_KAMUI_F_DREAM01_VOICE05: 睡覺時間到了。
MID_KAMUI_F_DREAM01_VOICE06: 安眠吧。
MID_KAMUI_F_DREAM01_VOICE07: 夢就是希望。
MID_KAMUI_F_DREAM01_VOICE08: 夜幕來臨。
MID_KAMUI_F_DREAM01_VOICE09: 有點……睏了……
MID_KAMUI_F_DREAM01_VOICE10: あはは
MID_KAMUI_F_DREAM01_VOICE11: アクアは寂しがっていました。私が慰めてあげないと…
MID_KAMUI_F_DREAM01_VOICE12: ふふ、あなたも挨拶で撫でたりするんですね。私と一緒です。
MID_KAMUI_F_DREAM01_VOICE13: 逃げて、いいんです。傷が癒えるまで、一休みしていいんです。
MID_KAMUI_F_DREAM01_VOICE14: 一生幸せな夢を見続けられるなら…それも幸せです。
MID_KAMUI_F_DREAM01_VOICE15: 眠れませんか？　良かったら、私が傍にいますよ。
MID_KAMUI_F_DREAM01_VOICE16: 私もいつか…現実へと戻るのでしょうか…
MID_KAMUI_F_DREAM01_VOICE17: 私と一緒に、あの子を守ってあげましょう…
MID_KAMUI_F_DREAM01_VOICE18: おはようございます
MID_KAMUI_F_DREAM01_VOICE19: 眠くなってきました…
MID_KAMUI_F_DREAM01_VOICE20: 夢を見てました
