[Heroes Archive] (KAMUI_M_DREAM01)


Heroes Message Name: Message


MID_KAMUI_M_DREAM01_HOME1: 只要能守護重要的人的笑容，\n不論我的身分是誰都無所謂。
MID_KAMUI_M_DREAM01_HOME2: 我和阿庫婭分離了很長一段時間……\n但現在卻能這樣待在一起呢。
MID_KAMUI_M_DREAM01_HOME3: 如果有我能幫上忙的事情，\n希望你都可以儘管說。\n我想要為大家使用這份力量。
MID_KAMUI_M_DREAM01_HOME4: 可以和這麼多英雄並肩作戰……\n說不定這個地方才是夢的世界呢。
MID_KAMUI_M_DREAM01_HOME5: 只要阿庫婭能夠幸福，\n不論遇上什麼樣的困難，\n我都有面對它的覺悟。
MID_KAMUI_M_DREAM01_FRIEND: $Nf託我來向你打聲招呼。\n你看起來很有精神，真是太好了。
MID_KAMUI_M_DREAM01_LEVEL1: 我有想要守護的笑容，\n這就是為此而生的力量。
MID_KAMUI_M_DREAM01_LEVEL2: 我會繼續往更高的目標邁進，\n因為我想助大家一臂之力。
MID_KAMUI_M_DREAM01_LEVEL3: 對不起，讓你失望了吧。
MID_KAMUI_M_DREAM01_SKILL: 這份確切的感覺……不是夢吧？
MID_KAMUI_M_DREAM01_JOIN: 我的名字是神威。\n我是為了讓阿庫婭展現笑容，\n才一路努力到這裡的。
MID_KAMUI_M_DREAM01_STRONGEST: 聯手攻擊無力抵抗的對象，\n然後為此感到快樂……\n這種人確實存在。$k$p雖然這很令人難過……\n可是就算反擊那些人，\n也無法治癒阿庫婭內心的傷痕。$k$p所以我想待在阿庫婭的身邊保護她，\n讓她的傷得以復原……$k$p然後，我希望將來有一天，\n阿庫婭能夠變得堅強，\n足以靠自己生存……$k$p阿庫婭肯定可以靠自己的雙腳走下去，\n我想要守護她……\n直到那一天來臨。
MID_KAMUI_M_DREAM01_VOICE01: 嘿！
MID_KAMUI_M_DREAM01_VOICE02: 晚安。
MID_KAMUI_M_DREAM01_VOICE03: 嗚啊～！
MID_KAMUI_M_DREAM01_VOICE04: 不行……
MID_KAMUI_M_DREAM01_VOICE05: 睡覺時間到了唷。
MID_KAMUI_M_DREAM01_VOICE06: 為了她……
MID_KAMUI_M_DREAM01_VOICE07: 夢就是希望。
MID_KAMUI_M_DREAM01_VOICE08: 晚安。
MID_KAMUI_M_DREAM01_VOICE09: 我也……該睡了……
MID_KAMUI_M_DREAM01_VOICE10: あはは
MID_KAMUI_M_DREAM01_VOICE11: 僕はアクアを笑顔にしたいんだ。小さなあの子を放っておけない…
MID_KAMUI_M_DREAM01_VOICE12: ふふ、君の挨拶は、僕とそっくりだよ。
MID_KAMUI_M_DREAM01_VOICE13: 辛いのなら、逃げたっていいんだ。逃げることは悪いことじゃない。
MID_KAMUI_M_DREAM01_VOICE14: 辛い現実より、幸せな夢の方がずっと良い…
MID_KAMUI_M_DREAM01_VOICE15: 僕は実在する存在？　それとも、誰かの夢？
MID_KAMUI_M_DREAM01_VOICE16: あの子はいつか、歩き出す。自分の足で、前へ向かって…
MID_KAMUI_M_DREAM01_VOICE17: 君なら、あの子を幸せにしてくれるかもしれないね…
MID_KAMUI_M_DREAM01_VOICE18: おはよう
MID_KAMUI_M_DREAM01_VOICE19: 眠れないの？
MID_KAMUI_M_DREAM01_VOICE20: 夢を見てたよ
