[Heroes Archive] (KAREL)


Heroes Message Name: Message


MID_KAREL_HOME1: 強者從無數的異界\n聚集而來，是嗎……？\n呵！這世界還真不錯啊。
MID_KAREL_HOME2: 我繼承了一族之劍，\n這代表我選擇了\n以此身為劍的生涯……
MID_KAREL_HOME3: ……強者還沒來嗎？\n快點交出來，\n交出值得我斬殺的強者……
MID_KAREL_HOME4: 假設我在這裡突然動手……\n你當然已經備妥\n阻止我的錦囊妙計了吧？
MID_KAREL_HOME5: ……趕快離開吧。\n我族劍術的不傳之秘……\n要是讓你見到，我就得你滅口。
MID_KAREL_FRIEND: ……你就是$Nu嗎？\n聽說你是$Nf的朋友。\n呵！有趣。
MID_KAREL_LEVEL1: 以強者為祭品，\n讓劍術昇華到神的境界……
MID_KAREL_LEVEL2: 以此身為劍。\n還要更快……更鋒利……
MID_KAREL_LEVEL3: 鏽蝕了嗎……？
MID_KAREL_SKILL: 很好……太好了。\n連我都克制不了自己……
MID_KAREL_JOIN: 我的名字是卡列爾，\n是為劍而生之人。\n你是值得我斬殺的強者嗎？
MID_KAREL_STRONGEST: 你不是我所期盼的強者。\n既不會使劍，也無法使用魔道，\n只是不值得我斬殺的存在而已。$k$p然而，不知為何……\n我卻離不開你身旁，\n就這樣與你並肩作戰至今。$k$p是因為只要和你在一起，\n就不愁沒有戰鬥嗎……？\n還是說……$k$p……或許，\n我其實還蠻欣賞你的吧。\n欣賞你是位我贏不了的強者……$k$p算了，無所謂。\n我就待在你身邊，\n直到厭倦為止吧。
MID_KAREL_VOICE01: 喝！
MID_KAREL_VOICE02: 呵！
MID_KAREL_VOICE03: 嗚啊～！
MID_KAREL_VOICE04: ……我還不能死。
MID_KAREL_VOICE05: 饗宴即將開始……
MID_KAREL_VOICE06: 無法克制……
MID_KAREL_VOICE07: 血在不安……
MID_KAREL_VOICE08: 不斬不快。
MID_KAREL_VOICE09: ……漂亮……
MID_KAREL_VOICE10: 呵！
MID_KAREL_VOICE11: 強者在哪裡？
MID_KAREL_VOICE12: ……不想被我斬殺的話，快滾。
MID_KAREL_VOICE13: 我斬殺了所有的家人，除了我妹妹……
MID_KAREL_VOICE14: 只有一人能繼承此劍。
MID_KAREL_VOICE15: 我就和這把利刃一樣。
MID_KAREL_VOICE16: 劍術之路依然沒有盡頭……
MID_KAREL_VOICE17: 放心吧，我不會斬殺你。
MID_KAREL_VOICE18: ……嗯。
MID_KAREL_VOICE19: 接下來……
MID_KAREL_VOICE20: 饗宴時間到了……
