[Heroes Archive] (KATUA)


Heroes Message Name: Message


MID_KATUA_HOME1: 帕奧拉姊姊、我以及愛絲特……\n三姊妹都是天馬騎士。
MID_KATUA_HOME2: 馬其頓有騎乘飛龍的龍騎士團，\n以及騎乘飛馬的白騎士團。\n我隸屬的就是白騎士團喔。
MID_KATUA_HOME3: 唉……啊，對不起。\n我正好在想事情……\n讓你看到難為情的一面了呢……
MID_KATUA_HOME4: 帕奧拉姊姊經常唸我，\n說卡秋雅頭腦很好卻很頑固……\n到底褒還是貶呢？真是的……
MID_KATUA_HOME5: 嗯，我接下來要去訓練喔。\n因為我的才能比不上帕奧拉姊姊\n跟愛絲特……所以得努力彌補差距才行。
MID_KATUA_FRIEND: 我受$Nf之託而來。\n請您今後也和他維持不變的友情。
MID_KATUA_LEVEL1: 越是狀況絕佳，\n越需要繃緊神經才行。
MID_KATUA_LEVEL2: 雖然緩慢，\n但只要確實持續成長……
MID_KATUA_LEVEL3: 這副模樣……\n不能見人啊……
MID_KATUA_SKILL: 持續累積的努力\n終於有了成果，真開心。
MID_KATUA_JOIN: 我是馬其頓白騎士團\n三姊妹中的次女卡秋雅，\n效命於米奈娃公主。
MID_KATUA_STRONGEST: 你說……我看起來好像總是\n注視著遠方？$k$p呵呵，要是我在你眼中\n是這樣子的話……\n或許真的就是如此呢。$k$p不過……已經沒事了。\n因為我現在……\n確實感受到了和你之間的羈絆。$k$p嗯，我覺得自己今後……\n可以變得更強、更自豪、\n更積極進取地戰鬥喔。$k$p只要……\n有你陪伴在我身邊……
MID_KATUA_VOICE01: 喝！
MID_KATUA_VOICE02: 嘿！
MID_KATUA_VOICE03: 呀啊～！
MID_KATUA_VOICE04: 唔……怎麼會……
MID_KATUA_VOICE05: 我要上了。
MID_KATUA_VOICE06: 最後一擊。
MID_KATUA_VOICE07: 用這招的話……
MID_KATUA_VOICE08: 即使要賭上性命。
MID_KATUA_VOICE09: 嗯……
MID_KATUA_VOICE10: 呵呵！
MID_KATUA_VOICE11: 不管是什麼任務，我都會努力完成。
MID_KATUA_VOICE12: 呀！？你、你做什麼……？
MID_KATUA_VOICE13: 為了不辱白騎士團之名。
MID_KATUA_VOICE14: 我很尊敬你喔。
MID_KATUA_VOICE15: 彼此都是夥伴，互相幫助吧。
MID_KATUA_VOICE16: 我不該對他抱持這樣的情感……
MID_KATUA_VOICE17: 謝謝你，願意待在我身邊……
MID_KATUA_VOICE18: 知道了。
MID_KATUA_VOICE19: 慎重行事。
MID_KATUA_VOICE20: 我出發了。
