[Heroes Archive] (LAEVATEIN_MIKATA01)


Heroes Message Name: Message


MID_LAEVATEIN_MIKATA01_HOME1: 尼福爾覆滿了雪，好冷……\n亞斯克是個舒適的地方，\n但對我還是有點太冷了。
MID_LAEVATEIN_MIKATA01_HOME2: 穆斯貝爾是火焰的國度……\n我在那裡出生、在那裡長大。\n沒有特別喜歡但也不討厭那裡……
MID_LAEVATEIN_MIKATA01_HOME3: 姐姐嗎？姐姐她是個溫柔、聰明的人。\n她能完全看穿對手的思路，\n還溫柔地教導我許多事情……
MID_LAEVATEIN_MIKATA01_HOME4: 姐姐和我從懂事前開始……\n就一直過著進行戰鬥訓練的生活。\n因為弱者會被父親大人殺死……
MID_LAEVATEIN_MIKATA01_HOME5: 我的劍是【炎劍瑞瓦提恩】……\n跟我的名字一樣。\n所以，我感覺這把劍就像我自己……
MID_LAEVATEIN_MIKATA01_FRIEND: 因為必須打招呼……所以我來了。\n這裡感覺與$Nf的\n城堡很相似……
MID_LAEVATEIN_MIKATA01_LEVEL1: 身體在發熱……\n可是感覺好舒服……
MID_LAEVATEIN_MIKATA01_LEVEL2: 我是劍，\n瑞瓦提恩……
MID_LAEVATEIN_MIKATA01_LEVEL3: 我的狀況不太好……\n一定是因為這裡太冷了。
MID_LAEVATEIN_MIKATA01_SKILL: 身體逐漸變得敏銳……\n我是不會輸的。
MID_LAEVATEIN_MIKATA01_JOIN: 我是穆斯貝爾王國的瑞瓦提恩……\n我是劍……遵循命令斬殺敵人。\n而下達命令的人，是你嗎……？
MID_LAEVATEIN_MIKATA01_STRONGEST: 劍不會有任何想法，不會有任何思考。\n我只是殺敵的道具……\n父親大人這麼告訴我……$k$p但是，$Nu……\n自從與你在這裡生活後……\n我開始會去想各種事情了。$k$p既然姐姐希望我活下去……\n那麼我想活下去……\n與你一起……$k$p這是我的想法……？\n還是姐姐的想法……？$k$p我不清楚事實到底為何，\n但這不可思議的情感……\n我並不討厭……
MID_LAEVATEIN_MIKATA01_VOICE01: 喝！
MID_LAEVATEIN_MIKATA01_VOICE02: 斬。
MID_LAEVATEIN_MIKATA01_VOICE03: 呀啊～！
MID_LAEVATEIN_MIKATA01_VOICE04: 怎麼會……
MID_LAEVATEIN_MIKATA01_VOICE05: 瑞瓦提恩……
MID_LAEVATEIN_MIKATA01_VOICE06: 我要斬了你。
MID_LAEVATEIN_MIKATA01_VOICE07: 已經結束了。
MID_LAEVATEIN_MIKATA01_VOICE08: 我就是劍……
MID_LAEVATEIN_MIKATA01_VOICE09: 無法……再戰了……
MID_LAEVATEIN_MIKATA01_VOICE10: 呵……！
MID_LAEVATEIN_MIKATA01_VOICE11: 我叫做瑞瓦提恩……和這把劍的名字一樣。
MID_LAEVATEIN_MIKATA01_VOICE12: 呀啊……！？你、你幹什麼……？
MID_LAEVATEIN_MIKATA01_VOICE13: 誰敢對我惡作劇，我就斬了誰。
MID_LAEVATEIN_MIKATA01_VOICE14: 只要是命令，我一律服從。
MID_LAEVATEIN_MIKATA01_VOICE15: 劍不會思考……這是我受到的教誨。
MID_LAEVATEIN_MIKATA01_VOICE16: 順從自己的心意……自己思考……真困難……
MID_LAEVATEIN_MIKATA01_VOICE17: 我想和你在一起……從來沒有過這種感覺。
MID_LAEVATEIN_MIKATA01_VOICE18: 知道了。
MID_LAEVATEIN_MIKATA01_VOICE19: 要怎麼做？
MID_LAEVATEIN_MIKATA01_VOICE20: 遵命。
