[Heroes Archive] (LARCHEL)


Heroes Message Name: Message


MID_LARCHEL_HOME1: 無論何時何地，\n我都無法原諒違背正義的傢伙。
MID_LARCHEL_HOME2: 這個世界似乎和充滿邪惡魔物的麥格維爾不同。\n但人類之間卻仍互相爭鬥，真是遺憾。
MID_LARCHEL_HOME3: 哎呀，$Nu。\n你沒有什麼睡吧？\n黑眼圈都跑出來了！
MID_LARCHEL_HOME4: 你也迷路了嗎？\n果然不管哪個世界，城裡的路都一樣複雜呢。\n好啦，快幫我帶路吧。
MID_LARCHEL_HOME5: 嘿！嘿！\n你快點看看，我這華麗的杖法。\n用這套招式一定能把敵人打得落花流水！
MID_LARCHEL_FRIEND: 你是$Nf的朋友嗎？\n不，不用講我也知道。\n擁有崇高使命的人會受到命運牽引齊聚在一起。
MID_LARCHEL_LEVEL1: 對高貴且氣質出眾的我來說，\n能感受到與之相襯的成長。\n這正是神的引導啊！
MID_LARCHEL_LEVEL2: 我變得更強大了呢。\n父親大人與母親大人一定會誇獎我的吧！
MID_LARCHEL_LEVEL3: 嗚嗚……\n這也是神賜予我的考驗……
MID_LARCHEL_SKILL: 我會繼續展現更多華麗的表現給你看的。\n你儘管期待吧！
MID_LARCHEL_JOIN: 守護正義與秩序的使者──\n拉切爾在此登場！\n請多多指教。
MID_LARCHEL_STRONGEST: 原來你在這邊啊。\n……我有些話想跟你說。\n也不是別的，是一些關於你的事。$k$p……我原本所在的世界裡，\n許多人都被闇之樹海中出現的魔物襲擊。$k$p父親大人和母親大人為了保護人民，\n在與魔物的戰鬥中失去了性命……\n他們是羅斯通聖教國的驕傲，更是我的驕傲。$k$p$Nu，\n你也是為了這個世界的正義和秩序而戰……\n是被偉大的使命所引導之人！$k$p所以我們約好了唷。\n在使命尚未完成之前，\n絕對不能輕易倒下喔……
MID_LARCHEL_VOICE01: 嘿！
MID_LARCHEL_VOICE02: 嘿嘿嘿～
MID_LARCHEL_VOICE03: 呀啊啊！
MID_LARCHEL_VOICE04: 唉……竟然……
MID_LARCHEL_VOICE05: 讓我來制裁你！
MID_LARCHEL_VOICE06: 請看這招吧！
MID_LARCHEL_VOICE07: 在此登場！
MID_LARCHEL_VOICE08: 我不會原諒你唷！
MID_LARCHEL_VOICE09: 不行……這樣……
MID_LARCHEL_VOICE10: 呵呵！
MID_LARCHEL_VOICE11: 沒錯！我正是羅斯通聖教國的……啊，這是秘密呢。
MID_LARCHEL_VOICE12: 呀啊！？這麼突然你在幹麼！
MID_LARCHEL_VOICE13: 【美麗的絕世公主】拉切爾……你最好把這個名字記起來唷。
MID_LARCHEL_VOICE14: 與其去惋惜那些得不到的，更重要的是對所擁有的一切懷抱感謝。
MID_LARCHEL_VOICE15: 說人家是英雄什麼的……啊啊，聽了真讓人陶醉……
MID_LARCHEL_VOICE16: 父親大人、母親大人……我……果然還是沒辦法。
MID_LARCHEL_VOICE17: 我會陪伴在你的身旁，而你的三餐起居都要和我一起。
MID_LARCHEL_VOICE18: 這樣啊……
MID_LARCHEL_VOICE19: 英姿煥發──
MID_LARCHEL_VOICE20: 要出擊了喔！
