[Heroes Archive] (LEYVAN)


Heroes Message Name: Message


MID_LEYVAN_HOME1: ……我只是一介傭兵罷了，\n感覺沒辦法跟周圍那些\n王公貴族們聊起來啊……
MID_LEYVAN_HOME2: 什麼？我看起來總是在生氣……？\n你還真沒禮貌啊。\n沒錯，我現在是真的生氣了……
MID_LEYVAN_HOME3: 我對你的評價很高。\n沒有力量……憑著智慧戰鬥，\n這是我所沒有的強大實力。
MID_LEYVAN_HOME4: 我是為了某個目的而戰，\n所以努力增進實力、更換武器，\n持續追求強大至今。
MID_LEYVAN_HOME5: 我原本用的是劍，不過……\n對於倚仗力量的我來說，\n還是這把斧頭比較合適。
MID_LEYVAN_FRIEND: 你就是$Nu嗎？\n我受人所託前來致意。\n……就只是這樣而已。
MID_LEYVAN_LEVEL1: 幹得漂亮。\n不可能比這更好了。
MID_LEYVAN_LEVEL2: 還不壞。\n成果相當充分。
MID_LEYVAN_LEVEL3: 不行。\n這樣下去……
MID_LEYVAN_SKILL: 謝謝你。我從不曾感受過\n如此強大的力量……
MID_LEYVAN_JOIN: 我的名字是瑞文。\n……只是一介傭兵罷了。
MID_LEYVAN_STRONGEST: $Nu……\n雖然這是件無聊的事情，\n我還是想要先告訴你一聲。$k$p我出身於某個沒落的侯爵家，\n為了復仇而喬裝成傭兵，\n一路戰鬥至今……$k$p這是為了復仇而得到的力量。\n不過……那已經不重要了。$k$p多虧了你，\n我才驚覺到一件事。\n這股力量真正的用途……$k$p……要是你聽不懂，就別放在心上，忘了吧。\n總而言之，我仍會跟以前一樣，\n在戰鬥中協助你。
MID_LEYVAN_VOICE01: 喝！
MID_LEYVAN_VOICE02: 呼！
MID_LEYVAN_VOICE03: 嗚啊～！
MID_LEYVAN_VOICE04: 真是難看啊……
MID_LEYVAN_VOICE05: 打倒敵人。
MID_LEYVAN_VOICE06: 我要上了。
MID_LEYVAN_VOICE07: 閉嘴。
MID_LEYVAN_VOICE08: 給我老實點。
MID_LEYVAN_VOICE09: 我只有這點程度嗎……？
MID_LEYVAN_VOICE10: 呵！
MID_LEYVAN_VOICE11: 你有話想跟我說嗎？
MID_LEYVAN_VOICE12: ……開什麼玩笑？
MID_LEYVAN_VOICE13: 硬要說的話……我喜歡吃肉。
MID_LEYVAN_VOICE14: ……別人常說我的臉很兇。
MID_LEYVAN_VOICE15: ……我沒有在生氣，這就是我平常的表情。
MID_LEYVAN_VOICE16: 我還有該做的事……
MID_LEYVAN_VOICE17: 要是遇到困難就跟我說吧。
MID_LEYVAN_VOICE18: 嗯。
MID_LEYVAN_VOICE19: 給我指示。
MID_LEYVAN_VOICE20: 我要上了。
