[Heroes Archive] (LILINA_VALENTINE01)


Heroes Message Name: Message


MID_LILINA_VALENTINE01_HOME1: 作為贈禮的甜點，\n還是親手製作的比較好吧？\n欸，你覺得呢？
MID_LILINA_VALENTINE01_HOME2: 你的世界也有愛之祭典呀？\n那你有對某人傳達心意嗎？\n還是說，你是接受心意的一方？
MID_LILINA_VALENTINE01_HOME3: 女生主動告白什麼的……\n那種事……\n那種事對我來說還太早了！
MID_LILINA_VALENTINE01_HOME4: 那個，如果方便的話，\n可以請你教我如何做甜點嗎？
MID_LILINA_VALENTINE01_HOME5: 向承蒙照顧之人傳達平日的感謝之情……\n真的很困難呢。
MID_LILINA_VALENTINE01_FRIEND: $Nf殿下\n託我來向你致意。\n不嫌棄的話，請收下這份點心。
MID_LILINA_VALENTINE01_LEVEL1: 勇氣從心中湧現而出……\n我……應該能說得出口……！
MID_LILINA_VALENTINE01_LEVEL2: 好開心啊，\n今天可能會有好事發生喔。
MID_LILINA_VALENTINE01_LEVEL3: 還是明天再送禮物好了……
MID_LILINA_VALENTINE01_SKILL: 謝謝，\n請期待我的回禮喔。
MID_LILINA_VALENTINE01_JOIN: 我是奧斯提亞侯爵之女莉莉娜。\n我問你喔，你也打算送禮物給某人嗎？
MID_LILINA_VALENTINE01_STRONGEST: 該怎麼送才好呢……\n該送什麼樣的禮物才好呢……\n該說些什麼才好……？$k$p啊，對、對不起！\n我沒事……\n請別在意……$k$p不過……\n如果你方便的話，\n能和你商量一下嗎……？$k$p嗯……\n關於愛之祭典，\n我有很多事情想請教……$k$p呵呵，謝謝。\n你真體貼。\n那麼就拜託你囉。
MID_LILINA_VALENTINE01_VOICE01: 嘿！
MID_LILINA_VALENTINE01_VOICE02: 看招！
MID_LILINA_VALENTINE01_VOICE03: 呀啊啊！
MID_LILINA_VALENTINE01_VOICE04: 討厭……
MID_LILINA_VALENTINE01_VOICE05: 這是禮物。
MID_LILINA_VALENTINE01_VOICE06: 這個送給你。
MID_LILINA_VALENTINE01_VOICE07: 送給重要之人……
MID_LILINA_VALENTINE01_VOICE08: 威力不可小覷唷。
MID_LILINA_VALENTINE01_VOICE09: ああ…プレゼントが…
MID_LILINA_VALENTINE01_VOICE10: ふふふっ
MID_LILINA_VALENTINE01_VOICE11: わたしはリリーナ。ちょうどお祭りの最中だったの。
MID_LILINA_VALENTINE01_VOICE12: きゃっ！？　…え、プレゼントが落ちそうだった？
MID_LILINA_VALENTINE01_VOICE13: お父様にもプレゼントをさしあげなくちゃ。
MID_LILINA_VALENTINE01_VOICE14: 大切な人に、贈り物をするお祭りなのよ。
MID_LILINA_VALENTINE01_VOICE15: わたしが好きなもの？　ええ、甘いお菓子は好きよ。
MID_LILINA_VALENTINE01_VOICE16: 男の人って…何をもらったら嬉しいのかしら？
MID_LILINA_VALENTINE01_VOICE17: あの…わたしの気持ち…受け取ってくれる？
MID_LILINA_VALENTINE01_VOICE18: 素敵ね
MID_LILINA_VALENTINE01_VOICE19: 悩んじゃうわ…
MID_LILINA_VALENTINE01_VOICE20: 受け取ってね
