[Heroes Archive] (LINUS)


Heroes Message Name: Message


MID_LINUS_HOME1: 大哥不僅本領高強，還比我聰明得多。\n只要是大哥決定的事，絕對不會有錯……
MID_LINUS_HOME2: 我的大哥──洛伊德跟我，\n可是道上小有名氣的搭檔，\n人稱【黑牙】的【里達斯兄弟】……
MID_LINUS_HOME3: 你的武器是什麼？\n嗯？這什麼怪武器！\n拿著這東西有辦法戰鬥嗎？
MID_LINUS_HOME4: 我實在不習慣這種乾乾淨淨的地方。\n喂，$Nu！\n快告訴我下個目標在哪裡。
MID_LINUS_HOME5: 別以為我是為了大鬧一番才上戰場，\n我只是遵守組織的規矩，\n也就是「惡人當受【牙】之制裁」罷了。
MID_LINUS_FRIEND: $Nu是誰？\n本大爺【狂犬】萊納斯親自來打招呼啦！
MID_LINUS_LEVEL1: 看到沒！\n這就是【狂犬】的實力！
MID_LINUS_LEVEL2: 這點小菜還不夠我塞牙縫呢。
MID_LINUS_LEVEL3: 喂……這之中一定有什麼差錯……！
MID_LINUS_SKILL: 謝啦！\n好，就用這份力量去打擊壞蛋吧。
MID_LINUS_JOIN: 我是萊納斯！\n【四牙】的【狂犬】就是本大爺啦！\n好啦，壞人們在哪裡？
MID_LINUS_STRONGEST: 很好，今天狀況很不賴！\n雖然剛開始還有點不安，\n不過你其實挺有本事的嘛。$k$p雖然比力氣我不會輸給任何人，\n但我的腦袋實在是不怎麼靈光。\n所以要動腦的事我都交給大哥和老爸處理。$k$p老實說，我以前有為了逞一時之快，\n結果把事情搞砸的經驗……$k$p不過呢，就算是我這樣的人也看得出來，\n你不只聰明……性格也很好。$k$p我以前可是見識過各式各樣的壞蛋，\n在我眼裡你就是個好人。只要有這個理由，\n我就會跟相信大哥一樣，相信你為你戰鬥。$k$p好啦，下一個獵物在哪裡？\n在本大爺萊納斯面前……\n所有惡人都要接受【牙】之制裁！
MID_LINUS_VOICE01: 喝啊！
MID_LINUS_VOICE02: 接招吧！
MID_LINUS_VOICE03: 嗚啊啊！
MID_LINUS_VOICE04: ……怎麼可能……！？
MID_LINUS_VOICE05: 開始制裁！
MID_LINUS_VOICE06: 【牙】不會讓獵物逃跑！
MID_LINUS_VOICE07: 吵死了！
MID_LINUS_VOICE08: 祈禱吧。
MID_LINUS_VOICE09: あにき…すまね…ぇ…
MID_LINUS_VOICE10: ははっ
MID_LINUS_VOICE11: よう、お前はいっつも忙しそうにしてんな。
MID_LINUS_VOICE12: うぉっ！？　上等じゃねーか、おれとやろうってのか！？
MID_LINUS_VOICE13: おれたちの【牙】を…侮辱する奴は誰だろうと許さねえ。
MID_LINUS_VOICE14: 【牙】では、【狂犬】ってのがおれの名だった。
MID_LINUS_VOICE15: 兄貴とおれがいりゃ、やれねえ相手なんかいねーよ。
MID_LINUS_VOICE16: 親父と兄貴の決めることに間違いなんかねえんだ…
MID_LINUS_VOICE17: お前、わけわかんねー奴だよな…けどまあ、悪人じゃねーのはわかった。
MID_LINUS_VOICE18: ああ
MID_LINUS_VOICE19: 【牙】の裁きだ
MID_LINUS_VOICE20: 仕掛けるぜ！
