[Heroes Archive] (LIZ)


Heroes Message Name: Message


MID_LIZ_HOME1: 為什麼我跟\n哥哥姊姊他們不一樣，\n沒有聖痕呢……？
MID_LIZ_HOME2: 我在哥哥的自衛團裡也很努力喔。\n因為我們不斷地旅行……\n為了守護世界而戰！
MID_LIZ_HOME3: $Nu，你還好嗎？\n如果受傷了要馬上跟我說喔。\n我會立刻治好你的！
MID_LIZ_HOME4: 夏蓉小姐真是位出色的公主呢。\n我很想跟她說說話，卻提不起勇氣……\n什麼？你會陪著我？謝謝你……！
MID_LIZ_HOME5: 耶嘿嘿……在這裡放青蛙……\n啊，$Nu！？\n被你發現我在惡作劇了……！
MID_LIZ_FRIEND: 啊，$Nu～！\n$Nf\n要我來向你問好喔！
MID_LIZ_LEVEL1: 我也要\n一起戰鬥啦……！
MID_LIZ_LEVEL2: 耶嘿嘿。只要下定決心，\n我也辦得到喔！
MID_LIZ_LEVEL3: 是不是努力還不太夠呢？
MID_LIZ_SKILL: 托你的福，\n我變得這麼強了喔！
MID_LIZ_JOIN: 我叫做莉茲，要記住我喔！\n我可是庫洛武自衛團的一員，\n也是伊里斯聖王國的第二公主哦！
MID_LIZ_STRONGEST: 欸，$Nu！\n我覺得自從來到這個世界之後……\n自己已經成長了不少，你覺得呢？$k$p我習慣了戰場，\n還跟特務機關的人成為好朋友，\n在這個世界吃飯也不會挑食！$k$p耶嘿嘿，你也這麼覺得吧？\n謝謝你誇獎我。\n這些全部都是托你的福喔！$k$p因為有你在我身邊，\n我才覺得自己能更接近理想中的淑女形象。\n今後也請多多指點哦！$k$p順帶一提……惡作劇的本事也變強了喔。\n你看，袖子上有青蛙……\n啊哈哈！大成功！謝謝你這麼驚訝～！\n
MID_LIZ_VOICE01: 嘿！
MID_LIZ_VOICE02: 看招！
MID_LIZ_VOICE03: 呀啊！
MID_LIZ_VOICE04: 搞砸了……
MID_LIZ_VOICE05: 別小看我……！
MID_LIZ_VOICE06: 要上囉……必殺！
MID_LIZ_VOICE07: 我也要戰鬥嘛！
MID_LIZ_VOICE08: 要猛烈進攻囉！
MID_LIZ_VOICE09: 對、對不起……
MID_LIZ_VOICE10: 耶嘿嘿。
MID_LIZ_VOICE11: 一起加油吧！
MID_LIZ_VOICE12: 我也會加油的！
MID_LIZ_VOICE13: 大家都說我很小隻，才沒那種事呢。
MID_LIZ_VOICE14: 欸欸欸，告訴我更多你的事情嘛！
MID_LIZ_VOICE15: 特務機關好帥喔！感覺又閃亮又厲害！
MID_LIZ_VOICE16: 總有一天，我要成為和姊姊一樣完美的淑女……
MID_LIZ_VOICE17: 難得有機會認識，\n我們就好好相處吧！
MID_LIZ_VOICE18: 嗯。
MID_LIZ_VOICE19: 該怎麼做呢……？
MID_LIZ_VOICE20: 我會努力的！
