[Heroes Archive] (LUCINA_POPULARITY01)


Heroes Message Name: Message


MID_LUCINA_POPULARITY01_HOME1: 父親大人、母親大人……\n為了終結這個世界的戰爭……\n我會努力的。
MID_LUCINA_POPULARITY01_HOME2: 我很尊敬父親大人。\n要是有人膽敢謀害父親大人的性命，\n屆時我一定親手……
MID_LUCINA_POPULARITY01_HOME3: 我也想要做點什麼，\n讓你多少可以休息一下……\n我該做什麼好呢？\n
MID_LUCINA_POPULARITY01_HOME4: 這把槍叫做【潔爾詩科古爾】……\n是來自異界的槍。\n其實，這原本並不是我的武器……
MID_LUCINA_POPULARITY01_HOME5: 對、對不起……我剛剛在鍛鍊，\n結果又不小心在牆上打出大洞了……\n感覺槍好像比較容易打出洞來……
MID_LUCINA_POPULARITY01_FRIEND: $Nf\n託我來向你致意。\n今後還請多多指教。
MID_LUCINA_POPULARITY01_LEVEL1: 要讓自己\n有能力幫助父親大人……！
MID_LUCINA_POPULARITY01_LEVEL2: 伊里斯的槍法……\n我已經掌握到訣竅了。
MID_LUCINA_POPULARITY01_LEVEL3: 或許是\n槍的握法不好……
MID_LUCINA_POPULARITY01_SKILL: 謝謝你。\n這份力量，我一定會善加利用的。
MID_LUCINA_POPULARITY01_JOIN: 我叫做露琪娜，是未來的伊里斯公主……\n我將以這把異槍【潔爾詩科古爾】\n助你一臂之力！
MID_LUCINA_POPULARITY01_STRONGEST: 我的劍法是父親大人傳授給我的。\n當時我年紀還小……$k$p只是像小孩子玩耍一樣，\n根本稱不上是鍛鍊，\n但依舊是我寶貴的回憶。$k$p不過……\n我在那時……沒機會好好\n向父親大人學習槍法。$k$p來到這裡之後，我有了這個想法。\n我覺得這個世界……\n有著溫暖的希望之光。$k$p因為，我在這裡\n能夠和已逝去的親友們……\n再次相會……$k$p……因為我並不是第一次來到不同的世界。\n我今後也會努力的！
MID_LUCINA_POPULARITY01_VOICE01: 嘿！
MID_LUCINA_POPULARITY01_VOICE02: 我要上了！
MID_LUCINA_POPULARITY01_VOICE03: 呀啊～！
MID_LUCINA_POPULARITY01_VOICE04: 竟然會這樣……
MID_LUCINA_POPULARITY01_VOICE05: 向父親大人看齊！
MID_LUCINA_POPULARITY01_VOICE06: 勇往直前！
MID_LUCINA_POPULARITY01_VOICE07: 看槍！
MID_LUCINA_POPULARITY01_VOICE08: 請看著我！
MID_LUCINA_POPULARITY01_VOICE09: 父親大人……對不起……
MID_LUCINA_POPULARITY01_VOICE10: 呵呵呵。
MID_LUCINA_POPULARITY01_VOICE11: 我覺得自己稍微接近了父親大人一些。
MID_LUCINA_POPULARITY01_VOICE12: 我的劍法是向父親大人學的，希望槍法方面也能請父親大人給予更多指點。
MID_LUCINA_POPULARITY01_VOICE13: 你原本所在的異界會舉辦什麼慶典嗎？
MID_LUCINA_POPULARITY01_VOICE14: 我做了一個夢。在夢中，異界的人民為絕望的世界帶來了希望……
MID_LUCINA_POPULARITY01_VOICE15: 這把武器一定是異界的人民授予我的希望。
MID_LUCINA_POPULARITY01_VOICE16: 父親大人，即使在這個世界，也要一起……
MID_LUCINA_POPULARITY01_VOICE17: 你和我的羈絆……會讓我更為堅強。
MID_LUCINA_POPULARITY01_VOICE18: 我知道了。
MID_LUCINA_POPULARITY01_VOICE19: 該怎麼做呢？
MID_LUCINA_POPULARITY01_VOICE20: 請給我指示。
