[Heroes Archive] (LUCINA_SPRING01)


Heroes Message Name: Message


MID_LUCINA_SPRING01_HOME1: 我畫的彩繪雞蛋……\n大家都說配色很奇怪。不過，\n夏蓉殿下有稱讚我喔！
MID_LUCINA_SPRING01_HOME2: 我還是第一次體驗慶祝春天的慶典。\n大家都穿著華麗的衣裳，\n還會準備豐盛美食……真的很有趣。
MID_LUCINA_SPRING01_HOME3: 辛苦了，每次都勞煩你出任務。\n肚子會餓嗎？\n啊，如果不介意的話，這裡有些雞蛋……
MID_LUCINA_SPRING01_HOME4: 下次要不要一起去草原？\n聽說有種遊戲要滾著雞蛋來玩……\n我很想試試看呢！
MID_LUCINA_SPRING01_HOME5: ……呼、呼……\n……啊，對不起，我不小心打瞌睡了……！\n暖和的春天，會讓人不經意睡著呢。
MID_LUCINA_SPRING01_FRIEND: 我送來春天的祝福囉，\n$Nu。\n今天也很暖和呢。
MID_LUCINA_SPRING01_LEVEL1: 感覺就像春天的花朵\n在心中綻放開來一樣！
MID_LUCINA_SPRING01_LEVEL2: 我想延續這股氣勢，\n變得比去年春天更強。
MID_LUCINA_SPRING01_LEVEL3: 這種哀傷，就像是只有心\n回到了嚴冬一般……
MID_LUCINA_SPRING01_SKILL: 謝謝你給了我新的力量。\n和明媚的春光很相襯喔。
MID_LUCINA_SPRING01_JOIN: 我是未來的伊里斯公主，露琪娜。\n春祭真是個美好的節日……\n我想將這段和平的時光烙印在心底。
MID_LUCINA_SPRING01_STRONGEST: $Nu，\n你對春祭服飾有興趣嗎？\n伊里斯有很多時尚的衣服。$k$p像是畫滿了碎雞蛋圖案的衣服，\n或是正面畫有父親大人頭上\n戴著兔耳朵的模樣的衣服……$k$p此外還有用胡蘿蔔做成的武器喔。\n要是我們能一起穿著參加慶典，\n羈絆一定也會瞬間加深許多！$k$p……咦？你說你心領了？……說的也是呢。\n我回國的時候，必定就是離別之時……\n真抱歉，我講出了這種悲傷的話。$k$p再說，就算沒有那些裝飾，\n我也覺得我們的羈絆早已堅不可摧了。\n今後也請讓我和你一同奮戰喔。
MID_LUCINA_SPRING01_VOICE01: 嘿！
MID_LUCINA_SPRING01_VOICE02: 我要上了！
MID_LUCINA_SPRING01_VOICE03: 咦！？
MID_LUCINA_SPRING01_VOICE04: 怎麼會這樣……！
MID_LUCINA_SPRING01_VOICE05: 我會認真慶祝的！
MID_LUCINA_SPRING01_VOICE06: 這就是春祭！
MID_LUCINA_SPRING01_VOICE07: 冬天結束了！
MID_LUCINA_SPRING01_VOICE08: 兔子攻擊！
MID_LUCINA_SPRING01_VOICE09: 花朵終會凋零……
MID_LUCINA_SPRING01_VOICE10: 哦呵呵！
MID_LUCINA_SPRING01_VOICE11: 春祭快樂。
MID_LUCINA_SPRING01_VOICE12: 我是春天出生的，所以最喜歡這個季節了。
MID_LUCINA_SPRING01_VOICE13: 你不覺得這戴起來很時尚嗎？
MID_LUCINA_SPRING01_VOICE14: 在我原本的世界裡，有個能變身成兔子的種族……叫做兔獸人喔。
MID_LUCINA_SPRING01_VOICE15: 在未來，我從來都沒能像這樣慶祝春天過……
MID_LUCINA_SPRING01_VOICE16: 機會難得，不如我也在這個世界藏顆雞蛋再回去吧。
MID_LUCINA_SPRING01_VOICE17: 戰爭結束後，歡迎你來參加伊里斯的春祭。\n我會替你準備時尚的帽子喔。
MID_LUCINA_SPRING01_VOICE18: 是！
MID_LUCINA_SPRING01_VOICE19: 春天到了呢……
MID_LUCINA_SPRING01_VOICE20: 天氣真暖和。
MID_LUCINA_SPRING01_VOICE21: 要不要和我一起去賞花呢？
