[Heroes Archive] (MARIA)


Heroes Message Name: Message


MID_MARIA_HOME1: 阿爾馮斯王子和夏蓉公主\n兄妹倆的感情真好呢。\n好好喔～好羨慕他們哦～……
MID_MARIA_HOME2: 米謝爾哥哥……\n米奈娃姊姊……\n好想再次和大家一起生活喔……
MID_MARIA_HOME3: $Nu，\n偶爾也要小歇一下喔。\n要是生病了，就由我來照顧你。
MID_MARIA_HOME4: 可以和我一起去散步嗎？\n因為安娜說我還太小了，不可以一個人跑出去。
MID_MARIA_HOME5: 這座城堡好大喔。\n要是能跟大家一起玩捉迷藏，\n一定很有趣！
MID_MARIA_FRIEND: 你是$Nu吧？\n我叫做瑪莉亞，\n是來跟你打招呼的哦。
MID_MARIA_LEVEL1: 好像變得\n跟哥哥一樣強了！
MID_MARIA_LEVEL2: 好像變得\n跟姊姊一樣成熟了。
MID_MARIA_LEVEL3: 嗚嗚……\n好像失敗了……
MID_MARIA_SKILL: 不能老是被人家保護。\n我也要變強！
MID_MARIA_JOIN: 我是馬其頓公主瑪莉亞。\n我會努力協助大家的，\n所以請將我帶在身邊吧。
MID_MARIA_STRONGEST: 耶嘿嘿，怎麼樣？\n我是不是變強了呢？$k$p我啊，老是被哥哥和姊姊\n保護得好好的……所以一直在想，\n要是有一天我也能變強的話就好了。$k$p不過，和你一起行動之後，我才發現……\n「要是有一天」是錯的……\n必須「立刻」開始變強才對。$k$p這場仗真的很艱辛，\n但也正因為這樣……\n我才能夠實現夢想。$k$p謝謝你。接下來就換我\n努力報答你的恩情囉！
MID_MARIA_VOICE01: 嘿！
MID_MARIA_VOICE02: 嘿～！
MID_MARIA_VOICE03: 呀啊～！
MID_MARIA_VOICE04: 好痛喔……
MID_MARIA_VOICE05: 我才不會輸呢。
MID_MARIA_VOICE06: 嘿～嘿～嘿～
MID_MARIA_VOICE07: 像哥哥一樣！
MID_MARIA_VOICE08: 像姊姊一樣！
MID_MARIA_VOICE09: 姊……姊……
MID_MARIA_VOICE10: 啊哈哈。
MID_MARIA_VOICE11: 我會待在你身邊喔！
MID_MARIA_VOICE12: 我也會努力的！
MID_MARIA_VOICE13: 哇！怎麼了怎麼了？
MID_MARIA_VOICE14: 好想長得跟姊姊一樣高喔……
MID_MARIA_VOICE15: 啊，等一下等一下～
MID_MARIA_VOICE16: 哥哥……姊姊……
MID_MARIA_VOICE17: 讓我待在你身邊吧。欸，好不好！？
MID_MARIA_VOICE18: 嗯。
MID_MARIA_VOICE19: 嗯……
MID_MARIA_VOICE20: 這邊喔！
