[Heroes Archive] (MARTH)


Heroes Message Name: Message


MID_MARTH_HOME1: 真是不可思議呢。我覺得你就像是\n一直陪伴在我身邊的摯友一樣……
MID_MARTH_HOME2: 我並不是什麼英雄王，\n只因我身邊有眾多夥伴，\n所以才能夠結束戰爭。
MID_MARTH_HOME3: 感謝你總是為我們如此辛勞。\n假如你遇到困難的話，\n希望你隨時都能找我們幫忙。
MID_MARTH_HOME4: 這個世界真是美麗……\n讓我想起故鄉了呢。
MID_MARTH_HOME5: 我不願見到任何一位夥伴陣亡。\n我想要和你……\n和大家一起打贏這場戰爭。
MID_MARTH_FRIEND: 你好，這裡真是個好地方。\n$Nf\n託我前來向你問候。
MID_MARTH_LEVEL1: 我想成為能照耀大家\n未來的希望之光……！
MID_MARTH_LEVEL2: 嗯。今後我也會\n照這股氣勢繼續努力喔。
MID_MARTH_LEVEL3: 抱歉，我覺得\n狀況似乎不是很好……
MID_MARTH_SKILL: 有了這道希望之光……\n我一定會結束這場戰爭的。
MID_MARTH_JOIN: 我是阿利提亞王子馬爾斯。\n我也想跟渴望和平的你們並肩奮戰。\n今後請多關照囉。
MID_MARTH_STRONGEST: 歷經了無數次的激戰後……\n我深深感到自己的無力。$k$p但這種時候，只要想起你在我的身旁，\n我就會覺得充滿信心……$k$p雖然我一個人什麼都辦不到，\n但只要和你在一起，我就覺得\n不管是什麼困境……我都能勇敢面對。$k$p所以……\n今後我們也一起奮戰吧。$k$p嗯，謝謝你。\n今後也請你多多指教囉。
MID_MARTH_VOICE01: 嘿！
MID_MARTH_VOICE02: 喝！
MID_MARTH_VOICE03: 嗚！
MID_MARTH_VOICE04: 哇啊啊啊！
MID_MARTH_VOICE05: 請大家保佑我！
MID_MARTH_VOICE06: 原諒我……！
MID_MARTH_VOICE07: 至少一擊……！
MID_MARTH_VOICE08: 我要親手……！
MID_MARTH_VOICE09: 糟……了……
MID_MARTH_VOICE10: 呵呵！
MID_MARTH_VOICE11: 怎麼了？
MID_MARTH_VOICE12: 我總是在關注著你的戰鬥喔。
MID_MARTH_VOICE13: 你也有許多很棒的夥伴呢。
MID_MARTH_VOICE14: 這個髮飾是某位女性給我的。
MID_MARTH_VOICE15: 不管在哪個世界都有戰火啊……
MID_MARTH_VOICE16: 我不願見到任何人陣亡。你的想法也和我一樣吧？
MID_MARTH_VOICE17: 和你一起度過的時光都很開心喔。\n我覺得所有的傷心回憶都會逐漸被治癒。
MID_MARTH_VOICE18: 好，走吧。
MID_MARTH_VOICE19: 你放心。
MID_MARTH_VOICE20: 我會守護你的。
MID_MARTH_VOICE21: 請務必讓我助你一臂之力。
