[Heroes Archive] (MATTHEW)


Heroes Message Name: Message


MID_MATTHEW_HOME1: 特務機關，是吧……\n仔細一想，我之前的工作\n好像也跟現在差不多嘛。
MID_MATTHEW_HOME2: 你想知道我的來歷？\n哈哈，可以啊，不過因為職業病的關係，\n我可能會加入一些謊言喔。
MID_MATTHEW_HOME3: 嗨，辛苦了，老是麻煩你巡邏。\n我也會去注意有沒有可疑傢伙出入喔。
MID_MATTHEW_HOME4: 要是在這個世界……\n或許能和她……\n能和蕾拉再度相會啊……
MID_MATTHEW_HOME5: 密探訓練？當然有啊。\n可是，要是公然實施的話，\n會搞出一大票危險人物的，所以啦……
MID_MATTHEW_FRIEND: 你就是$Nu？\n我的主子要我來問候你，\n他說今後也要請你多多指教。
MID_MATTHEW_LEVEL1: 哈哈，這成果太好了吧？\n這力量對密探來說太危險了。
MID_MATTHEW_LEVEL2: 雖然打打殺殺不是我的專長，\n但看來幹得還不錯嘛。
MID_MATTHEW_LEVEL3: 我真是缺乏戰鬥才能啊……\n果然還是暗自工作適合我。
MID_MATTHEW_SKILL: 我可是地下密探耶……\n不過，我會善用這份力量的。
MID_MATTHEW_JOIN: 我叫做馬修，\n算是少爺……\n海克托爾大人的侍從吧。
MID_MATTHEW_STRONGEST: 真是的，跟你在一起都不會無聊呢。\n……我說啊，你知道嗎？\n一般來說，所謂的密探……$k$p不管對夥伴還是對朋友……\n都只會維持最低限度的交情。\n密探是不應該跟人稱兄道弟的。$k$p你想想，\n要是無法在任務中割捨夥伴的話，\n這種人是當不了密探的。$k$p不過……說的也是……\n我也稍微努力試著改變看看吧……$k$p不，沒什麼。\n你別在意。
MID_MATTHEW_VOICE01: 喝！
MID_MATTHEW_VOICE02: 看招！
MID_MATTHEW_VOICE03: 嗚啊～！
MID_MATTHEW_VOICE04: 傷腦筋……
MID_MATTHEW_VOICE05: 有破綻。
MID_MATTHEW_VOICE06: 納命來。
MID_MATTHEW_VOICE07: 做個了斷吧。
MID_MATTHEW_VOICE08: 這算是打招呼。
MID_MATTHEW_VOICE09: 抱……歉……
MID_MATTHEW_VOICE10: 呵！
MID_MATTHEW_VOICE11: 是新的任務嗎？
MID_MATTHEW_VOICE12: 我身上可沒藏武器喔。
MID_MATTHEW_VOICE13: 看來沒有敵人的氣息。
MID_MATTHEW_VOICE14: 你有想打探的情報嗎？
MID_MATTHEW_VOICE15: 我是密探，也就是地下人員。
MID_MATTHEW_VOICE16: 任何人都有不想被觸及的心靈角落……
MID_MATTHEW_VOICE17: 我很欣賞你喔。
MID_MATTHEW_VOICE18: 嗯。
MID_MATTHEW_VOICE19: 該怎麼辦呢……？
MID_MATTHEW_VOICE20: 走吧。
