[Heroes Archive] (MINERBA)


Heroes Message Name: Message


MID_MINERBA_HOME1: 阿爾馮斯王子\n具備擔任王者的器量。\n我想起了馬爾斯王子……
MID_MINERBA_HOME2: 這種祥和的日子……\n讓我想起我們兄妹三人\n一起度過的那段日子了……
MID_MINERBA_HOME3: 雖然我現在被稱為赤色龍騎士，\n但以前也曾騎乘過飛馬。\n牠們很可愛喔……
MID_MINERBA_HOME4: 我曾和兄長米謝爾\n斷絕關係、彼此爭戰，\n最後親手誅殺了兄長……
MID_MINERBA_HOME5: 米謝爾和我早已無法\n像從前那樣當兄妹了。\n希望至少妹妹瑪莉亞能夠獲得幸福……
MID_MINERBA_FRIEND: 我代替$Nf\n來向你致意。\n還請多多關照。
MID_MINERBA_LEVEL1: 令人畏懼的赤色龍騎士的力量……\n你就好好見識吧！
MID_MINERBA_LEVEL2: 原來我還擁有……\n這樣的潛力啊。
MID_MINERBA_LEVEL3: 我終究……\n遠遠不及兄長啊……
MID_MINERBA_SKILL: 感激不盡。若要論沙場征戰，\n我絕不會輸給任何人。
MID_MINERBA_JOIN: 我叫做米奈娃，是馬其頓的公主。\n如果你需要我，\n我會盡全力提供協助。
MID_MINERBA_STRONGEST: 我並不是帝王之材。\n雖然也曾代替兄長治理過國家。$k$p然而……卻遭逢叛亂被擒，\n醜態畢露……\n深刻體會到自己的無力……$k$p如果有像你一樣的軍師\n在我身旁的話……\n我是否就能治理好國家呢……$k$p你真是不可思議。\n在你身邊，就讓我有種……\n還能奮戰下去的感覺。$k$p謝謝你。\n我也要努力邁進，不會輕言放棄。\n和你一起……
MID_MINERBA_VOICE01: 喝！
MID_MINERBA_VOICE02: 嘿！
MID_MINERBA_VOICE03: 嗚啊～！
MID_MINERBA_VOICE04: 這傢伙……！
MID_MINERBA_VOICE05: 想反抗嗎？
MID_MINERBA_VOICE06: 我要上了！
MID_MINERBA_VOICE07: 覺悟吧！
MID_MINERBA_VOICE08: 愚蠢……
MID_MINERBA_VOICE09: 獻醜……了……
MID_MINERBA_VOICE10: 呵！
MID_MINERBA_VOICE11: 怎麼了？找我有事嗎？
MID_MINERBA_VOICE12: 這、這是異國的致意方式嗎？
MID_MINERBA_VOICE13: 我想要胸懷榮耀、堂堂正正地戰鬥。
MID_MINERBA_VOICE14: 我終究不是帝王之材。
MID_MINERBA_VOICE15: 我們一起奪回和平吧。
MID_MINERBA_VOICE16: 往昔那種談笑風生的日子……
MID_MINERBA_VOICE17: 與你共度時光，感覺並不差呢……
MID_MINERBA_VOICE18: 知道了。
MID_MINERBA_VOICE19: 請給我指示。
MID_MINERBA_VOICE20: 走吧。
