[Heroes Archive] (MYRRH_HALLOWEEN02)


Heroes Message Name: Message


MID_MYRRH_HALLOWEEN02_HOME1: 好漂亮的洋裝……\n城鎮和城堡裡到處都是南瓜……\n感覺好有趣唷。
MID_MYRRH_HALLOWEEN02_HOME2: 一直以來……\n我都和父親兩人待在闇之樹海。\n像這樣熱鬧的慶典，我還是第一次參加……
MID_MYRRH_HALLOWEEN02_HOME3: 必須對不給糖的人惡作劇才行……\n但像這種壞壞的事情，\n我做不到……
MID_MYRRH_HALLOWEEN02_HOME4: 以前我住的地方……\n沒有糖果這種東西。\n所以……一不小心就會吃太多。
MID_MYRRH_HALLOWEEN02_HOME5: 我做了一個被南瓜怪物追著跑的夢……\n太恐怖了，我一個人睡不著……
MID_MYRRH_HALLOWEEN02_FRIEND: 不給糖就搗蛋。\n我替$Nf殿下\n捎來問候。
MID_MYRRH_HALLOWEEN02_LEVEL1: 好多糖果……\n好開心唷。
MID_MYRRH_HALLOWEEN02_LEVEL2: 如果我在你面前變身為龍，\n是不是更能嚇到你呢……
MID_MYRRH_HALLOWEEN02_LEVEL3: 對不起，\n我做得不是很好……
MID_MYRRH_HALLOWEEN02_SKILL: 唔嗯唔嗯……\n糖果好好吃唷。
MID_MYRRH_HALLOWEEN02_JOIN: 不給糖就搗蛋……\n我叫做梅爾，\n你也會去參加慶典嗎？
MID_MYRRH_HALLOWEEN02_STRONGEST: 我至今……\n活了相當長的時間，但是……\n這麼歡樂的慶典，我還是第一次參加。$k$p大家又笑又跳，還四處發糖果……\n雖然也有可怕的鬼晃來晃去……$k$p但眼前的一切都好歡樂，\n大家的內心都十分溫暖……\n也讓我度過了一段非常幸福的時光。$k$p我想在這裡的所有人……包括你……\n千年過後……應該都不在世上了……$k$p但是就算再過千年，\n我也不會忘記這個慶典……\n這個與大家一起度過的收穫祭。$k$p「不給糖就搗蛋」……\n因為無論何時，當我說出這句話，\n就能想起這段快樂的回憶……
MID_MYRRH_HALLOWEEN02_VOICE01: 嘿！
MID_MYRRH_HALLOWEEN02_VOICE02: 惡作劇……
MID_MYRRH_HALLOWEEN02_VOICE03: 呀啊～！
MID_MYRRH_HALLOWEEN02_VOICE04: 糟了……
MID_MYRRH_HALLOWEEN02_VOICE05: 我要來惡作劇了。
MID_MYRRH_HALLOWEEN02_VOICE06: 不給糖就搗蛋。
MID_MYRRH_HALLOWEEN02_VOICE07: 很恐怖喔。
MID_MYRRH_HALLOWEEN02_VOICE08: 這是糖果的怨念。
MID_MYRRH_HALLOWEEN02_VOICE09: お化けは…かなしいです…
MID_MYRRH_HALLOWEEN02_VOICE10: えっと
MID_MYRRH_HALLOWEEN02_VOICE11: 私は、だいたい千二百歳くらいです…
MID_MYRRH_HALLOWEEN02_VOICE12: きゃっ！　私を攻撃するのかと思いました…
MID_MYRRH_HALLOWEEN02_VOICE13: 竜になったら、この服はどうなるのでしょうか…？
MID_MYRRH_HALLOWEEN02_VOICE14: 私は子供ではありませんが…お菓子は好きです。
MID_MYRRH_HALLOWEEN02_VOICE15: お菓子が欲しいです…でも、だめなら良いです。なんでもないです。
MID_MYRRH_HALLOWEEN02_VOICE16: お化けはきらいです…一人で眠れなくなります…
MID_MYRRH_HALLOWEEN02_VOICE17: 夜、お化けが怖い時…一緒に寝てくれませんか？
MID_MYRRH_HALLOWEEN02_VOICE18: わかりました
MID_MYRRH_HALLOWEEN02_VOICE19: いたずらですか？
MID_MYRRH_HALLOWEEN02_VOICE20: お菓子をどうぞ。
