[Heroes Archive] (NACIEN)


Heroes Message Name: Message


MID_NACIEN_HOME1: 這座城堡真不錯呢。\n既強悍又美麗……\n簡直就跟我一樣。
MID_NACIEN_HOME2: 若是為了爬上頂點……\n呵呵呵……\n沒錯，我什麼都願意做……！
MID_NACIEN_HOME3: 你總是為我巡邏，辛苦你了。\n我就當作這是你對我敬愛有加的證明，\n好好感謝我吧。
MID_NACIEN_HOME4: 唔唔唔……！\n沒人認同我，\n你們這群該死的雜碎！
MID_NACIEN_HOME5: ……　啊，失禮了。\n我剛剛在鍛鍊，結果技巧太過出色，\n不禁自己欣賞到入迷了呢。
MID_NACIEN_FRIEND: 你就是$Nu嗎？\n呵呵呵……我來跟你打招呼了。\n要知道感恩啊。
MID_NACIEN_LEVEL1: 啊哈哈！\n這就是我的實力！！
MID_NACIEN_LEVEL2: 呵呵呵……當然啦……\n我可是拿榭恩大人啊。
MID_NACIEN_LEVEL3: 唔……這怎麼可能！？\n一定是哪裡搞錯了！
MID_NACIEN_SKILL: 哼，終於肯認同\n我的實力了嗎……？
MID_NACIEN_JOIN: 我叫做拿榭恩，\n是伯爾尼三龍將之一！\n顫慄地跪倒在我面前吧！
MID_NACIEN_STRONGEST: 什、什麼……！？\n你說我自我感覺良好……！？\n凡事只考慮到自己而已！？$k$p呵……那是當然的。\n我一向只為自己而活。\n我就是這樣一路爬上來的……！$k$p呵……不過膽敢當面和我說\n這種話的人，你還是第一個。\n真有趣……$k$p竟敢向我挑釁……\n我會讓你後悔……！\n然後一定要讓你跪倒在我面前……$k$p如此一來，\n我就能在你身邊永遠疼愛你了……！\n呵哈哈哈……！
MID_NACIEN_VOICE01: 喝！
MID_NACIEN_VOICE02: 嘿呀！
MID_NACIEN_VOICE03: 嗚啊～！
MID_NACIEN_VOICE04: 混帳……
MID_NACIEN_VOICE05: 呵呵呵。
MID_NACIEN_VOICE06: 讓你嚐嚐我的厲害……
MID_NACIEN_VOICE07: 不可饒恕！
MID_NACIEN_VOICE08: 趴在地上爬吧！
MID_NACIEN_VOICE09: 居然會被這種貨色撂倒！
MID_NACIEN_VOICE10: 呵呵呵……
MID_NACIEN_VOICE11: 呵呵呵……找我有事嗎？
MID_NACIEN_VOICE12: 看來你被我的美貌給迷倒了呢。
MID_NACIEN_VOICE13: 我的精明幹練，無庸置疑……
MID_NACIEN_VOICE14: 我這髮型真是完美啊……
MID_NACIEN_VOICE15: 我強悍……我聰穎……
MID_NACIEN_VOICE16: 我美麗……我正確……\n任何人……都比不上我！
MID_NACIEN_VOICE17: 服從強者是我的美學。
MID_NACIEN_VOICE18: 知道了。
MID_NACIEN_VOICE19: 給我指示吧。
MID_NACIEN_VOICE20: 讓他們見識一下。
