[Heroes Archive] (NANNA)


Heroes Message Name: Message


MID_NANNA_HOME1: 像這樣與各位相處在一塊，\n感覺真不可思議……\n但是，這令人感到很開心呢。
MID_NANNA_HOME2: 拉克西絲母親大人……\n到了這個世界，\n我就能再度與您相遇了吧……
MID_NANNA_HOME3: 日常巡邏辛苦了。\n不過，為了關鍵時刻，\n還請務必好好休息喔。
MID_NANNA_HOME4: 哎呀，有事情找我嗎？\n咦，不知不覺就盯著我看了？\n呵呵，你說的話還真奇怪呢。
MID_NANNA_HOME5: 這座城堡如此恬靜……\n不小心就會看得入迷。\n真希望這裡能一直維持祥和。
MID_NANNA_FRIEND: 我帶了來自\n$Nf殿下的問候，\n請多指教喔。
MID_NANNA_LEVEL1: 呵呵，感覺很棒呢。
MID_NANNA_LEVEL2: 這樣可以嗎……？
MID_NANNA_LEVEL3: 嗯，這也沒辦法……
MID_NANNA_SKILL: 我會用這股力量幫助更多的人。
MID_NANNA_JOIN: 我是南娜，\n諾狄恩王家血脈的繼承者。\n請多指教喔。
MID_NANNA_STRONGEST: 哎呀，$Nu殿下，\n謝謝你一直這麼關照我。$k$p我總是被別人拯救……\n在原先的世界也是，\n只能看著重要的人受到傷害……$k$p我時常為自己的無能感到懊悔，\n不過……$k$p在與你一起作戰的過程中，\n我了解到不是只有刀劍交鋒才叫戰鬥。$k$p今後，為了保護重要的人，\n我希望能盡自己最大的努力，\n支持你還有夥伴們。
MID_NANNA_VOICE01: 嘿！
MID_NANNA_VOICE02: 看招！
MID_NANNA_VOICE03: 呀啊啊！
MID_NANNA_VOICE04: 嘿！
MID_NANNA_VOICE05: 請原諒我。
MID_NANNA_VOICE06: 請讓開吧……
MID_NANNA_VOICE07: 只能這樣了……！
MID_NANNA_VOICE08: 那可不行……！
MID_NANNA_VOICE09: リーフ様…負けないで…
MID_NANNA_VOICE10: ふふ…
MID_NANNA_VOICE11: 沒有受傷吧？
MID_NANNA_VOICE12: 讓我幫你療傷。
MID_NANNA_VOICE13: ナンナと申します。エルトシャン王の妹ラケシスの娘です。
MID_NANNA_VOICE14: きゃあっ！　…あ、あなたは何を考えているのですか！
MID_NANNA_VOICE15: リーフ様は私に、兄妹のように優しく接してくださいました…
MID_NANNA_VOICE16: 同じ女として、母様の気持ちはわかります…
MID_NANNA_VOICE17: あなたのご無事を、ずっと祈っています…
MID_NANNA_VOICE18: はい
MID_NANNA_VOICE19: どうしますか？
MID_NANNA_VOICE20: 御指示ください
