[Heroes Archive] (NONO)


Heroes Message Name: Message


MID_NONO_HOME1: 被召喚過來時雖然嚇了一跳，\n但儂儂很喜歡這裡喔。\n因為風景美麗，大家又親切！
MID_NONO_HOME2: 儂儂一直都是孤單一人。\n不過，自從加入庫洛武軍以後，\n每天都很開心，一點都不寂寞！
MID_NONO_HOME3: 你在巡邏啊，好乖好乖！\n你的努力，儂儂都有看到，\n所以儂儂會稱讚你喔！
MID_NONO_HOME4: 欸欸，要不要跟儂儂玩龍抓人呢？\n儂儂會變成龍當鬼，\n然後$Nu要跑給儂儂追！
MID_NONO_HOME5: 儂儂正在找亮晶晶的石頭！\n要是有看到的話，要告訴儂儂喔。\n儂儂要把它當成寶物。
MID_NONO_FRIEND: 儂儂是來跑腿的喔！\n$Nf託儂儂過來，\n說是要跟你打聲招呼！
MID_NONO_LEVEL1: 儂儂覺得現在的自己\n無所不能喔！
MID_NONO_LEVEL2: 嗯哼！\n儂儂變強了喔！
MID_NONO_LEVEL3: 唔～儂儂想要\n變得更強啦～
MID_NONO_SKILL: 你看你看！\n儂儂和以前不太一樣了吧？
MID_NONO_JOIN: 儂儂是叫做龍族的龍人，\n出生於一千零幾年之前，\n所以是你的大姊姊喔，嗯哼！
MID_NONO_STRONGEST: 儂儂找到$Nu了～！\n今天也跟儂儂一起玩吧！！\n要玩鬼抓人嗎？還是捉迷藏？$k$p咦？聊天就好了？\n儂儂想要活動筋骨耶……\n但如果你想聊天，儂儂也沒問題喔！$k$p儂儂啊，最喜歡和你在一起了。\n又舒服、又有趣，儂儂覺得很安心喔！\n你也有這種感覺嗎？$k$p這樣啊！儂儂好高興！\n那我們要一直一直在一起喔！\n儂儂又是姊姊又厲害，$k$p所以會一直守護\n$Nu你的！\n來打勾勾吧，說謊的是小狗！\n
MID_NONO_VOICE01: 嘿～！
MID_NONO_VOICE02: 喝啊！
MID_NONO_VOICE03: 嗚啾！
MID_NONO_VOICE04: 儂儂生氣囉！
MID_NONO_VOICE05: 儂儂很強喔！
MID_NONO_VOICE06: 儂儂要踩扁你！
MID_NONO_VOICE07: 哈、哈啾～！
MID_NONO_VOICE08: 儂儂要大鬧囉～！
MID_NONO_VOICE09: 嗚嗚……儂儂輸了……
MID_NONO_VOICE10: 耶嘿嘿。
MID_NONO_VOICE11: 我們來玩鬼抓人嘛！
MID_NONO_VOICE12: 你放心，有儂儂跟著你喔。
MID_NONO_VOICE13: 再過個一千年，儂儂就能變成「魔鬼身材」了吧。
MID_NONO_VOICE14: 用儂儂的神龍吐息解決敵人吧！
MID_NONO_VOICE15: 儂儂雖然看起來很小，其實是大姊姊喔，嗯哼！
MID_NONO_VOICE16: 要是有找到亮晶晶的石頭，真想拿來當成寶物～
MID_NONO_VOICE17: 儂儂啊，最喜歡阿爾馮斯、夏蓉、安娜……\n還有你哦～！
MID_NONO_VOICE18: 嗯！
MID_NONO_VOICE19: 輪到儂儂了？
MID_NONO_VOICE20: 走吧走吧！
