[Heroes Archive] (OGUMA)


Heroes Message Name: Message


MID_OGUMA_HOME1: 這樣的日子……\n讓人想起過去那段時光啊。\n身為劍鬥士時那些不值一提的往事……
MID_OGUMA_HOME2: 我曾有三位部下，\n薩吉、瑪吉、巴茲……\n他們三個都是真正的戰士。
MID_OGUMA_HOME3: 能休息時就好好休息。\n這樣無論何時發生戰鬥，\n身體才有體力因應。
MID_OGUMA_HOME4: 你會用劍嗎？\n要是想過招的話，我隨時奉陪。\n但我不太會控制力道就是了……
MID_OGUMA_HOME5: 我正在保養劍，\n以免生鏽。\n這是以前養成的習慣……
MID_OGUMA_FRIEND: 你就是$Nu吧。\n我的雇主……$Nf\n託我來向你致意。
MID_OGUMA_LEVEL1: 原來如此……\n我還有這種力量啊……
MID_OGUMA_LEVEL2: 實力似乎\n稍微提升了一些。
MID_OGUMA_LEVEL3: 我也還差得遠呢……
MID_OGUMA_SKILL: 感激不盡。\n這份恩情就在戰場回報吧。
MID_OGUMA_JOIN: 我叫做奧古馬，\n是塔利斯的傭兵。\n不嫌棄的話，就讓我來助你們一臂之力吧。
MID_OGUMA_STRONGEST: 認識你們之後，\n我才瞭解所謂的強大，\n其實是有各種形式的。$k$p那是只懂得追求血腥勝利\n劍鬥士我的戰鬥中，\n所缺乏的守護和平的強大……$k$p$Nu，\n是你讓我學到這件事。$k$p我要變得更強。\n我在此承諾，我將為了你們\n所追尋的和平而揮舞這把劍。
MID_OGUMA_VOICE01: 喝！
MID_OGUMA_VOICE02: 唔喔～！
MID_OGUMA_VOICE03: 嗚啊～！
MID_OGUMA_VOICE04: 厲害……
MID_OGUMA_VOICE05: 滾。
MID_OGUMA_VOICE06: ……別怨我啊。
MID_OGUMA_VOICE07: 結束吧。
MID_OGUMA_VOICE08: 我要上了。
MID_OGUMA_VOICE09: 已經……到此為止了嗎……
MID_OGUMA_VOICE10: 嗯……
MID_OGUMA_VOICE11: 怎麼了？
MID_OGUMA_VOICE12: 你真是個怪人。
MID_OGUMA_VOICE13: 抱歉，我不太會說話……
MID_OGUMA_VOICE14: 我使命必達。
MID_OGUMA_VOICE15: 我是個只懂得戰鬥的男人……
MID_OGUMA_VOICE16: 得為下一場戰事做準備才行。
MID_OGUMA_VOICE17: 為了你……我絕不會輸。
MID_OGUMA_VOICE18: 嗯。
MID_OGUMA_VOICE19: 要怎麼做呢……？
MID_OGUMA_VOICE20: 我要上了。
