[Heroes Archive] (OLIVIE)


Heroes Message Name: Message


MID_OLIVIE_HOME1: 我想練習舞蹈……\n但要在眾目睽睽下開始\n好難為情喔～…！
MID_OLIVIE_HOME2: 我、我在加入庫洛武殿下的軍隊前，\n一直在周遊各國……\n我知道很多異國的舞蹈及故事喔。
MID_OLIVIE_HOME3: 你也是從其他國家來的吧……\n請務必保重身體。\n因為這裡的夜晚似乎很冷……
MID_OLIVIE_HOME4: 如果可以的話，希望下次\n能請你說說你故鄉的事情……因為\n這樣就好像到那個國家旅行過一樣……
MID_OLIVIE_HOME5: 我剛剛在看旅行的紀念品。\n這是南國大海的貝殼，\n這邊則是溫泉區的楓葉壓花……
MID_OLIVIE_FRIEND: 啊……你是$Nf的\n朋友……對吧。\n我叫做奧利薇，前來向你致意。
MID_OLIVIE_LEVEL1: 居、居然成長了這麼多，\n好難為情喔～！
MID_OLIVIE_LEVEL2: 這樣一來，就能為大家\n幫上更多忙了……！
MID_OLIVIE_LEVEL3: 啊……請你不要\n太失望啊～！
MID_OLIVIE_SKILL: 我好開心……請你要看清楚\n我此時此刻的樣子喔……
MID_OLIVIE_JOIN: 我、我叫做奧利薇……！\n那個……是位旅行舞孃……\n我一定會幫上你的忙的。
MID_OLIVIE_STRONGEST: 那、那個……\n謝謝你總是賞臉，\n觀賞我的舞蹈……！$k$p我雖然已習慣了旅行，\n但還是第一次來到這種國家，\n老實說，真的很緊張……$k$p不過，因為你總是在我身邊，\n以笑容守護著我，\n所以我……才能努力到現在。$k$p這、這樣講雖然很難為情，\n不過……\n我現在正在構思新的舞步。$k$p我想把我對這個世界……\n以及對你的心意，都寄託在這舞蹈中……\n總有一天，請讓我在你面前表演。\n
MID_OLIVIE_VOICE01: 喝！
MID_OLIVIE_VOICE02: 嘿！
MID_OLIVIE_VOICE03: 呀！
MID_OLIVIE_VOICE04: 咦！？
MID_OLIVIE_VOICE05: 不要看我啦～！
MID_OLIVIE_VOICE06: 請讓開～！
MID_OLIVIE_VOICE07: 起舞吧！
MID_OLIVIE_VOICE08: 會很痛喔～！！
MID_OLIVIE_VOICE09: 對不起……
MID_OLIVIE_VOICE10: 呵呵……！
MID_OLIVIE_VOICE11: 好、好難為情喔……
MID_OLIVIE_VOICE12: 這支舞如何呢……？
MID_OLIVIE_VOICE13: 那個……請不要一直盯著我看……
MID_OLIVIE_VOICE14: 我雖然已習慣了旅行，但還是第一次來到這種地方……
MID_OLIVIE_VOICE15: 希望我的舞蹈能夠讓大家幸福……
MID_OLIVIE_VOICE16: 啦啦啦～…♪　下一個舞步要怎麼編呢……
MID_OLIVIE_VOICE17: 要是想欣賞舞蹈的話，隨時都可以告訴我……\n我會努力的。
MID_OLIVIE_VOICE18: 是！
MID_OLIVIE_VOICE19: 好～……！
MID_OLIVIE_VOICE20: 來跳舞吧。
