[Heroes Archive] (OLIVIE2)


Heroes Message Name: Message


MID_OLIVIE2_HOME1: 啊～為什麼呢……\n雖然平時也是如此，\n但在空中跳舞令人更害羞了～！
MID_OLIVIE2_HOME2: 雖然我有騎過馬，也有搭過馬車……\n但我從來沒有想過竟然會在空中跳舞……！
MID_OLIVIE2_HOME3: 累的時候記得跟我說唷。\n如果可以用我的舞蹈讓你打起精神的話，\n我會很開心的。
MID_OLIVIE2_HOME4: 啊～你問我在做什麼？\n我在幫這孩子梳毛呀。\n像這樣幫牠用的時候，牠好像會覺得很舒服呢。
MID_OLIVIE2_HOME5: 我剛剛去市場一趟。\n買了好多聖飛馬喜歡的蔬菜跟水果回來！
MID_OLIVIE2_FRIEND: 這是$Nf\n要給你的信。\n我是舞者奧利薇。
MID_OLIVIE2_LEVEL1: 這就是所謂的人馬一體嗎？\n彷彿就像自己飛在空中一樣！
MID_OLIVIE2_LEVEL2: 我好像跟這孩子變成朋友了。\n好乖好乖，真是個好孩子。
MID_OLIVIE2_LEVEL3: 哎唷，啊啊～！\n要聽我的話啊──！\n不、不可以去那裡啦～！
MID_OLIVIE2_SKILL: 呵呵呵，真開心。\n我會努力飛得更好的。
MID_OLIVIE2_JOIN: 我叫做奧利薇！\n跟這孩子一起在空中……啊！\n等一下，不要突然飛起來啦──！
MID_OLIVIE2_STRONGEST: 哇、被看到了！\n你問我剛才到底在做些什麼……嗚嗚……\n請不要告訴別人喔？$k$p其實我剛剛在練習新的舞蹈。\n如果能跟這孩子一起在空中漫舞，\n那一定會更棒吧……$k$p第一次在空中飛翔的那天……\n掠過耳邊的風聲、天空的顏色、微涼的空氣，\n全部都讓我非常、非常地感動～$k$p於是我想著或許能把這份感動\n傳達給沒有在空中飛過的人……\n所以現在正在嘗試不同的東西喔～$k$p雖然還很不順利，\n總是被甩下馬背在地上滾啊滾……\n但在完成後，我會第一個表演給你看的！
MID_OLIVIE2_VOICE01: 看招！
MID_OLIVIE2_VOICE02: 嘿～！
MID_OLIVIE2_VOICE03: 呀啊～！
MID_OLIVIE2_VOICE04: 怎麼會……！
MID_OLIVIE2_VOICE05: 請閉上眼睛！
MID_OLIVIE2_VOICE06: 呀……呀──！
MID_OLIVIE2_VOICE07: 跟這孩子一起！
MID_OLIVIE2_VOICE08: 太高了啦──！
MID_OLIVIE2_VOICE09: （ペガサスから）落ち…ちゃい…ます…
MID_OLIVIE2_VOICE10: えっと…
MID_OLIVIE2_VOICE11: やっぱり恥ずかしいです…
MID_OLIVIE2_VOICE12: 空から失礼します…
MID_OLIVIE2_VOICE13: この子に乗って、空の上で踊るなんて、初めてです…
MID_OLIVIE2_VOICE14: きゃっ！？　い、いつからご覧になってたんですか？
MID_OLIVIE2_VOICE15: 空の上は、舞台よりももっと高くて…どきどきします…
MID_OLIVIE2_VOICE16: この子と一緒に、踊りの練習をがんばります
MID_OLIVIE2_VOICE17: よろしければ、私の踊りを、空の上の特別な席で…は、恥ずかしいですー！
MID_OLIVIE2_VOICE18: わかりました
MID_OLIVIE2_VOICE19: どうしましょうか？
MID_OLIVIE2_VOICE20: 空が舞台です
