[Heroes Archive] (PAORA)


Heroes Message Name: Message


MID_PAORA_HOME1: 卡秋雅和愛絲特……\n不知道妹妹她們過得好不好？
MID_PAORA_HOME2: 從以前開始，大家都說\n我很會照顧人喔。\n是因為妹妹她們的緣故吧？
MID_PAORA_HOME3: 一直以來承蒙你的關照。\n巡邏告一段落後，\n請記得休息一下喔。
MID_PAORA_HOME4: 你還好嗎？\n如果累了，請隨時跟我說。\n替人舒緩疲憊可是我的得意強項。
MID_PAORA_HOME5: 啊，對了。\n我得去照料\n天馬們才行呢……
MID_PAORA_FRIEND: 您好，很榮幸能見到您。\n我受$Nf\n之託，前來向您致意。
MID_PAORA_LEVEL1: 哎呀，太好了。\n真開心呢。
MID_PAORA_LEVEL2: 我應該還能\n變得更強……
MID_PAORA_LEVEL3: 哎呀……\n我明明是長女……
MID_PAORA_SKILL: 謝謝你。\n我今後也會繼續努力的。
MID_PAORA_JOIN: 我是馬其頓白騎士團的帕奧拉。\n今後還請多多指教。
MID_PAORA_STRONGEST: 對我來說……\n主君當然是米奈娃殿下。$k$p還有，兩位妹妹在我心中\n也是無可比擬的存在。\n但是……$k$p我在這個世界裡……\n找到了和她們\n一樣重要的人。$k$p如果你不嫌棄……\n我今後也想常伴在你左右……\n可以嗎……？$k$p謝謝你……！\n我好高興……！
MID_PAORA_VOICE01: 喝！
MID_PAORA_VOICE02: 嘿！
MID_PAORA_VOICE03: 呀啊～！
MID_PAORA_VOICE04: 怎麼會……！
MID_PAORA_VOICE05: 對不起。
MID_PAORA_VOICE06: 我們走吧。
MID_PAORA_VOICE07: 我無法手下留情喔。
MID_PAORA_VOICE08: 讓你見識一下。
MID_PAORA_VOICE09: 對不……起……
MID_PAORA_VOICE10: 呵呵。
MID_PAORA_VOICE11: 怎麼了嗎？
MID_PAORA_VOICE12: 呀啊！唉……你真是的。
MID_PAORA_VOICE13: 我們一起努力吧。
MID_PAORA_VOICE14: 你有沒有受傷？
MID_PAORA_VOICE15: 我動不動就會很想照顧別人……
MID_PAORA_VOICE16: 請好好休息吧。
MID_PAORA_VOICE17: 要是有什麼事情，請隨時告訴我喔。
MID_PAORA_VOICE18: 我會努力的。
MID_PAORA_VOICE19: 冷靜點。
MID_PAORA_VOICE20: 我要上囉。
