[Heroes Archive] (PIERI)


Heroes Message Name: Message


MID_PIERI_HOME1: 你的上司真是完美呀！\n大紅色的頭髮好漂亮。\n是被敵人的血染紅的嗎？
MID_PIERI_HOME2: 皮艾莉的主君是馬克斯大人！\n雖然馬克斯大人平時很恐怖，不過……\n他常會讓我參與戰事，所以我最喜歡他了！
MID_PIERI_HOME3: 巡邏辛苦了！\n覺得累的話，皮艾莉可以摸摸頭稱讚你喔。\n皮艾莉的胸口暖洋洋的喔。
MID_PIERI_HOME4: 皮艾莉下次想去肉店啦！\n要拿血淋淋的肉塊大展廚藝……\n煮成好吃的燉肉！
MID_PIERI_HOME5: 皮艾莉有點想念媽媽了。\n雖然再也見不到她了，可是……\n皮艾莉做的料理跟媽媽的一樣喔。
MID_PIERI_FRIEND: 找到$Nu了！\n是$Nf要我來\n跟你打聲招呼的！
MID_PIERI_LEVEL1: 好想趕快殺人！\n要殺更多更多人！
MID_PIERI_LEVEL2: 看我把那些敵人\n通通碎屍萬段！
MID_PIERI_LEVEL3: 哼——！\n根本沒什麼改變嘛！
MID_PIERI_SKILL: 你讓皮艾莉變厲害了呢。\n為了感謝你，我可以幫你殺任何人喔！
MID_PIERI_JOIN: 皮艾莉的名字就叫做皮艾莉！\n我是暗夜王國的戰馬騎士喔！\n我會把敵人全部打得落花流水！
MID_PIERI_STRONGEST: 我正在找你呢，$Nu！\n我今天有東西要給你喔。\n你看～！是皮艾莉親手做的料理！$k$p裡面的肉是皮艾莉又砍又戳殺死的，\n才剛死沒多久喔。\n還有蔬菜也非常新鮮喔！$k$p來！快吃吧！\n……怎麼樣？好吃嗎？？\n嘩～！你喜歡啊！太棒了！$k$p皮艾莉的媽媽很會做菜喔。\n所以啊，她的女兒皮艾莉也很會做菜。\n皮艾莉很感激這份血緣喔，因為……$k$p因為皮艾莉最喜歡你了！\n所以只要能讓你開心，不管是戰鬥還是做菜，\n皮艾莉都會加油的！\n
MID_PIERI_VOICE01: 看招！
MID_PIERI_VOICE02: 喝啊——！
MID_PIERI_VOICE03: 嗚嗚……！
MID_PIERI_VOICE04: 好痛——！
MID_PIERI_VOICE05: 給我倒下！
MID_PIERI_VOICE06: 去死啦——！
MID_PIERI_VOICE07: 這是皮艾莉的玩具！
MID_PIERI_VOICE08: 可以殺了他嗎！？
MID_PIERI_VOICE09: 咦……？不會吧……
MID_PIERI_VOICE10: 耶嘿嘿。
MID_PIERI_VOICE11: 皮艾莉覺得很煩的時候會想砍人喔。
MID_PIERI_VOICE12: 皮艾莉是很會做菜的！
MID_PIERI_VOICE13: 特務機關的洋裝是很可愛的！
MID_PIERI_VOICE14: 那件純白的斗篷就要敵人的鮮血染紅，對吧？
MID_PIERI_VOICE15: 因為你很努力，所以我要給你摸摸頭獎勵唷！
MID_PIERI_VOICE16: 馬克斯大人在哪裡？皮艾莉是部下，所以必須待在他的身邊。
MID_PIERI_VOICE17: 皮艾莉會努力的，所以希望你能讓我再次上戰場。\n然後，如果人家殺了很多敵人，要好好誇獎我喔！
MID_PIERI_VOICE18: 遵命～
MID_PIERI_VOICE19: 要幹掉誰啊？
MID_PIERI_VOICE20: 看我大開殺戒！
