[Heroes Archive] (RIFF)


Heroes Message Name: Message


MID_RIFF_HOME1: 這裡是接近天界的神聖之地……\n想當初被你召喚的時候，\n我還以為是我大限已到。
MID_RIFF_HOME2: 不知道孤兒院的孩子們\n現在過得好不好……？
MID_RIFF_HOME3: 你在巡邏嗎？辛苦了。\n如果我的動作能再靈活點，\n就能跟你一起去了，可是……
MID_RIFF_HOME4: 請不要太過勉強自己。\n偶爾停下來歇口氣、\n放慢步調，其實也是很重要的喔。
MID_RIFF_HOME5: 我這種髮型不需要整理，很輕鬆的。\n若不嫌棄的話，\n我來幫你剃光頭吧？
MID_RIFF_FRIEND: 我是僧侶利夫。\n雖然無法戰鬥，\n不過我能使用治癒之杖。
MID_RIFF_LEVEL1: 哎呀呀……\n竟然會有這麼不可思議的事情。
MID_RIFF_LEVEL2: 以我這年紀來說，\n算是很努力了吧。
MID_RIFF_LEVEL3: 哎唷喂呀……\n年紀大了就是沒轍……
MID_RIFF_SKILL: 你也真是位奇人啊……\n要是我能夠滿足你的期待就好了。
MID_RIFF_JOIN: 我是僧侶利夫。\n雖然無法戰鬥，\n不過我能使用治癒之杖。
MID_RIFF_STRONGEST: 哎呀呀……\n身邊都是年輕人，讓我忍不住\n硬要逞強，也顧不得自己一把年紀了。$k$p不過，原來還有我能夠做的事情……\n能夠明白這點，讓我覺得這趟旅程\n真是意義非凡。$k$p我得好好感謝\n引導我的每一位夥伴……\n還有你。$k$p雖然此身已是老朽之驅，\n還是請你儘管使喚，無須多慮。$k$p一切盡人事聽天命……
MID_RIFF_VOICE01: 喝！
MID_RIFF_VOICE02: 看招！
MID_RIFF_VOICE03: 嗚啊啊！
MID_RIFF_VOICE04: 太弱了……
MID_RIFF_VOICE05: 雖然不擅長……
MID_RIFF_VOICE06: 不好意思……
MID_RIFF_VOICE07: 我們走吧。
MID_RIFF_VOICE08: 我必須戰鬥……
MID_RIFF_VOICE09: 到此為止……了嗎……？
MID_RIFF_VOICE10: 呵呵呵。
MID_RIFF_VOICE11: 雖然無法戰鬥，不過……
MID_RIFF_VOICE12: 我能使用治癒之杖。
MID_RIFF_VOICE13: 你受傷了嗎？
MID_RIFF_VOICE14: 哎呀哎呀……
MID_RIFF_VOICE15: 我是僧侶利夫。
MID_RIFF_VOICE16: 不知孩子們過得好不好……
MID_RIFF_VOICE17: 我隨時都可以為你療傷。
MID_RIFF_VOICE18: 是。
MID_RIFF_VOICE19: 哎呀呀……
MID_RIFF_VOICE20: 治療……
