[Heroes Archive] (RINDA)


Heroes Message Name: Message


MID_RINDA_HOME1: 殺父仇人加內夫……\n我一定要以這本輝光魔道書\n報仇雪恨！
MID_RINDA_HOME2: 我曾落入惡人之手……\n經歷過非常恐怖的遭遇。\n不過，馬爾斯殿下救了我。
MID_RINDA_HOME3: 吶、吶吶！一直以來都很謝謝你。\n你對我們每個人的關心，\n我們都很清楚的……
MID_RINDA_HOME4: 我這身打扮可愛嗎……？\n雖、雖然我很高興你喜歡，\n可是也不要一直盯著我看喔！
MID_RINDA_HOME5: 這件珍貴的長袍\n是父親大人給我的。\n所以沒什麼好害羞的……
MID_RINDA_FRIEND: 你就是$Nu殿下吧。\n是$Nf要我來\n跟你問候的。請多指教囉。
MID_RINDA_LEVEL1: 呵呵，看來今天\n會是個大好日子。
MID_RINDA_LEVEL2: 你看，這就是\n我真正的力量喔。
MID_RINDA_LEVEL3: 這樣一來……該如何\n對父親大人交代才好……
MID_RINDA_SKILL: 身為光之魔道輝光的繼承者，\n我將成為不辱名聲的魔道士。
MID_RINDA_JOIN: 我是琳達。\n是米羅亞大祭司的女兒喔。\n……不要一直盯著人家看。
MID_RINDA_STRONGEST: 吶、吶。\n其實也不是什麼大事，就是……\n我想要好好跟你道個謝。$k$p遇到你之後發生了不少事，不過……\n現在回想起來都是很快樂的回憶喔。\n真的很謝謝你。$k$p在原來的世界，自從父親大人過世後，\n我非常難過，所以有段時間\n一直陷入低潮……$k$p啊……不好意思。\n嗯，現在已經沒事了喔。\n因為有你陪我一起度過……$k$p呵呵！謝謝你關心我。\n你這人真的是……\n很溫柔呢。
MID_RINDA_VOICE01: 喝！
MID_RINDA_VOICE02: 嘿！
MID_RINDA_VOICE03: 呀啊～！
MID_RINDA_VOICE04: 我、我不會輸的！
MID_RINDA_VOICE05: 光啊！
MID_RINDA_VOICE06: 受死吧！
MID_RINDA_VOICE07: 會受傷喔！
MID_RINDA_VOICE08: 我才不會輸呢！
MID_RINDA_VOICE09: 啊……怎麼會……
MID_RINDA_VOICE10: 呵呵。
MID_RINDA_VOICE11: 找我有什麼事嗎？
MID_RINDA_VOICE12: 呀！？做、做什麼啦？
MID_RINDA_VOICE13: 這是父親大人給我的衣服。
MID_RINDA_VOICE14: 所以沒什麼好害羞的……
MID_RINDA_VOICE15: 我是米羅亞大祭司的女兒喔。
MID_RINDA_VOICE16: 父親大人的仇，我要親手……
MID_RINDA_VOICE17: ……吶。不再多聊一下嗎？
MID_RINDA_VOICE18: 好啊。
MID_RINDA_VOICE19: 該怎麼做呢……
MID_RINDA_VOICE20: 要好好看著喔。
