[Heroes Archive] (RIVIERA)


Heroes Message Name: Message


MID_RIVIERA_HOME1: 請問這附近有教會嗎？\n可以的話，我想為大家向\n亞斯克王國的神祈求一切平安。
MID_RIVIERA_HOME2: 我曾在伊里斯擔任聖職人員。\n艾美莉娜陛下的危機讓我決心拿起斧頭，\n在佩萊吉亞加入了庫洛武大人的軍隊。
MID_RIVIERA_HOME3: 可以召喚各個世界的英雄的技能……\n這簡直就是擁有神的力量呀。\n請務必指引並守護我們。
MID_RIVIERA_HOME4: 你、你剛剛叫我「那邊那位修女」嗎？\n噢！神呀……連召喚師大人都誤認我是女性，\n我到底該如何是好……！
MID_RIVIERA_HOME5: 我畫了一幅風景畫。\n這片土地是如此的神聖美麗……\n我想趁這個機會將這景象留於畫布上。
MID_RIVIERA_FRIEND: 我是為傳達$Nf\n殿下給你的問候而來的。\n願神也保佑你……
MID_RIVIERA_LEVEL1: 感覺神清氣爽。\n這是每日祈禱的成果嗎？
MID_RIVIERA_LEVEL2: 神呀……\n感謝您……
MID_RIVIERA_LEVEL3: 神呀……\n為何要給予我這樣的試煉……？
MID_RIVIERA_SKILL: 我感到體內充滿了聖潔的力量。\n我要感謝神和你。
MID_RIVIERA_JOIN: 我是伊里斯聖王國的僧侶利貝拉。\n會被送來這塊土地，也是神的旨意……\n願龍神那迦保佑與我們同在。
MID_RIVIERA_STRONGEST: ！！$Nu殿下。\n呵呵，被你發現了呢。$k$p其實我現在正在畫你。\n我很少因為特定人物作畫，\n不過……這次實在是忍不住。$k$p當你召喚英雄、立足戰場……\n還有像這樣待在我身旁時，\n你的魅力總是讓我為之傾倒。$k$p等我回過神來，\n我早已拿起畫筆了。$k$p我會受到你的吸引，\n或許是因被召喚而來的英雄本質使然。\n儘管如此，我對你的愛慕之情仍是真實的。$k$p很高興今天可以對你說出這些話……\n那麼，讓我繼續畫下去吧。\n我可以……再獨占你一小段時間吧？
MID_RIVIERA_VOICE01: 喝！
MID_RIVIERA_VOICE02: 嘿呀！
MID_RIVIERA_VOICE03: 嗚啊！
MID_RIVIERA_VOICE04: 怎麼會……！
MID_RIVIERA_VOICE05: 請恕罪……！
MID_RIVIERA_VOICE06: 悔改吧！
MID_RIVIERA_VOICE07: 祈禱吧！
MID_RIVIERA_VOICE08: 神呀……
MID_RIVIERA_VOICE09: 就是……那道光……
MID_RIVIERA_VOICE10: 是。
MID_RIVIERA_VOICE11: 今天也一切平安，真是太好了。
MID_RIVIERA_VOICE12: 我好歹也是個男人，粗活難不倒我喔。
MID_RIVIERA_VOICE13: 不曉得神龍那迦是否聽得到我在這個世界的祈禱？
MID_RIVIERA_VOICE14: 有什麼話想對我說嗎……？該不會是想告解？
MID_RIVIERA_VOICE15: 我成為僧侶之前的經歷，全是些痛苦的回憶……
MID_RIVIERA_VOICE16: 會殺人的聖職人員……真是罪孽深重啊。
MID_RIVIERA_VOICE17: 在戰場上祈求自己平安，\n等是於許願要他人送命。然而我卻……
MID_RIVIERA_VOICE18: 我知道了。
MID_RIVIERA_VOICE19: 願神保佑……
MID_RIVIERA_VOICE20: 謹遵指引。
