[Heroes Archive] (RODY)


Heroes Message Name: Message


MID_RODY_HOME1: 異界英雄齊聚之城啊……\n像我這種實習騎士，真的可以\n待在這裡嗎？
MID_RODY_HOME2: 我隸屬第七小隊，隊長是位\n非常值得尊敬的優秀人物。\n我覺得你有些地方很像那位隊長。
MID_RODY_HOME3: 我是阿利提亞王國的侍從騎士。\n侍從騎士就是受封為騎士前的實習生……\n還稱不上是獨當一面的騎士。
MID_RODY_HOME4: 路克是我多年來的搭檔。\n雖然多少有點衝動，不過……\n他不是個壞人。
MID_RODY_HOME5: 方便的話，一起到外面巡邏吧？\n只要預先掌握周遭的地理環境，\n關鍵時刻應該能派上用場吧。
MID_RODY_FRIEND: 打擾了，我是侍從騎士羅迪。\n$Nf派我\n前來向您致意。
MID_RODY_LEVEL1: 我覺得非常好。\n讓我們加倍繃緊神經前進吧。
MID_RODY_LEVEL2: 成長得很順利。\n幅度對我來說剛剛好。
MID_RODY_LEVEL3: 這樣不及格吧……\n要再努力一點才行。
MID_RODY_SKILL: 謝謝你。\n我今後也將不遺餘力\n為你提供協助。
MID_RODY_JOIN: 我是阿利提亞王國的侍從騎士羅迪。\n很抱歉，我還是見習騎士，\n我會努力學習，希望今後能助你一臂之力。
MID_RODY_STRONGEST: 我變強了，是嗎？\n是啊，雖然我自己沒什麼確切的感覺，\n不過……$k$p既然有你客觀的評價，\n我想應該就是這樣沒錯吧。$k$p這樣一來，\n以後就能多少減輕一點你的負擔了嗎？$k$p這支軍隊可說是有你的力量才得以存在的。\n這些重擔都由你一個人扛，\n我一直對此感到很抱歉……$k$p所以，希望我是真的變強了。\n多少為你減輕一點負擔也好，我會盡力的。\n今後也請多指教。
MID_RODY_VOICE01: 喝！
MID_RODY_VOICE02: 嘿！
MID_RODY_VOICE03: 嗚啊～！
MID_RODY_VOICE04: ……露出破綻了嗎……
MID_RODY_VOICE05: 全力出擊！
MID_RODY_VOICE06: 無法手下留情。
MID_RODY_VOICE07: 要攻擊就趁現在！
MID_RODY_VOICE08: 我要達成任務！
MID_RODY_VOICE09: ……抱歉……
MID_RODY_VOICE10: 哈哈。
MID_RODY_VOICE11: 抱歉，你找我有事嗎？
MID_RODY_VOICE12: ……看來你有些惱人的嗜好啊。
MID_RODY_VOICE13: 接下來的作戰計畫呢？
MID_RODY_VOICE14: 與夥伴並肩作戰非常重要。
MID_RODY_VOICE15: 如果出了狀況，希望你能找我幫忙。
MID_RODY_VOICE16: ……不知小隊成員他們是否安好……
MID_RODY_VOICE17: 能跟你並肩作戰，我很感激。
MID_RODY_VOICE18: 我知道了。
MID_RODY_VOICE19: 該怎麼辦呢……？
MID_RODY_VOICE20: 走吧。
