[Heroes Archive] (RONKUU)


Heroes Message Name: Message


MID_RONKUU_HOME1: 只要能克服討厭女人的問題……\n就能在劍術造詣上\n達到更高的境界，可是……
MID_RONKUU_HOME2: 在加入自衛團之前，我曾是\n菲利亞國西境之王——\n巴基里奧的左右手……
MID_RONKUU_HOME3: 你好像總是很忙啊……\n我可以跟你輪班巡邏。
MID_RONKUU_HOME4: 有空就來陪我過過招。\n什麼？你說你無法戰鬥，所以不行？\n那你就丟丟石頭應戰吧……
MID_RONKUU_HOME5: 我剛剛在保養刀刃……\n關鍵時刻要是派不上用場，\n會出人命的。
MID_RONKUU_FRIEND: ……你是$Nf的朋友吧。\n他叫我來替他打聲招呼。\n事情辦完，我要走了。
MID_RONKUU_LEVEL1: 我的目標在這之上……
MID_RONKUU_LEVEL2: ……很好。
MID_RONKUU_LEVEL3: ……劍術之路是孤獨的。
MID_RONKUU_SKILL: 他人給予的力量……\n還不錯啊。
MID_RONKUU_JOIN: ……我是隆克。\n出身菲利亞國的劍客……\n除此之外沒什麼好說的。
MID_RONKUU_STRONGEST: 你今天也在我身邊啊。\n你為什麼……\n對我這麼有興趣？$k$p我沒有任何特別之處。\n沒有錢財、沒有權勢。\n有的只有劍術而以。$k$p什麼？你說只要跟我在一起，\n就覺得很安心……？\n原來如此，就像保鑣是吧？$k$p……也好。\n實力受人看重也不是壞事。\n而且……$k$p不知為何，我就是無法放著你不管。\n只要你想，我願常伴左右，\n絕不讓你後悔。\n
MID_RONKUU_VOICE01: 喝！
MID_RONKUU_VOICE02: 嘿！
MID_RONKUU_VOICE03: 唔……！
MID_RONKUU_VOICE04: 可惡……！
MID_RONKUU_VOICE05: 別怨我啊。
MID_RONKUU_VOICE06: 礙眼的東西。
MID_RONKUU_VOICE07: ……滾。
MID_RONKUU_VOICE08: 放棄吧。
MID_RONKUU_VOICE09: ……唔、啊……！
MID_RONKUU_VOICE10: 呵……！
MID_RONKUU_VOICE11: 我不會應付女人……
MID_RONKUU_VOICE12: 有事嗎……？
MID_RONKUU_VOICE13: 喂、喂……我會分心啊。
MID_RONKUU_VOICE14: 來到這裡之前，我也曾是國王的左右手……
MID_RONKUU_VOICE15: 我可不會講什麼有趣的話喔。
MID_RONKUU_VOICE16: 劍術之路是孤獨的……
MID_RONKUU_VOICE17: 竟然這麼關心我……你真是個奇怪的傢伙。
MID_RONKUU_VOICE18: 嗯。
MID_RONKUU_VOICE19: 上吧。
MID_RONKUU_VOICE20: 有指令嗎？
