[Heroes Archive] (RORO)


Heroes Message Name: Message


MID_RORO_HOME1: 特務機關？\n那是什麼？聽起來好酷。\n我最喜歡這種的了。
MID_RORO_HOME2: 我有好多好多個我，\n加起來就是一個我。\n懂嗎？
MID_RORO_HOME3: 咦？今天也在巡邏嗎？\n其實你很閒吧？\n唔嘻嘻。
MID_RORO_HOME4: 愛涅和克萊涅是我的夥伴。\n雖然克萊涅愛擺臭臉，\n還討厭愛涅，但我喜歡愛涅。
MID_RORO_HOME5: 我做過的訓練？\n我跟我對打，\n打到其中一個死了就結束。
MID_RORO_FRIEND: 我我我，我是\n$Nf的夥伴。\n和睦相處吧，唔嘻嘻。
MID_RORO_LEVEL1: 我，很厲害。\n唔嘻嘻。
MID_RORO_LEVEL2: 我，馬馬虎虎。
MID_RORO_LEVEL3: 我，根本不行……
MID_RORO_SKILL: 來吧來吧來吧，\n上場戰鬥囉～
MID_RORO_JOIN: 咦？叫我的人是你？\n我是羅羅。我也是羅羅。\n唔嘻嘻。
MID_RORO_STRONGEST: 我，變超強了？\n很強很強？唔嘻嘻。$k$p你為什麼要用我？\n我不懂。\n好像懂又好像不懂的不懂。$k$p我已經壞掉了。\n心壞掉、什麼都壞掉。\n感覺好像不是人類了。$k$p我覺得我喜歡你，\n也覺得我討厭你。\n我已經壞掉了，所以不太確定。$k$p不過，我會跟你在一起。\n雖然我搞不太清楚。唔嘻嘻……
MID_RORO_VOICE01: 啊咿
MID_RORO_VOICE02: 咿啊
MID_RORO_VOICE03: 嗚啊～！
MID_RORO_VOICE04: 咦？
MID_RORO_VOICE05: 來吧來吧來吧來吧！
MID_RORO_VOICE06: 還早還早還早還早！
MID_RORO_VOICE07: 跟我玩吧！
MID_RORO_VOICE08: 唔嘻嘻。
MID_RORO_VOICE09: 我……不能死……
MID_RORO_VOICE10: 唔嘻嘻。
MID_RORO_VOICE11: 唔嘻嘻？輪到我上場？
MID_RORO_VOICE12: 想看我拿掉面具？
MID_RORO_VOICE13: 我們會好好工作。
MID_RORO_VOICE14: 啊咿啊咿，我們是兄弟。
MID_RORO_VOICE15: 咿啊咿啊，我有很多我。
MID_RORO_VOICE16: 我是誰？我也忘了。
MID_RORO_VOICE17: 你，是好人。我，很高興。
MID_RORO_VOICE18: 啊咿啊咿。
MID_RORO_VOICE19: 我也要我也要。
MID_RORO_VOICE20: 工作了。
