[Heroes Archive] (ROY)


Heroes Message Name: Message


MID_ROY_HOME1: 這個世界有很多\n非常了不起的英雄……\n可以學到很多喔。
MID_ROY_HOME2: 我跟莉莉娜是一起長大的喔。\n就連去奧斯提亞留學\n也是一起去的。
MID_ROY_HOME3: 一直以來都很謝謝你。\n因為有你，\n我們才能團結一心、並肩作戰。
MID_ROY_HOME4: 教我戰術的老師是瑟西莉亞小姐。\n$Nu，\n你的戰術是在哪學的呢？
MID_ROY_HOME5: 嗯，這本書？\n這是這座城堡裡的史書喔。\n我想先了解一點這個世界的事情。
MID_ROY_FRIEND: 你好。我是羅伊。\n我受$Nf之託，\n前來向您致意。
MID_ROY_LEVEL1: 好！\n就這樣繼續下去吧！
MID_ROY_LEVEL2: 馬馬虎虎吧。\n今後也繼續加油吧。
MID_ROY_LEVEL3: 我……\n我會變得更強……！
MID_ROY_SKILL: 我還不成氣候。\n所以我想繼續成長。
MID_ROY_JOIN: 我是羅伊。雖然年紀還很輕，\n但我是以家父費雷侯爵艾利烏德的\n代理人身分前來。請多指教囉。
MID_ROY_STRONGEST: 我想變得更強……\n然後，我要守護世界，\n讓大家都能過著充滿歡笑的日子……$k$p因此，\n我還有很多很多的事情需要學習。$k$p$Nu，\n我也希望能再跟你\n學習很多很多的事情。$k$p不只是作戰，\n我還想了解你的世界，\n還有關於你本人的一切……$k$p未來我們也能繼續和睦相處嗎？\n嗯，謝謝你。\n今後也請多多指教囉！
MID_ROY_VOICE01: 喝！
MID_ROY_VOICE02: 呀！
MID_ROY_VOICE03: 嗚啊～！
MID_ROY_VOICE04: 我不能輸……
MID_ROY_VOICE05: 非贏不可。
MID_ROY_VOICE06: 看招！
MID_ROY_VOICE07: 看劍！
MID_ROY_VOICE08: 我不會輸的。
MID_ROY_VOICE09: 各位，抱歉……
MID_ROY_VOICE10: 呵呵。
MID_ROY_VOICE11: 怎麼了嗎？
MID_ROY_VOICE12: 呃……傷腦筋……
MID_ROY_VOICE13: 我們一起努力吧。
MID_ROY_VOICE14: 拜託你囉。
MID_ROY_VOICE15: 為了我們要守護的人。
MID_ROY_VOICE16: 我相信人的潛能。
MID_ROY_VOICE17: 有我跟著你。
MID_ROY_VOICE18: 嗯。
MID_ROY_VOICE19: 知道了……
MID_ROY_VOICE20: 好，走吧！
MID_ROY_VOICE21: 走吧，為了我們要守護的人！
