[Heroes Archive] (ROY_POPULARITY01)


Heroes Message Name: Message


MID_ROY_POPULARITY01_HOME1: 英雄來自蒼生之願……\n我在以前讀過的書裡\n看過這麼一句話。
MID_ROY_POPULARITY01_HOME2: 我的父親是費雷侯爵艾利烏德，\n他是被稱為呂基亞第一騎士的\n英雄人物。\n
MID_ROY_POPULARITY01_HOME3: 我真想幫點什麼忙，讓你可以休息。\n可以讓我待在你身邊，\n跟著你學習嗎？
MID_ROY_POPULARITY01_HOME4: 這是烈火之劍【迪朗達爾】……\n是人稱神將器的特殊武器。\n父親大人也曾用過這把劍。
MID_ROY_POPULARITY01_HOME5: 因為我幾乎沒受過什麼\n騎馬的訓練，所以……\n以後得好好努力才行呢。
MID_ROY_POPULARITY01_FRIEND: 你就是$Nu嗎？\n我是來替$Nf\n向你致意的喔。
MID_ROY_POPULARITY01_LEVEL1: 總有一天，我也要\n像父親大人一樣！
MID_ROY_POPULARITY01_LEVEL2: 我已經逐漸開始\n習慣在馬背上戰鬥了喔。
MID_ROY_POPULARITY01_LEVEL3: 我得好好向\n父親大人學習才行呢……
MID_ROY_POPULARITY01_SKILL: 謝謝你。\n這都是你的功勞喔。
MID_ROY_POPULARITY01_JOIN: 我是羅伊。作為父親大人的代理人，\n我將帶著這把【迪朗達爾】\n加入你的援軍喔。
MID_ROY_POPULARITY01_STRONGEST: 以前馬卡斯……一位在我家\n效命多年的騎士曾對我說過\n父親大人的事蹟。$k$p父親大人年輕時的英勇事蹟……\n他跟夥伴的冒險之旅、\n跟母親大人的邂逅……$k$p小的時候，\n我總是會很興奮地聽著這些故事喔。\n這比任何故事都還要更有趣。$k$p所以，我非常景仰父親大人。\n父親大人就是我的英雄。$k$p我現在可能還只是徒有其表，\n但我會加倍學習、努力變強……\n向父親大人看齊。$k$p我有一種感覺……\n只要有你在身邊，我就能做到。\n所以從今以後，我也會加油的。
MID_ROY_POPULARITY01_VOICE01: 嘿！
MID_ROY_POPULARITY01_VOICE02: 我要上囉！
MID_ROY_POPULARITY01_VOICE03: 嗚啊～！
MID_ROY_POPULARITY01_VOICE04: 糟了……
MID_ROY_POPULARITY01_VOICE05: 向父親大人看齊！
MID_ROY_POPULARITY01_VOICE06: 我會保護大家！
MID_ROY_POPULARITY01_VOICE07: 好戲才剛開始！
MID_ROY_POPULARITY01_VOICE08: 迪朗達爾！
MID_ROY_POPULARITY01_VOICE09: 父親大人……對不起……
MID_ROY_POPULARITY01_VOICE10: 哈哈！
MID_ROY_POPULARITY01_VOICE11: 雖然我遠遠不及父親大人……但我會盡力追上他的。
MID_ROY_POPULARITY01_VOICE12: 召喚我的人是你嗎？
MID_ROY_POPULARITY01_VOICE13: 我做了一個不可思議的夢。夢到有很多人在呼喊著我的名字……
MID_ROY_POPULARITY01_VOICE14: 我想回報那些支持過我的人。
MID_ROY_POPULARITY01_VOICE15: 父親大人也很擅長騎馬作戰。我也得好好學習才行。
MID_ROY_POPULARITY01_VOICE16: 人會受到欲望誘惑……然而，戰勝欲望的也是人。
MID_ROY_POPULARITY01_VOICE17: 我跟你好像很久以前就認識了……我有這樣的感覺。
MID_ROY_POPULARITY01_VOICE18: 我知道了。
MID_ROY_POPULARITY01_VOICE19: 要怎麼做？
MID_ROY_POPULARITY01_VOICE20: 戰局才剛開始。
