[Heroes Archive] (ROY_VALENTINE01)


Heroes Message Name: Message


MID_ROY_VALENTINE01_HOME1: 你打算在愛之祭典送上什麼樣的禮物呢？\n還是說你是收禮物的人？
MID_ROY_VALENTINE01_HOME2: 原來在你的世界也有愛之祭典啊。\n和我們的慶典既有相似之處，\n也有不同的地方……真有趣。
MID_ROY_VALENTINE01_HOME3: 莉莉娜是我的兒時玩伴。\n在留學期間，關於服裝儀容和宮廷禮法，\n她幫了我很多的忙。
MID_ROY_VALENTINE01_HOME4: 像父親大人和海克托爾大人那樣\n互相切磋琢磨的好友關係……\n令我十分嚮往。
MID_ROY_VALENTINE01_HOME5: 在愛之祭典的時期，\n大家好像都有點浮躁呢。\n是因為很在意贈禮的對象嗎？
MID_ROY_VALENTINE01_FRIEND: 你就是$Nu殿下嗎？\n這是$Nf\n送你的禮物喔。
MID_ROY_VALENTINE01_LEVEL1: 我有想要守護的人！
MID_ROY_VALENTINE01_LEVEL2: 這是效法父親大人和海克托爾大人後\n努力得來的成果吧。
MID_ROY_VALENTINE01_LEVEL3: 嗯……\n下次我會更加努力。
MID_ROY_VALENTINE01_SKILL: 謝謝，要送你什麼樣的回禮好呢？
MID_ROY_VALENTINE01_JOIN: 我叫羅伊，\n正在和大家一起參加愛之祭典。\n你有想要送禮物的對象嗎？
MID_ROY_VALENTINE01_STRONGEST: 因為父親大人和母親大人，\n我有幸誕生於世……\n並在費雷人們的教導下成長。$k$p我去奧斯提亞留學期間，\n瑟西莉亞小姐指導我學問……\n莉莉娜也給了我許多幫助。$k$p然後現在，\n托$Nu你的福\n我才能變得如此堅強……$k$p多虧大家的心意，\n才有現在的我……\n我是這麼覺得的。$k$p我想好好報答支持著我的大家，\n第一個人就是你了，$Nu。
MID_ROY_VALENTINE01_VOICE01: 嘿！
MID_ROY_VALENTINE01_VOICE02: 看招！
MID_ROY_VALENTINE01_VOICE03: 嗚啊！
MID_ROY_VALENTINE01_VOICE04: 禮物被……！
MID_ROY_VALENTINE01_VOICE05: 這是禮物喔！
MID_ROY_VALENTINE01_VOICE06: 滿懷心意……
MID_ROY_VALENTINE01_VOICE07: 這個送你。
MID_ROY_VALENTINE01_VOICE08: 我要認真囉。
MID_ROY_VALENTINE01_VOICE09: 甘かった…な…
MID_ROY_VALENTINE01_VOICE10: うーん
MID_ROY_VALENTINE01_VOICE11: ぼくはロイ。みんなでお祭りに来ていたんだ。
MID_ROY_VALENTINE01_VOICE12: わっ！？　…びっくりしたよ。
MID_ROY_VALENTINE01_VOICE13: 贈り物は、相手の心を思う気持ちが大切なんだね。
MID_ROY_VALENTINE01_VOICE14: 父上に、リリーナに、それからみんなにも…
MID_ROY_VALENTINE01_VOICE15: ぼくが欲しいもの？　その気持ちだけで十分だよ。
MID_ROY_VALENTINE01_VOICE16: 女の人は…何を贈ったら喜んでもらえるんだろう？
MID_ROY_VALENTINE01_VOICE17: 僕の気持ちを、受け取ってくれたら嬉しいな。
MID_ROY_VALENTINE01_VOICE18: 良いね
MID_ROY_VALENTINE01_VOICE19: 悩んでるの？
MID_ROY_VALENTINE01_VOICE20: さあ、渡そう！
