[Heroes Archive] (RUKE)


Heroes Message Name: Message


MID_RUKE_HOME1: 說到城堡就想到騎士！\n說到騎士就想到羅曼史！\n說到羅曼史就想到城堡！
MID_RUKE_HOME2: 唉～要上哪找才有呀？\n年輕漂亮又溫柔可愛的女孩子啦，\n或是妖艷美麗又性感的姐姐……
MID_RUKE_HOME3: 我是阿利提亞王國的侍從騎士！\n所謂的侍從騎士就是實習騎士啦。\n不過，侍從騎士聽起來還蠻帥氣的，對吧！
MID_RUKE_HOME4: 羅迪是我多年來的搭檔。\n雖然他有點愛操心，\n不過他為人不錯喔！
MID_RUKE_HOME5: 欸，我們一起上街去啦。\n搞不好可以在路上撞到漂亮婦女，\n進而發展出一段羅曼史喔！
MID_RUKE_FRIEND: 我是未來的聖騎士路克！\n我可是代替$Nf\n親自來跟你問候的喔！很棒吧！
MID_RUKE_LEVEL1: 黎明聖騎士路克的傳說\n就從現在開始！
MID_RUKE_LEVEL2: 我進步了！\n雖然進步幅度很普通啦！
MID_RUKE_LEVEL3: 怎、怎麼可能……\n以我的資質竟然……
MID_RUKE_SKILL: 千萬別錯過未來的聖騎士路克\n明天才開始的精采表現！
MID_RUKE_JOIN: 我的名字是路克！\n我將是後人口中傳頌的\n阿利提亞第一騎士！
MID_RUKE_STRONGEST: 如何？我這強悍的模樣！\n傳說中的聖騎士路克——\n我終於成為最強的騎士啦。$k$p呵，連我自己都為我的才能感到恐懼。\n看來我隱藏起來的真正實力\n已經再也藏不住了喔！$k$p……沒有啦，開玩笑的。\n其實這都是你的功勞。\n再怎麼樣，這點我還是知道的。$k$p就是因為有你縱覽全局的指令，\n我才能把注意力集中在眼前。\n謝謝你，真的。$k$p……幹麼？一副很意外的樣子。\n欸，你是不是以為我很蠢啊？\n我偶爾也是會講正經話的啦！\n\n
MID_RUKE_VOICE01: 喝！
MID_RUKE_VOICE02: 嘿！
MID_RUKE_VOICE03: 嗚啊～！
MID_RUKE_VOICE04: 好痛！
MID_RUKE_VOICE05: 可別愛上我喔！
MID_RUKE_VOICE06: 我不會手下留情的！
MID_RUKE_VOICE07: 看我大顯身手！
MID_RUKE_VOICE08: 表現精采！
MID_RUKE_VOICE09: 輸了……真是……
MID_RUKE_VOICE10: 哈哈！
MID_RUKE_VOICE11: 喔！終於輪到我上場了？
MID_RUKE_VOICE12: 別鬧了，髮型會亂掉啦。
MID_RUKE_VOICE13: 我會讓你看到我的表現！
MID_RUKE_VOICE14: 我來幫你取個帥氣的外號吧？
MID_RUKE_VOICE15: 哪裡有那種療癒系的修女啊？
MID_RUKE_VOICE16: 不知為何，我就是不受歡迎耶～
MID_RUKE_VOICE17: 當首領什麼的麻煩事就交給你啦！
MID_RUKE_VOICE18: 喔！
MID_RUKE_VOICE19: 包在我身上！
MID_RUKE_VOICE20: 上吧！
