[Heroes Archive] (RYOUMA_BON01)


Heroes Message Name: Message


MID_RYOUMA_BON01_HOME1: 一到夏天就是祭典的季節。\n來吧！無論男女老少，\n大家都圍成一圈跳舞吧！
MID_RYOUMA_BON01_HOME2: 白夜王國的夏日風情……\n正是夏祭。\n不需要客氣，你也來參加吧。
MID_RYOUMA_BON01_HOME3: 你不擅長跳舞？\n那我們就去逛逛攤販物色一些美食吧。
MID_RYOUMA_BON01_HOME4: 夏祭的舞蹈沒那麼困難。\n試著跟著我的動作，動動自己的手吧。\n沒錯，就是這樣。
MID_RYOUMA_BON01_HOME5: 兄弟姐妹們也相當期待祭典。\n所謂祭典這種特別的日子，\n可以在日常生活中點綴上色彩……
MID_RYOUMA_BON01_FRIEND: 現在是夏祭的季節，\n我替$Nf\n帶來盛夏的問候。
MID_RYOUMA_BON01_LEVEL1: 真是驚人的成長，\n這也要歸功於夏祭舞蹈。
MID_RYOUMA_BON01_LEVEL2: 很好，\n感覺興致越來越高昂了。
MID_RYOUMA_BON01_LEVEL3: 這可不行，\n有點熱衷過頭了……
MID_RYOUMA_BON01_SKILL: 感謝你。\n讓我帶來一段舞蹈作為回禮吧。
MID_RYOUMA_BON01_JOIN: 我是白夜王國的第一王子──龍馬。\n終於到了期待已久的夏祭季節。\n來吧！一起共舞吧！
MID_RYOUMA_BON01_STRONGEST: 就是這樣。\n$Nu跳得很好呢！\n你在原本的世界也有跳過舞嗎？$k$p在白夜王國，\n夏祭也有哀悼與緬懷死者的神聖含意。$k$p但最主要的目的……\n是為活著的人帶來邁向明天的活力。$k$p大家一起跳舞、歡笑，\n讓彼此的心合為一體……$k$p來，今天就盡情地跳舞吧！\n但願不會忘記與你共度的這個夏天……
MID_RYOUMA_BON01_VOICE01: 嘿！
MID_RYOUMA_BON01_VOICE02: 喝！
MID_RYOUMA_BON01_VOICE03: 嗚啊～！
MID_RYOUMA_BON01_VOICE04: 太大意了！
MID_RYOUMA_BON01_VOICE05: 夏日奧義！
MID_RYOUMA_BON01_VOICE06: 再更火熱一點！
MID_RYOUMA_BON01_VOICE07: 跳舞吧！
MID_RYOUMA_BON01_VOICE08: 這就是夏祭！
MID_RYOUMA_BON01_VOICE09: 踊り…足りんな…
MID_RYOUMA_BON01_VOICE10: うーむ
MID_RYOUMA_BON01_VOICE11: さあ、踊るぞ
MID_RYOUMA_BON01_VOICE12: 白夜の踊りだ
MID_RYOUMA_BON01_VOICE13: これは我ら白夜王国に古くから伝わる装束…浴衣だ。
MID_RYOUMA_BON01_VOICE14: 夏祭りはこのような格好をして、老いも若きも皆で踊るのだ。
MID_RYOUMA_BON01_VOICE15: 浴衣は良いぞ。軽くて動きやすい。
MID_RYOUMA_BON01_VOICE16: 夏祭りは、死者を弔う神聖な祭りでもある。
MID_RYOUMA_BON01_VOICE17: 俺が踊り方を教えよう。遠慮しなくていいぞ。
MID_RYOUMA_BON01_VOICE18: わかった
MID_RYOUMA_BON01_VOICE19: 夏だな…
MID_RYOUMA_BON01_VOICE20: 皆で踊ろう
