[Heroes Archive] (SANAKI_BRIDE02)


Heroes Message Name: Message


MID_SANAKI_BRIDE02_HOME1: 這就是什麼新娘祭典的服裝。\n我並不是要舉辦婚禮，\n可別誤會了。
MID_SANAKI_BRIDE02_HOME2: 聽說婚禮儀式會準備豪華餐點，\n但身為主角的新娘卻連品嚐的時間都沒有。\n那樣還真是可憐吶。
MID_SANAKI_BRIDE02_HOME3: 希葛倫與塔妮絲兩人，\n是負責保護我的親衛隊聖天馬騎士。\n她們若是看見這身打扮會說些什麼呢……？
MID_SANAKI_BRIDE02_HOME4: 若又因踩到裙擺而跌倒可是大事。\n你就牽起我的手吧，\n可要扶好別讓我跌倒喔。
MID_SANAKI_BRIDE02_HOME5: 在婚禮上，男女會宣誓永恆的愛，\n然後再進行誓約之吻的樣子。\n接、接吻……
MID_SANAKI_BRIDE02_FRIEND: 還不快行禮！我就是貝格尼昂帝國……\n……啊，不對。受$Nf\n所託，我才不得不來打聲招呼。
MID_SANAKI_BRIDE02_LEVEL1: 這就是傳聞中\n所謂愛的力量嗎。
MID_SANAKI_BRIDE02_LEVEL2: 就算穿著這身衣服，\n也意外地能夠戰鬥呢。
MID_SANAKI_BRIDE02_LEVEL3: 我、我才不是因為穿成這樣覺得害羞，\n才無法好好使出力量！
MID_SANAKI_BRIDE02_SKILL: 我成長了……？你指哪裡？\n你說我哪裡成長了？
MID_SANAKI_BRIDE02_JOIN: 我是貝格尼昂帝國的皇帝、女神的代言者……\n你、你說這身打扮？無……無需在意。\n只是出於好奇而已。
MID_SANAKI_BRIDE02_STRONGEST: 我是貝格尼昂帝國的皇帝……\n為了成為皇帝而誕生、成長。\n是與人民不同的存在。$k$p婚禮也是……與人民不同。\n並不是單憑我自己的心意，\n就能夠決定的事。$k$p只是，\n身為一位女性想去愛對方的心情……\n這點我和人民是應該是……一樣的吧。$k$p只要在你身旁……\n就會如此覺得。\n總有一天……我也會……$k$p……我、我剛剛說的，禁止告訴別人喔！\n是你我之間的祕密！\n沒、沒問題吧！
MID_SANAKI_BRIDE02_VOICE01: 嘿！
MID_SANAKI_BRIDE02_VOICE02: 要上囉！
MID_SANAKI_BRIDE02_VOICE03: 呀啊啊！
MID_SANAKI_BRIDE02_VOICE04: ……該死的……！
MID_SANAKI_BRIDE02_VOICE05: 收下我的愛吧！
MID_SANAKI_BRIDE02_VOICE06: 這也是愛！
MID_SANAKI_BRIDE02_VOICE07: 絕不容許無禮！
MID_SANAKI_BRIDE02_VOICE08: 給我跪下！
MID_SANAKI_BRIDE02_VOICE09: 浮かれて…おった…
MID_SANAKI_BRIDE02_VOICE10: ふふふっ
MID_SANAKI_BRIDE02_VOICE11: これは祭りの装束じゃ。おかしなことを考えるでないぞ。
MID_SANAKI_BRIDE02_VOICE12: ひゃああっ！？　花嫁に向かって何をする！
MID_SANAKI_BRIDE02_VOICE13: わたしは子供ではない。愛とやらもちゃんとわかっておる。…本当じゃぞ？
MID_SANAKI_BRIDE02_VOICE14: わたしの格好をどう思うか…申してみよ。
MID_SANAKI_BRIDE02_VOICE15: き、綺麗…じゃと…？　…ぶ、無礼者、許さぬぞ！
MID_SANAKI_BRIDE02_VOICE16: わたしもいつか、こんなふうに…な、何も言っておらぬ！
MID_SANAKI_BRIDE02_VOICE17: 愛の誓い、とやらを…そなたに教えて欲しい…
MID_SANAKI_BRIDE02_VOICE18: 苦しゅうない
MID_SANAKI_BRIDE02_VOICE19: 愛を誓うがよい
MID_SANAKI_BRIDE02_VOICE20: 幸せにするのじゃ
