[Heroes Archive] (SAVOR)


Heroes Message Name: Message


MID_SAVOR_HOME1: 簡單來說，我被一個叫\n特務機關的組織雇用了，是吧？\n唉，這有違我的天性啊……
MID_SAVOR_HOME2: 我原本在諾瓦港當傭兵討生活，\n過一天算一天。\n直到被一位奇妙的大小姐雇用為止。
MID_SAVOR_HOME3: 又是任務啊？\n老是在工作，這可不是好事喔。\n下回我帶你去玩玩，放輕鬆一下吧。
MID_SAVOR_HOME4: ……喂，這可不能大聲嚷嚷喔。\n有沒有什麼可以玩樂放縱的地方啊？\n下次要偷偷帶我去喔！
MID_SAVOR_HOME5: 我剛剛在磨劍。\n畢竟我可是靠這傢伙吃飯的。\n如何，漂亮吧？
MID_SAVOR_FRIEND: $Nf要我替他傳言。\n喔，這世界也是相當的……\n我先好好逛一逛再回去吧。
MID_SAVOR_LEVEL1: 喔……\n我還蠻厲害的嘛。
MID_SAVOR_LEVEL2: 這沒什麼好驚訝的吧。
MID_SAVOR_LEVEL3: 喔……\n這倒是出乎意料啊。
MID_SAVOR_SKILL: 就說不要那麼期待我……\n我又不是那塊料，壓力很大耶！
MID_SAVOR_JOIN: 我是賽巴，區區一介傭兵。\n不管你是何方神聖，\n只要有錢拿，我就替你效命。
MID_SAVOR_STRONGEST: 喔，$Nu！\n這真是個好地方啊。我等一下要\n上街去玩，你也一起來嘛。$k$p說什麼不用了……你還真是無趣啊。\n人生可不是只有任務喔！\n我們都只有爛命一條不是嗎？$k$p所以我們才更要大啖佳餚美酒，\n珍愛美麗的人事物啊……\n……好好好，我知道了。不要擺那張臉嘛。$k$p傷腦筋，被你用說教的方式勸退，\n可是有辱我這傭兵賽巴的名號啊。\n這就是召喚師的力量嗎？$k$p不過感覺倒也不差。\n我還蠻喜歡你的喔。\n今後也要繼續這樣盯著我喔！
MID_SAVOR_VOICE01: 嘿呀！
MID_SAVOR_VOICE02: 看招！
MID_SAVOR_VOICE03: 好痛啊……！
MID_SAVOR_VOICE04: 哇啊～～！！
MID_SAVOR_VOICE05: 真是難纏啊。
MID_SAVOR_VOICE06: 滾開！
MID_SAVOR_VOICE07: 你贏不了的啦。
MID_SAVOR_VOICE08: 吃我這招！
MID_SAVOR_VOICE09: 失敗了……啊……
MID_SAVOR_VOICE10: 哈哈！
MID_SAVOR_VOICE11: 喂喂喂，你是在開玩笑嗎？
MID_SAVOR_VOICE12: 真是的……不可以捉弄大人喔。
MID_SAVOR_VOICE13: 今天很愉快啊，這樣就行啦。
MID_SAVOR_VOICE14: 有沒有可愛的女孩啊？
MID_SAVOR_VOICE15: 應付大小姐也是很累的喔。
MID_SAVOR_VOICE16: 每個人都是有過去的啦。
MID_SAVOR_VOICE17: 你真是個有趣的傢伙啊。我喜歡。
MID_SAVOR_VOICE18: 沒問題。
MID_SAVOR_VOICE19: 嗯……
MID_SAVOR_VOICE20: 包在我身上。
